primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;key_resp.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;253.60648359998595;None;255.57281559996773;255.8895657999674;257.0312425000593;257.0478453000542;271.52285499998834;None;9;0;271.52285499998834;None;;;;;;;;7;;;;;;;273.0807698999997;None;None;None;[];273.0807698999997;None;"['9', '9']";"[0.659682400058955, 0.9155052000423893]";273.0807698999997;None;0.7295428999932483;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;276.08086270000786;None;277.58050080004614;277.89763150003273;279.0148216000525;279.0316216000356;282.04728729999624;None;9;0;282.04728729999624;None;;;;;;;;8;;;;;;;283.59713060001377;None;None;None;[];283.59713060001377;None;"['9', '9', '9']";"[0.5673672000411898, 0.8070864999899641, 1.8394382999977097]";283.59713060001377;None;0.924976900103502;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;286.6053654999705;None;288.09682560001966;288.4134930999717;289.5801433000015;289.59691119997296;292.17191270005424;None;None;0;292.17191270005424;None;;;;;;;;2;;;;;;;293.73006219998933;None;None;None;[];293.73006219998933;None;"['7', '7', '7']";"[0.9143582000397146, 1.338333599967882, 1.6742643000325188]";293.73006219998933;None;;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;158.9411396037211;s_s;;;;;0;14;14;14;;;;;;;296.7385145999724;None;298.2882927999599;298.60485730005894;299.7966809000354;299.8143419000553;307.16308410000056;None;7;0;307.16308410000056;None;;;;;;;;3;;;;;;;308.71292259998154;None;None;None;[];308.71292259998154;None;"['7', '7', '7']";"[1.04348370002117, 1.3716454000677913, 1.979400600073859]";308.71292259998154;None;1.2172867000335827;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;180.59976631384873;h_s;;;;;0;15;15;15;;;;;;;311.7213025999954;None;313.43776140001137;313.7544785999926;314.8879779999843;314.9045406000223;316.8878386999713;None;None;0;316.8878386999713;None;;;;;;;;5;;;;;;;318.437666599988;None;None;None;[];318.437666599988;None;"['7', '9']";"[1.4788318000501022, 2.2229133000364527]";318.437666599988;None;;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_133.3.wmv;happy;9.0;incongruent;130.0;150.0;152.577966552593;s_h;;;;;0;16;16;16;;;;;;;321.43765330000315;None;322.9207972000586;323.2376228000503;324.36259030003566;324.37919430003967;326.3709336000029;None;9;0;326.3709336000029;None;;;;;;;;7;;;;;;;327.92078539996874;None;None;None;[];327.92078539996874;None;"['9', '9']";"[1.0519595999503508, 1.443785100011155]";327.92078539996874;None;0.8977945999940857;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_128.1.wmv;sad;7.0;incongruent;120.0;160.0;171.0492454518585;h_s;;;;;0;17;17;17;;;;;;;330.9207312000217;None;332.5705032000551;332.8874692999525;334.0204533999786;334.0456209999975;336.0205311999889;None;7;0;336.0205311999889;None;;;;;;;;2;;;;;;;337.59551949996967;None;None;None;[];337.59551949996967;None;"['7', '7', '7']";"[0.6487931000301614, 0.8806987000862136, 1.6089433000888675]";337.59551949996967;None;1.207935900078155;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
1.0;f;021_o_f_h_a.jpg;happy;9.0;sad_116.1.wmv;sad;7.0;incongruent;120.0;160.0;184.06847610053055;h_s;;;;;0;18;18;18;;;;;;;340.5955699000042;None;342.3538506999612;342.67036310001276;343.81192680005915;343.8286385999527;345.80348790006246;None;8;0;345.80348790006246;None;;;;;;;;5;;;;;;;347.36194640002213;None;None;None;[];347.36194640002213;None;None;;347.36194640002213;None;0.5929674999788404;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;157.40741103039684;s_h;;;;;0;19;19;19;;;;;;;350.36994260002393;None;351.88674089999404;352.2033026999561;353.403151000035;353.4199979000259;357.728289199993;None;9;0;357.728289199993;None;;;;;;;;9;;;;;;;359.3115198999876;None;None;None;[];359.3115198999876;None;"['9', '9', '9', '9', '9']";"[0.4531278000213206, 0.6689367000944912, 0.9086111000506207, 1.2448928999947384, 1.7890506000258029]";359.3115198999876;None;0.7001402000896633;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
8.0;f;028_y_f_s_a.jpg;sad;7.0;happy_122.3.wmv;happy;9.0;incongruent;130.0;150.0;171.8670540936116;s_h;;;;;0;20;20;20;;;;;;;362.3115745000541;None;363.9529793000547;364.269748599967;365.40309340006206;365.41965040005744;367.4112467999803;None;9;0;367.4112467999803;None;;;;;;;;7;;;;;;;368.9612098999787;None;None;None;[];368.9612098999787;None;"['9', '9']";"[0.851107900030911, 1.3713857000693679]";368.9612098999787;None;0.4811103999381885;;;S11084;2021_Dec_07_1445;VideoMask;2021.1.2;119.98521776448509;
