primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_131.2.wmv;happy;9.0;incongruent;130.0;150.0;181.38407540847405;s_h;;;;;0;38;38;38;;;;;;;530.3306060999166;None;532.0552935999585;532.3721226999769;533.5051398000214;533.5221031999681;535.5054251999827;None;9;0;535.5054251999827;None;;;;;;;;7;;;;;;;0.7569645000621676;537.0552565000253;None;None;None;[];537.0552565000253;None;"['9', '9']";"[0.22309149999637157, 0.4949882000219077]";537.0552565000253;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
0.0;f;040_y_f_h_a.jpg;happy;9.0;happy_24.3ns.avi;happy;9.0;congruent;120.0;150.0;213.25460698950434;h_h;;;;;0;39;39;39;;;;;;;540.0552298999391;None;542.0633384999819;542.3800480000209;543.5051555000246;543.5217314999318;545.447056200006;None;9;0;545.447056200006;None;;;;;;;;6;;;;;;;0.551183299976401;547.0466110999696;None;None;None;[];547.0466110999696;None;['9'];[0.22370129998307675];547.0466110999696;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_139.1.wmv;happy;9.0;incongruent;130.0;150.0;162.31500468041804;s_h;;;;;0;40;40;40;;;;;;;550.0466136999894;None;551.6046128999442;551.9213726000162;553.0545787999872;553.0711978999898;555.0546562999953;None;9;0;555.0546562999953;None;;;;;;;;6;;;;;;;0.35166829999070615;556.6047242999775;None;None;None;[];556.6047242999775;None;['9'];[0.24955720000434667];556.6047242999775;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
0.0;f;030_o_f_h_a.jpg;happy;9.0;happy_24.1ns.avi;happy;9.0;congruent;120.0;150.0;168.36256624020774;h_h;;;;;0;41;41;41;;;;;;;559.6047368999571;None;561.2378401999595;561.5544089999748;562.7211263999343;562.7377806999721;566.0126450000098;None;9;0;566.0126450000098;None;;;;;;;;7;;;;;;;0.6176528000505641;567.5625281999819;None;None;None;[];567.5625281999819;None;"['9', '9']";"[1.0599450999870896, 1.643777700024657]";567.5625281999819;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
2.0;f;012_o_f_h_a.jpg;happy;9.0;sad_113.1.wmv;sad;7.0;incongruent;120.0;160.0;177.44551734737394;h_s;;;;;0;42;42;42;;;;;;;570.5709772999398;None;572.2706848999951;572.5872659999877;573.7289205999114;573.7458044999512;575.7206636000192;None;7;0;575.7206636000192;None;;;;;;;;4;;;;;;;0.7416843000100926;577.270631399937;None;None;None;[];577.270631399937;None;['7'];[0.5118852999294177];577.270631399937;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_64.5ns.avi;sad;7.0;congruent;130.0;160.0;130.55717223801247;s_s;;;;;0;43;43;43;;;;;;;580.2790084999288;None;581.6204546999652;581.9371461999835;583.1205298999557;583.1372964999173;589.6536392000271;None;7;0;589.6536392000271;None;;;;;;;;2;;;;;;;0.8085940999444574;591.2035742999287;None;None;None;[];591.2035742999287;None;"['7', '7', '7', '7']";"[0.4827707000076771, 0.7785445000045002, 1.0026572999777272, 1.3949347999878228]";591.2035742999287;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
7.0;m;027_o_m_h_a.jpg;happy;9.0;sad_117.1.wmv;sad;7.0;incongruent;120.0;160.0;181.28665202824095;h_s;;;;;0;44;44;44;;;;;;;594.21195789997;None;595.9449661999242;596.2616422999417;597.3950556999771;597.4116389999399;599.3949575999286;None;7;0;599.3949575999286;None;;;;;;;;3;;;;;;;0.7233130999375135;600.9449448999949;None;None;None;[];600.9449448999949;None;"['7', '7']";"[0.5173479999648407, 0.7412526999833062]";600.9449448999949;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
3.0;m;033_o_m_s_a.jpg;sad;7.0;happy_126.3.wmv;happy;9.0;incongruent;130.0;150.0;198.85252030535366;s_h;;;;;0;45;45;45;;;;;;;603.9449931000127;None;605.81967300002;606.1362828999991;607.2695582999149;607.2863735000137;609.2780411000131;None;9;0;609.2780411000131;None;;;;;;;;6;;;;;;;0.5841727999504656;610.8279339999426;None;None;None;[];610.8279339999426;None;['9'];[0.28242419997695833];610.8279339999426;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_136.1.wmv;sad;7.0;incongruent;120.0;160.0;176.97002883463455;h_s;;;;;0;46;46;46;;;;;;;613.8279479999328;None;615.5110289999284;615.827672699932;616.9860446000239;617.0026756000007;618.9695311000105;None;None;0;618.9695311000105;None;;;;;;;;4;;;;;;;;620.5191275000107;None;None;None;[];620.5191275000107;None;['7'];[2.4792408000212163];620.5191275000107;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
9.0;f;019_m_f_h_a.jpg;happy;9.0;happy_10.1ns.avi;happy;9.0;congruent;120.0;150.0;157.2463435658512;h_h;;;;;0;47;47;47;;;;;;;623.5192386999261;None;625.0942007999402;625.4107366999378;626.6191069999477;626.6360911999363;633.9855395000195;None;9;0;633.9855395000195;None;;;;;;;;6;;;;;;;0.5087410999694839;635.53555219993;None;None;None;[];635.53555219993;None;['9'];[0.4546568999066949];635.53555219993;None;;;S11293;2022_Mar_17_1936;VideoMask;2021.1.2;119.92205063197511;
