primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;202.13700247699333;;;;;0;20;20;20;;;;;;;320.23749460000545;None;322.1373004000634;322.4540652000578;323.5874576000497;323.6040460000513;325.5874070000136;None;7;0;0.7490018999669701;325.5874070000136;None;;;;;;;;3;;;;;;;327.1373209001031;None;None;None;[];327.1373209001031;None;"['7', '7', '7']";"[0.3190810999367386, 1.0708557999460027, 1.431142200017348]";327.1373209001031;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_1.2ns.avi;happy;9.0;congruent;140.0;150.0;155.22310421045015;;;;;0;21;21;21;;;;;;;329.64566999999806;None;331.22039050003514;331.5371146000689;332.70383690006565;332.7205549000064;345.4618615000509;None;9;0;0.6583442999981344;345.4618615000509;None;;;;;;;;8;;;;;;;347.0117371000815;None;None;None;[];347.0117371000815;None;"['9', '9', '9', '9']";"[0.2765637000557035, 0.5563469000626355, 0.8604640000266954, 1.3006359999999404]";347.0117371000815;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;157.18644691248227;;;;;0;22;22;22;;;;;;;349.5118595000822;None;351.0448329000501;351.3615535000572;352.5281836000504;352.5452358000912;355.11986990005244;None;8;0;0.9842371999984607;355.11986990005244;None;;;;;;;;5;;;;;;;356.66981900006067;None;None;None;[];356.66981900006067;None;None;;356.66981900006067;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;135.96622391936876;;;;;0;23;23;23;;;;;;;359.20316090004053;None;360.58656480000354;360.90301140001975;362.0529957000399;362.06966070004273;367.8364928000374;None;9;0;1.051996299996972;367.8364928000374;None;;;;;;;;4;;;;;;;369.494439400034;None;None;None;[];369.494439400034;None;['7'];[1.0898950999835506];369.494439400034;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
0.0;f;030_o_f_h_a.jpg;happy;9.0;happy_24.1ns.avi;happy;9.0;congruent;140.0;150.0;187.2363405679046;;;;;0;24;24;24;;;;;;;371.9860775000416;None;373.7860519000096;374.1026867000619;375.2359569000546;375.2526005000109;378.5609228000976;None;9;0;1.0878106999443844;378.5609228000976;None;;;;;;;;6;;;;;;;380.11083180003334;None;None;None;[];380.11083180003334;None;"['9', '9', '7']";"[0.5136670001083985, 1.0095320000546053, 1.6575460000894964]";380.11083180003334;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_133.3.wmv;happy;9.0;incongruent;130.0;150.0;151.65964880545846;;;;;0;25;25;25;;;;;;;382.6191117000999;None;384.1105918000685;384.42732170003;385.55240000004414;385.5689539000159;387.5607482000487;None;None;0;;387.5607482000487;None;;;;;;;;5;;;;;;;389.1104180000257;None;None;None;[];389.1104180000257;None;"['9', '7']";"[0.033980000065639615, 0.698014699970372]";389.1104180000257;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
1.0;f;021_o_f_s_a.jpg;sad;7.0;happy_61.2ns.avi;happy;9.0;incongruent;130.0;150.0;146.79956415721207;;;;;0;26;26;26;;;;;;;391.6190483000828;None;393.0686528000515;393.3853863000404;394.5185646000318;394.53542470000684;399.0435294000199;None;9;0;1.0286021999781951;399.0435294000199;None;;;;;;;;6;;;;;;;400.58514800004195;None;None;None;[];400.58514800004195;None;"['9', '9']";"[0.5433225000742823, 1.1513906000182033]";400.58514800004195;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
1.0;f;021_o_f_h_a.jpg;happy;9.0;sad_116.1.wmv;sad;7.0;incongruent;120.0;160.0;205.93899364307754;;;;;0;27;27;27;;;;;;;403.0851613000268;None;405.02667280007154;405.34343860007357;406.49357829999644;406.5101335000945;408.47676730004605;None;7;0;1.0675333000253886;408.47676730004605;None;;;;;;;;5;;;;;;;410.02656020002905;None;None;None;[];410.02656020002905;None;None;;410.02656020002905;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;140.0;150.0;145.4488529976734;;;;;0;28;28;28;;;;;;;412.5516650000354;None;413.98471510002855;414.3014630000107;415.4598550000228;415.47653980006;418.4514723001048;None;9;0;1.1811445000348613;418.4514723001048;None;;;;;;;;5;;;;;;;419.9929073000094;None;None;None;[];419.9929073000094;None;None;;419.9929073000094;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
3.0;m;033_o_m_s_a.jpg;sad;7.0;happy_126.3.wmv;happy;9.0;incongruent;130.0;150.0;220.47504181707743;;;;;0;29;29;29;;;;;;;422.5263839000836;None;424.60103670007084;424.9178270000266;426.0510353000136;426.0676556000253;428.05125250003766;None;9;0;1.101254399982281;428.05125250003766;None;;;;;;;;6;;;;;;;429.6011256000493;None;None;None;[];429.6011256000493;None;['9'];[0.44715970009565353];429.6011256000493;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
4.0;m;004_o_m_s_a.jpg;sad;7.0;sad_2.4ns.avi;sad;7.0;congruent;130.0;160.0;153.9424691910033;;;;;0;30;30;30;;;;;;;432.10937720001675;None;433.617725100019;433.9342569001019;435.10938210005406;435.1259767001029;443.026305800071;None;7;0;0.766247299965471;443.026305800071;None;;;;;;;;1;;;;;;;444.63399790006224;None;None;None;[];444.63399790006224;None;"['7', '7', '7', '7']";"[0.24658179993275553, 0.44630539999343455, 0.6222144999774173, 0.7902462999336421]";444.63399790006224;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
8.0;m;008_y_m_h_a.jpg;happy;9.0;sad_111.1.wmv;sad;7.0;incongruent;120.0;160.0;182.0123397825363;;;;;0;31;31;31;;;;;;;447.1425140000647;None;448.89211650006473;449.2088113001082;450.3421857000794;450.3588843001053;452.3421632000245;None;7;0;0.9143942999653518;452.3421632000245;None;;;;;;;;3;;;;;;;453.8920550000621;None;None;None;[];453.8920550000621;None;"['7', '7']";"[0.48451290000230074, 0.9164366000331938]";453.8920550000621;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;140.0;150.0;145.41905773865074;;;;;0;32;32;32;;;;;;;456.39204679999966;None;457.8919991001021;458.2086636000313;459.3418756000465;459.35861450002994;473.8250296000624;None;9;0;0.7515259999781847;473.8250296000624;None;;;;;;;;6;;;;;;;475.3748031000141;None;None;None;[];475.3748031000141;None;['9'];[0.3216347999405116];475.3748031000141;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_131.2.wmv;happy;9.0;incongruent;130.0;150.0;163.9874412082805;;;;;0;33;33;33;;;;;;;477.8747591000283;None;479.49128780001774;479.8080497001065;480.95805390004534;480.9749046000652;482.94148560008034;None;8;0;1.2348956000059843;482.94148560008034;None;;;;;;;;4;;;;;;;484.4910980000859;None;None;None;[];484.4910980000859;None;['7'];[0.9013819999527186];484.4910980000859;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;140.0;150.0;207.9053492649655;;;;;0;34;34;34;;;;;;;486.99956550006755;None;488.93268240010366;489.2493980000727;490.4078274000203;490.4243480000878;492.8744406000478;None;9;0;0.8541207000380382;492.8744406000478;None;;;;;;;;5;;;;;;;494.4242954000365;None;None;None;[];494.4242954000365;None;"['9', '7']";"[0.5124313000123948, 1.440243300050497]";494.4242954000365;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;218.0520785974414;;;;;0;35;35;35;;;;;;;496.93261880008504;None;498.9740917000454;499.2908099000342;500.4240837000543;500.44112309999764;502.42425650008954;None;9;0;0.8800875999731943;502.42425650008954;None;;;;;;;;6;;;;;;;503.9740712000057;None;None;None;[];503.9740712000057;None;['9'];[0.49850929994136095];503.9740712000057;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
2.0;f;012_o_f_h_a.jpg;happy;9.0;sad_113.1.wmv;sad;7.0;incongruent;120.0;160.0;192.53137802384992;;;;;0;36;36;36;;;;;;;506.4823119000066;None;508.29878610000014;508.6155627000844;509.7489595001098;509.7661932000192;511.7490353001049;None;7;0;0.891360400011763;511.7490353001049;None;;;;;;;;3;;;;;;;513.2988897000905;None;None;None;[];513.2988897000905;None;"['7', '7']";"[1.1816103999735788, 2.1978668000083417]";513.2988897000905;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;140.0;150.0;159.76384515822056;;;;;0;37;37;37;;;;;;;515.7986644000048;None;517.3401655000634;517.6569872000255;518.8070256001083;518.8236306000035;523.3651879000245;None;None;0;;523.3651879000245;None;;;;;;;;7;;;;;;;524.9151433000807;None;None;None;[];524.9151433000807;None;"['9', '9']";"[0.22945139999501407, 0.42942379997111857]";524.9151433000807;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_64.3ns.avi;sad;7.0;congruent;130.0;160.0;172.91738127163183;;;;;0;38;38;38;;;;;;;527.4235423000064;None;529.1067377000581;529.4233093000948;530.5903083001031;530.6064935000613;535.5566725000972;None;7;0;1.0999649999430403;535.5566725000972;None;;;;;;;;5;;;;;;;537.1065122000873;None;None;None;[];537.1065122000873;None;None;;537.1065122000873;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
6.0;m;016_y_m_h_a.jpg;happy;9.0;sad_114.1.wmv;sad;7.0;incongruent;120.0;160.0;196.03539454983184;;;;;0;39;39;39;;;;;;;539.6229820000008;None;541.4895821000682;541.806718600099;542.9395026999991;542.9561388000147;544.9397899000905;None;7;0;0.9088026999961585;544.9397899000905;None;;;;;;;;7;;;;;;;546.489542700001;None;None;None;[];546.489542700001;None;"['9', '9']";"[0.2311477999901399, 0.5031374000245705]";546.489542700001;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
6.0;m;016_y_m_s_a.jpg;sad;7.0;sad_8.3ns.avi;sad;7.0;congruent;130.0;160.0;139.87174075953956;;;;;0;40;40;40;;;;;;;548.9896984000225;None;550.414341500029;550.7310598000186;551.8561138000805;551.8726980000501;559.622508600005;None;7;0;1.1461671999422833;559.622508600005;None;;;;;;;;7;;;;;;;561.1724804000696;None;None;None;[];561.1724804000696;None;"['9', '9']";"[0.3163773000705987, 0.7162298000184819]";561.1724804000696;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
7.0;m;027_o_m_s_a.jpg;sad;7.0;sad_10.4ns.avi;sad;7.0;congruent;130.0;160.0;163.89298117292617;;;;;0;41;41;41;;;;;;;563.6808357000118;None;565.2722523000557;565.5893004999962;566.7140016000485;566.7306693000719;569.888881699997;None;7;0;0.7518053000094369;569.888881699997;None;;;;;;;;3;;;;;;;571.4388859000755;None;None;None;[];571.4388859000755;None;"['7', '7']";"[0.19403140002395958, 0.4418691999744624]";571.4388859000755;None;;;S10752;2021_Jul_14_1745;VideoMask;2021.1.2;120.05191039409793;
