primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_67.2ns.avi;sad;7.0;congruent;130.0;160.0;220.9892697323079;s_s;;;;;0;24;24;24;;;;;;;373.87170160003006;None;375.93006410007365;376.24653500004206;377.40505970001686;377.4216921000043;386.604822000023;None;8;0;0.7049248000839725;386.604822000023;None;;;;;;;;4;;;;;;;388.17967179999687;None;None;None;[];388.17967179999687;None;['7'];[2.2742553999414667];388.17967179999687;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_29.1ns.avi;happy;9.0;incongruent;130.0;150.0;120.0316142834122;s_h;;;;;0;25;25;25;;;;;;;391.18794960004743;None;392.3877496999921;392.70447490003426;393.8385321000824;393.86318960005883;396.52951640007086;None;9;0;0.4522598999319598;396.52951640007086;None;;;;;;;;6;;;;;;;398.0793822000269;None;None;None;[];398.0793822000269;None;['9'];[0.4066405000630766];398.0793822000269;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
6.0;m;016_y_m_s_a.jpg;sad;7.0;sad_8.3ns.avi;sad;7.0;congruent;130.0;160.0;152.85371098242734;s_s;;;;;0;26;26;26;;;;;;;401.0793847000459;None;402.56257180008106;402.8791513000615;404.0790119000012;404.09589290001895;411.77070780005306;None;None;0;;411.77070780005306;None;;;;;;;;5;;;;;;;413.3206489000004;None;None;None;[];413.3206489000004;None;None;;413.3206489000004;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
6.0;m;016_y_m_h_a.jpg;happy;9.0;sad_114.1.wmv;sad;7.0;incongruent;120.0;160.0;136.20550699298644;h_s;;;;;0;27;27;27;;;;;;;416.34529259998817;None;417.68697570008226;418.0036809000885;419.1287772000069;419.1454484000569;421.13700370001607;None;7;0;0.4046462000114843;421.13700370001607;None;;;;;;;;4;;;;;;;422.68696640001144;None;None;None;[];422.68696640001144;None;['7'];[2.758984600077383];422.68696640001144;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;215.61964028550614;s_h;;;;;0;28;28;28;;;;;;;425.68685639998876;None;427.6866625000257;428.00339900003746;429.1535300000105;429.1700738000218;431.13682420004625;None;9;0;1.1090004000579938;431.13682420004625;None;;;;;;;;5;;;;;;;432.6866427999921;None;None;None;[];432.6866427999921;None;None;;432.6866427999921;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
6.0;m;016_y_m_h_a.jpg;happy;9.0;happy_9.2ns.avi;happy;9.0;congruent;120.0;150.0;130.52042428082717;h_h;;;;;0;29;29;29;;;;;;;435.70317450002767;None;436.99467580008786;437.3114198000403;438.4698256000411;438.4864466000581;444.3697529999772;None;9;0;0.4360623999964446;444.3697529999772;None;;;;;;;;7;;;;;;;445.9195660999976;None;None;None;[];445.9195660999976;None;"['9', '9']";"[0.3182338000042364, 0.83841569989454]";445.9195660999976;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
0.0;f;040_y_f_s_a.jpg;sad;7.0;happy_127.3.wmv;happy;9.0;incongruent;130.0;150.0;131.7195455720239;s_h;;;;;0;30;30;30;;;;;;;448.92790090001654;None;450.22766790003516;450.54431580007076;451.6694502000464;451.6861120000249;453.7443127000006;None;8;0;0.645531399990432;453.7443127000006;None;;;;;;;;7;;;;;;;455.31934350007214;None;None;None;[];455.31934350007214;None;"['9', '9']";"[0.1662953000050038, 0.6305185999954119]";455.31934350007214;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
0.0;f;030_o_f_s_a.jpg;sad;7.0;happy_125.3.wmv;happy;9.0;incongruent;130.0;150.0;220.51454909128134;s_h;;;;;0;31;31;31;;;;;;;458.319265200058;None;460.360645800014;460.67737749998923;461.8107505000662;461.82741130003706;463.8106955999974;None;None;0;;463.8106955999974;None;;;;;;;;5;;;;;;;465.3604935000185;None;None;None;[];465.3604935000185;None;"['9', '7']";"[0.34929400007240474, 0.9652313999831676]";465.3604935000185;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_64.3ns.avi;sad;7.0;congruent;130.0;160.0;165.78667874766072;s_s;;;;;0;32;32;32;;;;;;;468.3606105999788;None;469.95200020004995;470.26873140002135;471.4021456000628;471.41881569998804;476.4021254000254;None;7;0;0.7880536000011489;476.4021254000254;None;;;;;;;;4;;;;;;;477.95187029999215;None;None;None;[];477.95187029999215;None;['7'];[0.349864499992691];477.95187029999215;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
3.0;m;013_y_m_s_a.jpg;sad;7.0;sad_7.7ns.avi;sad;7.0;congruent;130.0;160.0;196.24182255763262;s_s;;;;;0;33;33;33;;;;;;;480.95189340005163;None;482.79325950006023;483.11003770004027;484.2598520000465;484.2766289000865;490.2431316000875;None;7;0;1.0186257000314072;490.2431316000875;None;;;;;;;;4;;;;;;;491.793139000074;None;None;None;[];491.793139000074;None;['7'];[1.3410512000555173];491.793139000074;None;;;S11467;2022_May_19_1949;VideoMask;2021.1.2;119.92291352264796;
