primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;140.0;150.0;145.4488529976734;;;;;0;28;28;28;;;;;;;370.4491562000476;None;371.8906371999765;372.19087699998636;373.3168481000466;373.3326853000326;376.3322984999977;None;None;0;376.3322984999977;None;;;;;;;;6;;;;;;;;377.8406610999955;None;None;None;[];377.8406610999955;None;['9'];[1.721449000062421];377.8406610999955;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
3.0;m;033_o_m_s_a.jpg;sad;7.0;happy_126.3.wmv;happy;9.0;incongruent;130.0;150.0;220.47504181707743;;;;;0;29;29;29;;;;;;;379.84063330001663;None;381.90695620002225;382.20724460005295;383.3327035000548;383.35719430004247;385.3319956000196;None;None;0;385.3319956000196;None;;;;;;;;5;;;;;;;;386.8403343000682;None;None;None;[];386.8403343000682;None;None;;386.8403343000682;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
4.0;m;004_o_m_s_a.jpg;sad;7.0;sad_2.4ns.avi;sad;7.0;congruent;130.0;160.0;153.9424691910033;;;;;0;30;30;30;;;;;;;388.8402401000494;None;390.35667480004486;390.6570216000546;391.7744719000766;391.791049499996;399.7483498000074;None;None;0;399.7483498000074;None;;;;;;;;3;;;;;;;;401.2649288000539;None;None;None;[];401.2649288000539;None;"['7', '7', '7']";"[0.3451806999510154, 0.5608420999487862, 1.0413186999503523]";401.2649288000539;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
8.0;m;008_y_m_h_a.jpg;happy;9.0;sad_111.1.wmv;sad;7.0;incongruent;120.0;160.0;182.0123397825363;;;;;0;31;31;31;;;;;;;403.27320419996977;None;405.0312265000539;405.33162880002055;406.43192430003546;406.4483508999692;408.4564417999936;None;None;0;408.4564417999936;None;;;;;;;;3;;;;;;;;409.9646606000606;None;None;None;[];409.9646606000606;None;"['7', '7']";"[0.3414797999430448, 0.7331445999443531]";409.9646606000606;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;140.0;150.0;145.41905773865074;;;;;0;32;32;32;;;;;;;411.9730442999862;None;413.4893253999762;413.78961189999245;414.91441550001036;414.9317589000566;429.39746690005995;None;None;0;429.39746690005995;None;;;;;;;;6;;;;;;;;430.9056772000622;None;None;None;[];430.9056772000622;None;['9'];[0.30436929990537465];430.9056772000622;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_131.2.wmv;happy;9.0;incongruent;130.0;150.0;163.9874412082805;;;;;0;33;33;33;;;;;;;432.905596000026;None;434.52207730000373;434.82242560002487;435.9301778000081;435.9471683000447;437.9471991000464;None;None;0;437.9471991000464;None;;;;;;;;6;;;;;;;;439.4554006999824;None;None;None;[];439.4554006999824;None;['9'];[0.7465378000633791];439.4554006999824;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;140.0;150.0;207.9053492649655;;;;;0;34;34;34;;;;;;;441.4636563999811;None;443.4052156000398;443.7053602000233;444.83918490004726;444.85559569997713;447.3301617000252;None;None;0;447.3301617000252;None;;;;;;;;8;;;;;;;;448.8384414999746;None;None;None;[];448.8384414999746;None;"['9', '9', '9']";"[0.2995155000826344, 0.5153240000363439, 0.7711963000474498]";448.8384414999746;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;218.0520785974414;;;;;0;35;35;35;;;;;;;450.8385255000321;None;452.87985330005176;453.18008870002814;454.2890156999929;454.30523379996885;456.3132761999732;None;None;0;456.3132761999732;None;;;;;;;;7;;;;;;;;457.82988470001146;None;None;None;[];457.82988470001146;None;"['9', '9']";"[0.8759219000348821, 1.1238865000195801]";457.82988470001146;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
2.0;f;012_o_f_h_a.jpg;happy;9.0;sad_113.1.wmv;sad;7.0;incongruent;120.0;160.0;192.53137802384992;;;;;0;36;36;36;;;;;;;459.8298598000547;None;461.6545939000789;461.9548940000823;463.05471559998114;463.071945099975;465.07966709998436;None;None;0;465.07966709998436;None;;;;;;;;4;;;;;;;;466.58793140004855;None;None;None;[];466.58793140004855;None;"['7', '7']";"[0.2781189000234008, 1.054081100039184]";466.58793140004855;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;140.0;150.0;159.76384515822056;;;;;0;37;37;37;;;;;;;468.59608669998124;None;470.1543434000341;470.4545535000507;471.5711135000456;471.5877160000382;476.16257569997106;None;None;0;476.16257569997106;None;;;;;;;;6;;;;;;;;477.6709917000262;None;None;None;[];477.6709917000262;None;"['9', '9', '7']";"[0.29906130000017583, 1.1068393000168726, 1.6828328999690711]";477.6709917000262;None;;;EmoCon006;2021_Jun_16_1629;VideoMask;2021.1.2;120.06877530315825;
