primePerson,primeGender,prime,primeEmotion,corrAnsPrime,target,targetEmotion,corrAnsTar,Cond,ID_Primer,ID_Target,JitterTime,Condition,example.thisRepN,example.thisTrialN,example.thisN,example.thisIndex,study.thisRepN,study.thisTrialN,study.thisN,study.thisIndex,MR_trigger_time,MR_trigger_number,text_intro.started,text_intro.stopped,text_probe.started,text_probe.stopped,polygon_ISI.started,polygon_ISI.stopped,polygon.started,polygon.stopped,primerImage.started,primerImage.stopped,response.started,response.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,slider_Text.started,slider_Text.stopped,slider_ex.response,slider_ex.rt,slider_ex.history,slider_ex.started,slider_ex.stopped,Rating,slider_resp_response.keys,slider_resp_response.started,slider_resp_response.stopped,text_start.started,text_start.stopped,text_slider.started,text_slider.stopped,slider_stud.response,slider_stud.rt,slider_stud.history,slider_stud.started,slider_stud.stopped,slider_resp_study.keys,slider_resp_study.started,slider_resp_study.stopped,participant,date,expName,psychopyVersion,frameRate,
1111,m,1111_m_m_h_a.jpg,happy,9,example_30.4ns.avi,neutral,7,incongruent,120.0,170.0,189.5874364012288,,0,0,0,0,,,,,76.06435190001503,1,76.15036889992189,78.15052249992732,78.15052249992732,None,80.16773169999942,None,82.44264399993699,82.77515389991459,83.90021150000393,83.9168445999967,88.24187009991147,None,8,0,0.9861587999621406,88.24187009991147,None,89.81669239990879,None,None,None,[],89.81669239990879,None,5,None,89.81669239990879,None,,,,,,,,,,,,,S10836,2021_Aug_19_1712,VideoMask,2021.1.2,122.39767250461415,
1113,f,1113_y_f_s_a.jpg,sad,7,example_30.3ns.avi,neutral,7,incongruent,130.0,170.0,229.02432995836998,,0,1,1,1,,,,,,,,,,,92.81665870000143,None,94.96644949994516,95.2831678999355,96.40825909993146,96.42483879998326,98.43339010002092,None,9,0,1.2826985999708995,98.43339010002092,None,99.99145299999509,None,None,None,[],99.99145299999509,None,5,None,99.99145299999509,None,,,,,,,,,,,,,S10836,2021_Aug_19_1712,VideoMask,2021.1.2,122.39767250461415,
9.0,f,019_m_f_h_a.jpg,happy,9.0,sad_115.1.wmv,sad,7.0,incongruent,120.0,160.0,128.09063432376465,h_s,,,,,0,0,0,0,,,,,,,104.02469629992265,None,105.32447069999762,105.64123229996767,106.77434539992828,106.7911842999747,108.7745287999278,None,7,0,0.7255002999445423,108.7745287999278,None,,,,,,,,5,,,,103.01633859996218,None,110.32446099992376,None,None,None,[],110.32446099992376,None,None,110.32446099992376,None,S10836,2021_Aug_19_1712,VideoMask,2021.1.2,122.39767250461415,
3.0,m,033_o_m_s_a.jpg,sad,7.0,sad_94.2ns.avi,sad,7.0,congruent,130.0,160.0,182.29120173647655,s_s,,,,,0,1,1,1,,,,,,,113.34937650000211,None,115.09084570000414,115.40759700001217,116.54097049997654,116.55756139999721,119.2325853999937,None,7,0,0.7394750999519601,119.2325853999937,None,,,,,,,,5,,,,,,120.78226000000723,None,None,None,[],120.78226000000723,None,None,120.78226000000723,None,S10836,2021_Aug_19_1712,VideoMask,2021.1.2,122.39767250461415,
8.0,m,008_y_m_h_a.jpg,happy,9.0,happy_26.1ns.avi,happy,9.0,congruent,120.0,150.0,155.9437854594882,h_h,,,,,0,2,2,2,,,,,,,123.80723679997027,None,125.31554609991144,125.63226919993758,126.76627169991843,126.78224859992042,128.7572253999533,None,9,0,0.8067704000277445,128.7572253999533,None,,,,,,,,5,,,,,,130.33217079995666,None,None,None,[],130.33217079995666,None,None,130.33217079995666,None,S10836,2021_Aug_19_1712,VideoMask,2021.1.2,122.39767250461415,
,,,,,,,,,,,,,,,,,,,,,,,,,,,133.3485953999916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
