primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;key_resp.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
0.0;f;040_y_f_h_a.jpg;happy;9.0;happy_24.3ns.avi;happy;9.0;congruent;120.0;150.0;213.25460698950434;h_h;;;;;0;39;39;39;;;;;;;554.1409901999868;None;556.1075567998923;556.4242908000015;557.6493160000537;557.6659111999907;559.4825881000143;None;None;0;559.4825881000143;None;;;;;;;;5;;;;;;561.0325837000273;None;None;None;[];561.0325837000273;None;None;561.0325837000273;None;;;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_139.1.wmv;happy;9.0;incongruent;130.0;150.0;162.31500468041804;s_h;;;;;0;40;40;40;;;;;;;564.0573014998809;None;565.6155852000229;565.9322830000892;567.0660703999456;567.090660699876;569.0655775000341;None;None;0;569.0655775000341;None;;;;;;;;5;;;;;;570.6153818999883;None;None;None;[];570.6153818999883;None;None;570.6153818999883;None;;;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
0.0;f;030_o_f_h_a.jpg;happy;9.0;happy_24.1ns.avi;happy;9.0;congruent;120.0;150.0;168.36256624020774;h_h;;;;;0;41;41;41;;;;;;;573.6320020998828;None;575.2652527999599;575.581979499897;576.7403470999561;576.7569780000485;580.0403942000121;None;None;0;580.0403942000121;None;;;;;;;;5;;;;;;581.589988599997;None;None;None;[];581.589988599997;None;None;581.589988599997;None;;;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
2.0;f;012_o_f_h_a.jpg;happy;9.0;sad_113.1.wmv;sad;7.0;incongruent;120.0;160.0;177.44551734737394;h_s;;;;;0;42;42;42;;;;;;;584.6233969999012;None;586.3065178999677;586.6232688999735;587.756471700035;587.7732907000463;589.7565673000645;None;None;0;589.7565673000645;None;;;;;;;;5;;;;;;591.306331000058;None;None;None;[];591.306331000058;None;None;591.306331000058;None;;;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_64.5ns.avi;sad;7.0;congruent;130.0;160.0;130.55717223801247;s_s;;;;;0;43;43;43;;;;;;;594.3229737998918;None;595.6228893999942;595.9396126999054;597.1313310000114;597.147940200055;603.656298100017;None;None;0;603.656298100017;None;;;;;;;;5;;;;;;605.205872300081;None;None;None;[];605.205872300081;None;None;605.205872300081;None;;;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
7.0;m;027_o_m_h_a.jpg;happy;9.0;sad_117.1.wmv;sad;7.0;incongruent;120.0;160.0;181.28665202824095;h_s;;;;;0;44;44;44;;;;;;;608.2225494000595;None;609.9641440000851;610.2808904999401;611.414265899919;611.4309104999993;613.4141547998879;None;None;0;613.4141547998879;None;;;;;;;;5;;;;;;614.9639630999882;None;None;None;[];614.9639630999882;None;None;614.9639630999882;None;;;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
3.0;m;033_o_m_s_a.jpg;sad;7.0;happy_126.3.wmv;happy;9.0;incongruent;130.0;150.0;198.85252030535366;s_h;;;;;0;45;45;45;;;;;;;617.997127499897;None;619.8638267000206;620.1805694000795;621.3138071000576;621.3305361000821;623.3221726000775;None;None;0;623.3221726000775;None;;;;;;;;5;;;;;;624.8802267999854;None;None;None;[];624.8802267999854;None;None;624.8802267999854;None;;;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_136.1.wmv;sad;7.0;incongruent;120.0;160.0;176.97002883463455;h_s;;;;;0;46;46;46;;;;;;;627.9136447999626;None;629.5967894999776;629.9133895998821;631.0386025998741;631.0551694000605;633.0467713000253;None;None;0;633.0467713000253;None;;;;;;;;4;;;;;;634.5966977998614;None;None;None;[];634.5966977998614;None;['7'];634.5966977998614;None;[0.08791129989549518];;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
9.0;f;019_m_f_h_a.jpg;happy;9.0;happy_10.1ns.avi;happy;9.0;congruent;120.0;150.0;157.2463435658512;h_h;;;;;0;47;47;47;;;;;;;637.5967083999421;None;639.113126100041;639.4298409000039;640.5798180000857;640.5964963000733;648.0131238999311;None;8;0;648.0131238999311;None;;;;;;;;5;;;;;;649.6629306999967;None;None;None;[];649.6629306999967;None;None;649.6629306999967;None;;1.1914479001425207;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_2.2ns.avi;happy;9.0;congruent;120.0;150.0;206.34800317295262;h_h;;;;;0;48;48;48;;;;;;;652.6877919998951;None;654.6458944000769;654.9626819998957;656.1377864000387;656.1543686999939;668.3040217999369;None;9;0;668.3040217999369;None;;;;;;;;7;;;;;;669.8622610999737;None;None;None;[];669.8622610999737;None;"['9', '9']";669.8622610999737;None;"[0.8781823001336306, 1.4702355000190437]";1.0764695000834763;;;S11633;2022_Aug_02_1907;VideoMask;2021.1.2;120.14624216841948;
