primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;180.59976631384873;h_s;;;;;0;15;15;15;;;;;;;329.16342669993173;None;330.88837079994846;331.20522779994644;332.3302632999839;332.34748510003556;334.3384232999524;None;None;0;334.3384232999524;None;;;;;;;;5;;;;;;;;335.8884396000067;None;None;None;[];335.8884396000067;None;"['7', '9']";"[0.5580065000103787, 1.3817207999527454]";335.8884396000067;None;;;S11401;2022_Apr_27_1016;VideoMask;2021.1.2;120.03591473968231;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_133.3.wmv;happy;9.0;incongruent;130.0;150.0;152.577966552593;s_h;;;;;0;16;16;16;;;;;;;338.8967549999943;None;340.3714023999637;340.6881848999765;341.81331280001905;341.82992329995614;343.8215163999703;None;9;0;343.8215163999703;None;;;;;;;;7;;;;;0.6485427999868989;;;345.37973319995217;None;None;None;[];345.37973319995217;None;"['9', '9']";"[0.5622884000185877, 0.8342692001024261]";345.37973319995217;None;;;S11401;2022_Apr_27_1016;VideoMask;2021.1.2;120.03591473968231;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_128.1.wmv;sad;7.0;incongruent;120.0;160.0;171.0492454518585;h_s;;;;;0;17;17;17;;;;;;;348.37963730003685;None;350.02105500001926;350.3379231999861;351.4710902000079;351.4878889999818;353.4878147999989;None;7;0;353.4878147999989;None;;;;;;;;5;;;;;0.8303164999233559;;;355.046110700001;None;None;None;[];355.046110700001;None;None;;355.046110700001;None;;;S11401;2022_Apr_27_1016;VideoMask;2021.1.2;120.03591473968231;
1.0;f;021_o_f_h_a.jpg;happy;9.0;sad_116.1.wmv;sad;7.0;incongruent;120.0;160.0;184.06847610053055;h_s;;;;;0;18;18;18;;;;;;;358.06259889993817;None;359.80414579994977;360.12069959996734;361.25488689995836;361.2879419999663;363.2631669000257;None;7;0;363.2631669000257;None;;;;;;;;3;;;;;0.8708571000024676;;;364.9958998999791;None;None;None;[];364.9958998999791;None;"['7', '7']";"[0.4179746999870986, 0.6981794000603259]";364.9958998999791;None;;;S11401;2022_Apr_27_1016;VideoMask;2021.1.2;120.03591473968231;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;157.40741103039684;s_h;;;;;0;19;19;19;;;;;;;367.9958052999573;None;369.50388590001967;369.8206049000146;370.9620807999745;370.9789442999754;375.34547689999454;None;9;0;375.34547689999454;None;;;;;;;;9;;;;;0.5566543000750244;;;376.9204374999972;None;None;None;[];376.9204374999972;None;"['9', '9', '9', '9']";"[0.3976612000260502, 0.597605700022541, 0.7897643999895081, 0.9896222000243142]";376.9204374999972;None;;;S11401;2022_Apr_27_1016;VideoMask;2021.1.2;120.03591473968231;
8.0;f;028_y_f_s_a.jpg;sad;7.0;happy_122.3.wmv;happy;9.0;incongruent;130.0;150.0;171.8670540936116;s_h;;;;;0;20;20;20;;;;;;;379.9288419999648;None;381.5702144999523;381.88686139998026;383.02031839999836;383.0369494999759;385.02025840000715;None;9;0;385.02025840000715;None;;;;;;;;8;;;;;0.6177314999513328;;;386.57017029996496;None;None;None;[];386.57017029996496;None;"['9', '9', '9']";"[0.6201383000006899, 0.8838563000317663, 1.163818100001663]";386.57017029996496;None;;;S11401;2022_Apr_27_1016;VideoMask;2021.1.2;120.03591473968231;
8.0;m;008_y_m_s_a.jpg;sad;7.0;sad_6.5ns.avi;sad;7.0;congruent;130.0;160.0;170.39333839271438;s_s;;;;;0;21;21;21;;;;;;;389.5700729000382;None;391.19481919996906;391.5114310999634;392.7282575999852;392.74514409992844;397.6448403999675;None;7;0;397.6448403999675;None;;;;;;;;5;;;;;0.545335500035435;;;399.1947461999953;None;None;None;[];399.1947461999953;None;None;;399.1947461999953;None;;;S11401;2022_Apr_27_1016;VideoMask;2021.1.2;120.03591473968231;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;120.0;150.0;225.70986890587952;h_h;;;;;0;22;22;22;;;;;;;402.2195511999307;None;404.29446410003584;404.61108790000435;405.77761560003273;405.79438570002094;410.327778799925;None;9;0;410.327778799925;None;;;;;;;;9;;;;;0.39837299997452646;;;411.8776936000213;None;None;None;[];411.8776936000213;None;"['9', '9', '9', '9']";"[0.4726427999557927, 0.648438400006853, 0.856498199980706, 1.0645620999857783]";411.8776936000213;None;;;S11401;2022_Apr_27_1016;VideoMask;2021.1.2;120.03591473968231;
8.0;m;008_y_m_h_a.jpg;happy;9.0;sad_111.1.wmv;sad;7.0;incongruent;120.0;160.0;152.63076835312847;h_s;;;;;0;23;23;23;;;;;;;414.8861538999481;None;416.35240630002227;416.6692024000222;417.80258419993334;417.81923529994674;419.80248269997537;None;7;0;419.80248269997537;None;;;;;;;;5;;;;;0.6516146000940353;;;421.3524268999463;None;None;None;[];421.3524268999463;None;None;;421.3524268999463;None;;;S11401;2022_Apr_27_1016;VideoMask;2021.1.2;120.03591473968231;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_67.2ns.avi;sad;7.0;congruent;130.0;160.0;220.9892697323079;s_s;;;;;0;24;24;24;;;;;;;424.368866099976;None;426.4273752999725;426.74385670002084;427.9105554999551;427.92759560002014;437.11044600000605;None;7;0;437.11044600000605;None;;;;;;;;1;;;;;0.5516123999841511;;;438.66018330003135;None;None;None;[];438.66018330003135;None;"['7', '7', '7', '7', '7', '7', '7', '7']";"[0.633839700021781, 0.8098420000169426, 0.9939297999953851, 1.1778827999951318, 1.3778672999469563, 1.5778489999938756, 1.7859415999846533, 2.025854400009848]";438.66018330003135;None;;;S11401;2022_Apr_27_1016;VideoMask;2021.1.2;120.03591473968231;
