primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;148.94719180000538;None;150.39698340000177;150.7136237000086;151.84753009999986;151.8720805000048;153.91357670001162;None;7;0;0.49614580000343267;153.91357670001162;None;;;;;;;;3;;;;;;;155.46357930000522;None;None;None;[];155.46357930000522;None;"['7', '7']";"[0.8100279000063892, 1.22586279999814]";155.46357930000522;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;158.4718397000106;None;159.72990330000175;160.04668320000928;161.2133606999996;161.22992030000023;166.97156020000693;None;9;0;0.5498902000108501;166.97156020000693;None;;;;;;;;7;;;;;;;168.67151610000292;None;None;None;[];168.67151610000292;None;"['9', '9']";"[0.6101610000041546, 0.9061003999959212]";168.67151610000292;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;171.671471499998;None;173.32962180000322;173.64625250000972;174.788014500009;174.8047421000083;182.9128536000062;None;None;0;;182.9128536000062;None;;;;;;;;5;;;;;;;184.4625071000046;None;None;None;[];184.4625071000046;None;['7'];[1.6269545999966795];184.4625071000046;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;187.46263320000435;None;189.44566620000114;189.76246199999878;190.91249470000912;190.929209000009;205.3787117000029;None;9;0;0.6146747000020696;205.3787117000029;None;;;;;;;;5;;;;;;;206.92031820000557;None;None;None;[];206.92031820000557;None;None;;206.92031820000557;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;209.94508320000023;None;211.44508140000107;211.761685400008;212.87868960000924;212.89563310000813;215.91184010000143;None;9;0;0.4978855000081239;215.91184010000143;None;;;;;;;;7;;;;;;;217.46165910000855;None;None;None;[];217.46165910000855;None;"['9', '9', '9']";"[0.3557777999958489, 0.6356319000042276, 1.036080200006836]";217.46165910000855;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;220.46989210000902;None;221.95325460001186;222.2698059000104;223.42792990000453;223.44465770000534;226.02814170000784;None;None;0;;226.02814170000784;None;;;;;;;;5;;;;;;;227.57800910000515;None;None;None;[];227.57800910000515;None;None;;227.57800910000515;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;158.9411396037211;s_s;;;;;0;14;14;14;;;;;;;230.59455470000103;None;232.13600600000063;232.4527919000102;233.66094359999988;233.67783380000037;241.01098320000165;None;7;0;0.5824464000033913;241.01098320000165;None;;;;;;;;4;;;;;;;242.56921560000046;None;None;None;[];242.56921560000046;None;['7'];[0.3842947999946773];242.56921560000046;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;180.59976631384873;h_s;;;;;0;15;15;15;;;;;;;245.56922530000156;None;247.27722509999876;247.59398990000773;248.71909230000165;248.73576480000338;250.72731290000957;None;7;0;1.1299756999942474;250.72731290000957;None;;;;;;;;4;;;;;;;252.27717590000248;None;None;None;[];252.27717590000248;None;['7'];[0.42831920000026];252.27717590000248;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_133.3.wmv;happy;9.0;incongruent;130.0;150.0;152.577966552593;s_h;;;;;0;16;16;16;;;;;;;255.27723530000367;None;256.7602842000051;257.07709380000597;258.2020107999997;258.2187283000094;260.2102964000078;None;9;0;0.5992242000065744;260.2102964000078;None;;;;;;;;6;;;;;;;261.76027630000317;None;None;None;[];261.76027630000317;None;"['9', '9']";"[0.7773358999984339, 1.529129800008377]";261.76027630000317;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_128.1.wmv;sad;7.0;incongruent;120.0;160.0;171.0492454518585;h_s;;;;;0;17;17;17;;;;;;;264.76018280000426;None;266.40168550000817;266.7183483000117;267.8683979000052;267.88510990000213;269.85169890000543;None;7;0;1.0936258000001544;269.85169890000543;None;;;;;;;;5;;;;;;;271.4015736000001;None;None;None;[];271.4015736000001;None;None;;271.4015736000001;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
1.0;f;021_o_f_h_a.jpg;happy;9.0;sad_116.1.wmv;sad;7.0;incongruent;120.0;160.0;184.06847610053055;h_s;;;;;0;18;18;18;;;;;;;274.42659830000775;None;276.17641490000824;276.493080500004;277.65982130001066;277.6765737000096;279.62634210000397;None;7;0;0.6472992000053637;279.62634210000397;None;;;;;;;;3;;;;;;;281.176335000011;None;None;None;[];281.176335000011;None;"['7', '7']";"[0.33719409999321215, 0.6492195000028005]";281.176335000011;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;157.40741103039684;s_h;;;;;0;19;19;19;;;;;;;284.1763016000041;None;285.6927379999979;286.00951060000807;287.2008532000036;287.2176546999981;291.5343614000012;None;9;0;0.42701740001211874;291.5343614000012;None;;;;;;;;7;;;;;;;293.0926039000042;None;None;None;[];293.0926039000042;None;"['9', '9', '9']";"[0.28479250000964385, 0.6369816000078572, 0.9727505000046222]";293.0926039000042;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
8.0;f;028_y_f_s_a.jpg;sad;7.0;happy_122.3.wmv;happy;9.0;incongruent;130.0;150.0;171.8670540936116;s_h;;;;;0;20;20;20;;;;;;;296.1097637000057;None;297.7507125999982;298.0674294000055;299.20078150001063;299.2174536000093;301.20072040001105;None;9;0;0.44888820000051055;301.20072040001105;None;;;;;;;;7;;;;;;;302.7506896999985;None;None;None;[];302.7506896999985;None;"['9', '9']";"[0.2908883999916725, 0.5785644999996293]";302.7506896999985;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
8.0;m;008_y_m_s_a.jpg;sad;7.0;sad_6.5ns.avi;sad;7.0;congruent;130.0;160.0;170.39333839271438;s_s;;;;;0;21;21;21;;;;;;;305.7507328000065;None;307.3839234000043;307.7004122000071;308.8919853999978;308.9086653000122;313.8335749000107;None;7;0;0.5437697999877855;313.8335749000107;None;;;;;;;;4;;;;;;;315.38351250000414;None;None;None;[];315.38351250000414;None;['7'];[1.642325200009509];315.38351250000414;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;120.0;150.0;225.70986890587952;h_h;;;;;0;22;22;22;;;;;;;318.39194100000896;None;320.47497690000455;320.7916702000075;321.974853000007;321.9917010000063;326.50006270001177;None;9;0;0.5813888999982737;326.50006270001177;None;;;;;;;;7;;;;;;;328.04985170000873;None;None;None;[];328.04985170000873;None;"['9', '9']";"[0.3118033000064315, 0.6077930000028573]";328.04985170000873;None;;;S11267;2022_Mar_08_1123;VideoMask;2021.1.2;120.02266029711339;
