primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;157.40741103039684;s_h;;;;;0;19;19;19;;;;;;;274.82365739997476;None;276.3401952999993;276.65688450000016;277.8401808000053;277.85688069998287;282.1819642999908;None;9;0;282.1819642999908;None;;;;;;;;9;;;;0.5659424000186846;;;;283.73169809998944;None;None;None;[];283.73169809998944;None;"['9', '9', '9', '9', '9']";"[0.3525457999785431, 0.6881950999959372, 0.9762071999721229, 1.2484571999520995, 1.7123955999850295]";283.73169809998944;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
8.0;f;028_y_f_s_a.jpg;sad;7.0;happy_122.3.wmv;happy;9.0;incongruent;130.0;150.0;171.8670540936116;s_h;;;;;0;20;20;20;;;;;;;286.7316192999715;None;288.37312319997;288.68976320000365;289.83155379997334;289.8481738999835;291.82331800000975;None;9;0;291.82331800000975;None;;;;;;;;9;;;;0.6047013000352308;;;;293.3731313999742;None;None;None;[];293.3731313999742;None;"['9', '9', '9', '9']";"[0.42280549998395145, 0.767481199989561, 1.0630363000091165, 1.4790525999851525]";293.3731313999742;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
8.0;m;008_y_m_s_a.jpg;sad;7.0;sad_6.5ns.avi;sad;7.0;congruent;130.0;160.0;170.39333839271438;s_s;;;;;0;21;21;21;;;;;;;296.381402399973;None;298.01479380001547;298.3312573999865;299.5145349999657;299.53121909999754;304.4643741999753;None;7;0;304.4643741999753;None;;;;;;;;3;;;;0.539807999972254;;;;306.0059023000067;None;None;None;[];306.0059023000067;None;"['7', '7']";"[0.4702486000023782, 0.8061059000319801]";306.0059023000067;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;120.0;150.0;225.70986890587952;h_h;;;;;0;22;22;22;;;;;;;309.006094100012;None;311.08909640001366;311.40577800001483;312.5478915999993;312.5723356999806;317.11411939997924;None;9;0;317.11411939997924;None;;;;;;;;9;;;;0.5941799000138417;;;;318.6639067999786;None;None;None;[];318.6639067999786;None;"['9', '9', '9', '9', '9']";"[0.49214379995828494, 0.8442881999653764, 1.1720244999742135, 1.5482100999797694, 2.060148299962748]";318.6639067999786;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
8.0;m;008_y_m_h_a.jpg;happy;9.0;sad_111.1.wmv;sad;7.0;incongruent;120.0;160.0;152.63076835312847;h_s;;;;;0;23;23;23;;;;;;;321.66398760001175;None;323.1387352999882;323.45543239999097;324.5887469999725;324.6055081000086;326.5888341999962;None;7;0;326.5888341999962;None;;;;;;;;4;;;;0.47161260002758354;;;;328.28865639999276;None;None;None;[];328.28865639999276;None;['7'];[0.5394534000079148];328.28865639999276;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_67.2ns.avi;sad;7.0;congruent;130.0;160.0;220.9892697323079;s_s;;;;;0;24;24;24;;;;;;;331.28860669996357;None;333.3467131999787;333.6634762000176;334.78857079998124;334.80518049997045;344.0216740000178;None;7;0;344.0216740000178;None;;;;;;;;2;;;;0.470420700032264;;;;345.571524399973;None;None;None;[];345.571524399973;None;"['7', '7', '7']";"[0.3525985999731347, 0.6726147999870591, 1.4165558000095189]";345.571524399973;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_29.1ns.avi;happy;9.0;incongruent;130.0;150.0;120.0316142834122;s_h;;;;;0;25;25;25;;;;;;;348.57154729997274;None;349.7712093999726;350.0877448999672;351.2380328999716;351.2553763000178;353.9130252000177;None;9;0;353.9130252000177;None;;;;;;;;8;;;;0.47523700003512204;;;;355.4712201000075;None;None;None;[];355.4712201000075;None;"['9', '9', '9']";"[0.6129604000016116, 0.9574066000059247, 1.244610499998089]";355.4712201000075;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
6.0;m;016_y_m_s_a.jpg;sad;7.0;sad_8.3ns.avi;sad;7.0;congruent;130.0;160.0;152.85371098242734;s_s;;;;;0;26;26;26;;;;;;;358.4794643999776;None;359.9626233999734;360.27938469999935;361.47088360000635;361.4877270999714;369.17083889996866;None;7;0;369.17083889996866;None;;;;;;;;3;;;;0.8092378000146709;;;;370.72078039997723;None;None;None;[];370.72078039997723;None;"['7', '7']";"[0.5793521999730729, 1.1872643000097014]";370.72078039997723;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
6.0;m;016_y_m_h_a.jpg;happy;9.0;sad_114.1.wmv;sad;7.0;incongruent;120.0;160.0;136.20550699298644;h_s;;;;;0;27;27;27;;;;;;;373.7291003999999;None;375.0792102999985;375.3955449999776;376.5206970999716;376.53721380000934;378.5288675999618;None;7;0;378.5288675999618;None;;;;;;;;2;;;;0.7953058999846689;;;;380.07881639996776;None;None;None;[];380.07881639996776;None;"['7', '7', '7', '7']";"[0.581191300007049, 0.8930983999744058, 1.2054655000101775, 1.5093630999908783]";380.07881639996776;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;215.61964028550614;s_h;;;;;0;28;28;28;;;;;;;383.08718520001275;None;385.0870339999674;385.4035523000057;386.5286514000036;386.54539310000837;388.53699749999214;None;9;0;388.53699749999214;None;;;;;;;;7;;;;1.0672512999735773;;;;390.0868565000128;None;None;None;[];390.0868565000128;None;"['9', '9']";"[0.7495069000287913, 1.8932979000383057]";390.0868565000128;None;;;S11155;2022_Jan_17_1216;VideoMask;2021.1.2;120.0493162712775;
