"term","sumsq","meansq","NumDF","DenDF","statistic","p.value"
"condition",0.953964101020319,0.31798803367344,3,348.314007576858,32.1301093870681,2.33410726252285e-18
"group",0.0629684793601793,0.0629684793601793,1,112.86759015209,6.36245377042876,0.0130497116977949
"age",0.160342672579875,0.160342672579875,1,113.092633588697,16.201325680442,0.000103325645053855
"sex",0.0174313967684802,0.0174313967684802,1,112.846276739385,1.76130116560497,0.187141248869689
"condition:group",0.0274310634347523,0.0091436878115841,3,348.31885206571,0.923895425367227,0.429348536355999
