Estimate;Std. Error;df;t value;Pr(>|t|)
81.427;8.08;105.608;10.077;0
-0.398;0.192;106.377;-2.078;0.04
0.064;0.1;107.877;0.642;0.522
-0.014;0.191;106.141;-0.075;0.94
0.161;0.227;105.667;0.709;0.48
