primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
3.0;m;033_o_m_s_a.jpg;sad;7.0;happy_126.3.wmv;happy;9.0;incongruent;130.0;150.0;220.47504181707743;;;;;0;29;29;29;;;;;;;396.6616649000207;None;398.7197213000618;399.03643109998666;400.16960300004575;400.1871918999823;402.1697987000225;None;None;0;402.1697987000225;None;;;;;;;;5;;;;;;403.719633800094;None;None;None;[];403.719633800094;None;None;403.719633800094;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
4.0;m;004_o_m_s_a.jpg;sad;7.0;sad_2.4ns.avi;sad;7.0;congruent;130.0;160.0;153.9424691910033;;;;;0;30;30;30;;;;;;;405.74461779999547;None;407.2611582999816;407.58635420002975;408.76974430005066;408.78626760002226;416.67770580004435;None;None;0;416.67770580004435;None;;;;;;;;5;;;;;;418.2365427000914;None;None;None;[];418.2365427000914;None;None;418.2365427000914;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
8.0;m;008_y_m_h_a.jpg;happy;9.0;sad_111.1.wmv;sad;7.0;incongruent;120.0;160.0;182.0123397825363;;;;;0;31;31;31;;;;;;;420.25240890006535;None;422.00243240001146;422.31911480007693;423.4441733000567;423.46080410003196;425.4526166000869;None;None;0;425.4526166000869;None;;;;;;;;5;;;;;;427.00223580002785;None;None;None;[];427.00223580002785;None;None;427.00223580002785;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;140.0;150.0;145.41905773865074;;;;;0;32;32;32;;;;;;;429.03572170005646;None;430.51905970007647;430.83557960006874;432.03620860003866;432.05216219997965;446.4608231000602;None;None;0;446.4608231000602;None;;;;;;;;5;;;;;;448.0599472000031;None;None;None;[];448.0599472000031;None;None;448.0599472000031;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_131.2.wmv;happy;9.0;incongruent;130.0;150.0;163.9874412082805;;;;;0;33;33;33;;;;;;;450.07655680004973;None;451.6764676000457;451.99323340004776;453.1263842000626;453.1430583000183;455.12654890003614;None;None;0;455.12654890003614;None;;;;;;;;5;;;;;;456.6767487000907;None;None;None;[];456.6767487000907;None;None;456.6767487000907;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;140.0;150.0;207.9053492649655;;;;;0;34;34;34;;;;;;;458.69295440008864;None;460.6262541000033;460.9429751000134;462.1763957000803;462.1930073000258;464.5679662000621;None;None;0;464.5679662000621;None;;;;;;;;5;;;;;;466.117710200022;None;None;None;[];466.117710200022;None;None;466.117710200022;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;218.0520785974414;;;;;0;35;35;35;;;;;;;468.15118400007486;None;470.1933182000648;470.50931090000086;471.6427991000237;471.65931300004013;473.642866600072;None;None;0;473.642866600072;None;;;;;;;;5;;;;;;475.19252120004967;None;None;None;[];475.19252120004967;None;None;475.19252120004967;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
2.0;f;012_o_f_h_a.jpg;happy;9.0;sad_113.1.wmv;sad;7.0;incongruent;120.0;160.0;192.53137802384992;;;;;0;36;36;36;;;;;;;477.2173892999999;None;479.03395820001606;479.3507558000274;480.47581279999577;480.49238609999884;482.48423589998856;None;None;0;482.48423589998856;None;;;;;;;;5;;;;;;484.0338300000876;None;None;None;[];484.0338300000876;None;None;484.0338300000876;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;140.0;150.0;159.76384515822056;;;;;0;37;37;37;;;;;;;486.0504783000797;None;487.6004583000904;487.91729800007306;489.0588820000412;489.0755078000948;493.63376420002896;None;None;0;493.63376420002896;None;;;;;;;;5;;;;;;495.18373819999397;None;None;None;[];495.18373819999397;None;None;495.18373819999397;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_64.3ns.avi;sad;7.0;congruent;130.0;160.0;172.91738127163183;;;;;0;38;38;38;;;;;;;497.20866160001606;None;498.8667541000759;499.18355379998684;500.3418719000183;500.35849990008865;505.3168433000101;None;None;0;505.3168433000101;None;;;;;;;;5;;;;;;506.8666811999865;None;None;None;[];506.8666811999865;None;None;506.8666811999865;None;;;EmoCon004;2021_Jun_18_1330;VideoMask;2021.1.2;119.97902772973748;
