primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;key_resp.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;178.10396226647933;;;;;0;51;51;51;;;;;;;703.6419349000789;None;705.3667969999369;705.6832888000645;706.8333856998943;706.8501514000818;708.8833745999727;None;None;0;708.8833745999727;None;;;;;;;;4;;;;;;;710.4333172000479;None;None;None;[];710.4333172000479;None;['7'];[0.49229169986210763];710.4333172000479;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_136.1.wmv;sad;7.0;incongruent;120.0;160.0;206.04367658109783;;;;;0;52;52;52;;;;;;;712.4417749999557;None;714.3829439000692;714.6996988998726;715.8331120000221;715.8495978999417;717.833072300069;None;None;0;717.833072300069;None;;;;;;;;3;;;;;;;719.383404900087;None;None;None;[];719.383404900087;None;"['7', '7', '7']";"[0.3181994999758899, 0.622074699960649, 0.9662437001243234]";719.383404900087;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
6.0;m;016_y_m_h_a.jpg;happy;9.0;happy_9.2ns.avi;happy;9.0;congruent;140.0;150.0;136.52220806776708;;;;;0;53;53;53;;;;;;;721.3914355998859;None;722.7743708000053;723.0912013000343;724.2829541000538;724.2995116999373;730.1494577000849;None;None;0;730.1494577000849;None;;;;;;;;6;;;;;;;731.6993231999222;None;None;None;[];731.6993231999222;None;['9'];[0.34623109991662204];731.6993231999222;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
9.0;f;019_m_f_h_a.jpg;happy;9.0;happy_10.1ns.avi;happy;9.0;congruent;140.0;150.0;180.35091595488527;;;;;0;54;54;54;;;;;;;733.6993348000105;None;735.4740271000192;735.790724700084;736.9325292001013;736.9490553999785;744.3738855998963;None;None;0;744.3738855998963;None;;;;;;;;5;;;;;;;745.9239419999067;None;None;None;[];745.9239419999067;None;None;;745.9239419999067;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
8.0;f;028_y_f_s_a.jpg;sad;7.0;happy_122.3.wmv;happy;9.0;incongruent;130.0;150.0;204.27932588393085;;;;;0;55;55;55;;;;;;;747.9488133999985;None;749.8985202000476;750.215195500059;751.3486878999975;751.3653885000385;753.3487525000237;None;None;0;753.3487525000237;None;;;;;;;;6;;;;;;;754.8984352999832;None;None;None;[];754.8984352999832;None;"['9', '9']";"[0.24321960005909204, 0.7791885999031365]";754.8984352999832;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
3.0;m;013_y_m_s_a.jpg;sad;7.0;sad_7.7ns.avi;sad;7.0;congruent;130.0;160.0;192.40728800739942;;;;;0;56;56;56;;;;;;;756.8986670000013;None;758.7650786999147;759.0817740000784;760.2484440000262;760.2651305999607;766.2155166000593;None;None;0;766.2155166000593;None;;;;;;;;3;;;;;;;767.7647873000242;None;None;None;[];767.7647873000242;None;"['7', '7']";"[0.2969081001356244, 0.6646918000187725]";767.7647873000242;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
3.0;m;013_y_m_h_a.jpg;happy;9.0;sad_113.2.wmv;sad;7.0;incongruent;120.0;160.0;219.6544115751568;;;;;0;57;57;57;;;;;;;769.7648948000278;None;771.8483176999725;772.1647077000234;773.2987379000988;773.3314658999443;775.2980734000448;None;None;0;775.2980734000448;None;;;;;;;;4;;;;;;;776.8480056999251;None;None;None;[];776.8480056999251;None;['7'];[0.23749359999783337];776.8480056999251;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_25.1ns.avi;happy;9.0;congruent;140.0;150.0;237.98255695511958;;;;;0;58;58;58;;;;;;;778.8478437000886;None;781.0642635999247;781.380940000061;782.5977413998917;782.614366899943;786.2060030999128;None;None;0;786.2060030999128;None;;;;;;;;5;;;;;;;787.7558571998961;None;None;None;[];787.7558571998961;None;None;;787.7558571998961;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;231.85538291836468;;;;;0;59;59;59;;;;;;;789.7807215999346;None;791.9473532000557;792.2641247999854;793.3891886000056;793.4057978000492;795.3979354999028;None;None;0;795.3979354999028;None;;;;;;;;5;;;;;;;797.0554881000426;None;None;None;[];797.0554881000426;None;None;;797.0554881000426;None;;;;S10718;2021_Jul_02_1553;VideoMask;2021.1.2;119.1872384111576;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;799.0806199000217;None;;;;;;
