29,2
23,1
23,2
19,1
27,2
22,1
18,2
36,2
26,2
28,2
29,2
26,2
22,1
22,1
32,1
25,1
23,1
32,2
22,2
26,2
21,2
26,2
21,1
25,2
33,1
25,1
30,1
18,1
30,2
38,1
21,1
23,1
27,1
44,1
36,1
22,1
30,1
21,1
21,1
28,2
21,2
27,2
33,2
36,1
23,1
24,2
25,1
25,1
41,1
24,1
22,2
26,2
18,1
24,2
35,2
19,2
26,1
18,1
22,1
41,2
39,2
22,1
23,1
21,2
24,1
32,1
27,2
24,2
20,2
21,2
22,1
21,1
52,1
35,1
30,2
22,2
19,2
20,2
25,1
23,2
22,2
25,1
27,1
34,1
22,1
43,1
28,2
21,1
21,2
34,1
26,2
22,2
22,1
21,1
21,1
29,2
24,2
30,2
29,2
23,2
23,1
22,1
22,2
22,2
18,1
23,1
22,1
19,1
22,2
22,1
20,1
22,2
29,2
23,1
23,2
19,1
27,2
22,1
18,2
36,2
26,2
28,2
29,2
26,2
22,1
22,1
32,1
25,1
23,1
32,2
22,2
26,2
21,2
26,2
21,1
25,2
33,1
25,1
30,1
18,1
30,2
38,1
21,1
23,1
27,1
44,1
36,1
22,1
30,1
21,1
21,1
28,2
21,2
27,2
33,2
36,1
23,1
24,2
25,1
25,1
41,1
24,1
22,2
26,2
18,1
24,2
35,2
19,2
26,1
18,1
22,1
41,2
39,2
22,1
23,1
21,2
24,1
32,1
27,2
24,2
20,2
21,2
22,1
21,1
52,1
35,1
30,2
22,2
19,2
20,2
25,1
23,2
22,2
25,1
27,1
34,1
22,1
43,1
28,2
21,1
21,2
34,1
26,2
22,2
22,1
21,1
21,1
29,2
24,2
30,2
29,2
23,2
23,1
22,1
22,2
22,2
18,1
23,1
22,1
19,1
22,2
22,1
20,1
22,2
29,2
23,1
23,2
19,1
27,2
22,1
18,2
36,2
26,2
28,2
29,2
26,2
22,1
22,1
32,1
25,1
23,1
32,2
22,2
26,2
21,2
26,2
21,1
25,2
33,1
25,1
30,1
18,1
30,2
38,1
21,1
23,1
27,1
44,1
36,1
22,1
30,1
21,1
21,1
28,2
21,2
27,2
33,2
36,1
23,1
24,2
25,1
25,1
41,1
24,1
22,2
26,2
18,1
24,2
35,2
19,2
26,1
18,1
22,1
41,2
39,2
22,1
23,1
21,2
24,1
32,1
27,2
24,2
20,2
21,2
22,1
21,1
52,1
35,1
30,2
22,2
19,2
20,2
25,1
23,2
22,2
25,1
27,1
34,1
22,1
43,1
28,2
21,1
21,2
34,1
26,2
22,2
22,1
21,1
21,1
29,2
24,2
30,2
29,2
23,2
23,1
22,1
22,2
22,2
18,1
23,1
22,1
19,1
22,2
22,1
20,1
22,2
29,2
23,1
23,2
19,1
27,2
22,1
18,2
36,2
26,2
28,2
29,2
26,2
22,1
22,1
32,1
25,1
23,1
32,2
22,2
26,2
21,2
26,2
21,1
25,2
33,1
25,1
30,1
18,1
30,2
38,1
21,1
23,1
27,1
44,1
36,1
22,1
30,1
21,1
21,1
28,2
21,2
27,2
33,2
36,1
23,1
24,2
25,1
25,1
41,1
24,1
22,2
26,2
18,1
24,2
35,2
19,2
26,1
18,1
22,1
41,2
39,2
22,1
23,1
21,2
24,1
32,1
27,2
24,2
20,2
21,2
22,1
21,1
52,1
35,1
30,2
22,2
19,2
20,2
25,1
23,2
22,2
25,1
27,1
34,1
22,1
43,1
28,2
21,1
21,2
34,1
26,2
22,2
22,1
21,1
21,1
29,2
24,2
30,2
29,2
23,2
23,1
22,1
22,2
22,2
18,1
23,1
22,1
19,1
22,2
22,1
20,1
22,2
