-0.116185	-3.500000	2
-0.173779	-7.500000	1
-0.127426	0.500000	2
-0.221778	2.500000	1
0.140779	-3.500000	2
-0.027667	-3.500000	2
-0.321250	-0.500000	2
-0.085155	-2.500000	2
-0.356944	6.500000	1
-0.111991	-3.500000	1
-0.070259	0.500000	1
-0.147461	-4.500000	1
0.095327	0.500000	1
-0.266507	-4.500000	2
-0.119260	-0.500000	2
0.106231	7.500000	2
-0.026255	-2.500000	2
-0.081911	18.500000	1
-0.172905	-3.500000	2
-0.120314	4.500000	1
-0.043033	-4.500000	1
-0.114187	-4.500000	1
-0.020476	1.500000	1
-0.031436	7.500000	2
-0.055666	10.500000	1
-0.181058	-2.500000	1
0.067765	-1.500000	1
0.276480	-0.500000	1
-0.127733	-0.500000	1
-0.105089	-1.500000	1
-0.322019	-1.500000	1
-0.088434	9.500000	1
0.031755	-6.500000	1
0.003015	0.500000	1
0.147762	-3.500000	2
0.223669	15.500000	2
-0.077681	-4.500000	2
-0.401239	-1.500000	2
-0.152697	-1.500000	1
-0.217685	-4.500000	1
-0.299062	-3.500000	2
0.290068	26.500000	1
0.034154	9.500000	1
0.089136	4.500000	1
0.001302	-6.500000	1
-0.232151	-2.500000	2
-0.312718	8.500000	2
0.263943	17.500000	1
-0.204635	-4.500000	2
-0.261576	-3.500000	2
-0.055672	-2.500000	1
-0.114054	-3.500000	1
-0.222797	-6.500000	1
0.240564	-3.500000	2
-0.146421	-7.500000	1
-0.094222	0.500000	2
0.050946	2.500000	1
0.022008	-3.500000	2
-0.046929	-3.500000	2
-0.144372	-0.500000	2
0.040062	-2.500000	2
-0.405561	6.500000	1
0.194205	-3.500000	1
0.069327	0.500000	1
-0.003436	-4.500000	1
0.174809	0.500000	1
-0.064654	-4.500000	2
-0.017740	-0.500000	2
0.185056	7.500000	2
0.130812	-2.500000	2
0.135509	18.500000	1
-0.009132	-3.500000	2
-0.023894	4.500000	1
0.058267	-4.500000	1
0.161052	-4.500000	1
0.200938	1.500000	1
-0.112571	7.500000	2
0.242074	10.500000	1
-0.045299	-2.500000	1
0.231999	-1.500000	1
0.265387	-0.500000	1
0.101696	-0.500000	1
0.056632	-1.500000	1
-0.142500	-1.500000	1
0.000487	9.500000	1
0.076038	-6.500000	1
0.060121	0.500000	1
