Participant,Group,Condition,Accuracy
Sub-040,1.0,sad_sad,100.0
Sub-041,2.0,happy_happy,93.33333333333331
Sub-041,2.0,happy_sad,83.33333333333334
Sub-041,2.0,sad_happy,93.33333333333331
Sub-041,2.0,sad_sad,93.33333333333331
Sub-042,1.0,happy_happy,100.0
Sub-042,1.0,happy_sad,91.66666666666666
Sub-042,1.0,sad_happy,100.0
Sub-042,1.0,sad_sad,93.33333333333331
Sub-043,2.0,happy_happy,93.33333333333331
Sub-043,2.0,happy_sad,80.0
Sub-043,2.0,sad_happy,100.0
Sub-043,2.0,sad_sad,100.0
Sub-044,1.0,happy_happy,100.0
Sub-044,1.0,happy_sad,83.33333333333334
Sub-044,1.0,sad_happy,100.0
Sub-044,1.0,sad_sad,100.0
Sub-045,2.0,happy_happy,73.33333333333333
Sub-045,2.0,happy_sad,78.57142857142857
Sub-045,2.0,sad_happy,86.66666666666669
Sub-045,2.0,sad_sad,86.66666666666669
Sub-046,2.0,happy_happy,100.0
Sub-046,2.0,happy_sad,93.33333333333331
Sub-046,2.0,sad_happy,100.0
Sub-046,2.0,sad_sad,100.0
Sub-047,2.0,happy_happy,100.0
Sub-047,2.0,happy_sad,81.81818181818183
Sub-047,2.0,sad_happy,100.0
Sub-047,2.0,sad_sad,100.0
Sub-048,1.0,happy_happy,93.33333333333331
Sub-048,1.0,happy_sad,91.66666666666666
Sub-048,1.0,sad_happy,100.0
Sub-048,1.0,sad_sad,78.57142857142857
Sub-049,1.0,happy_happy,100.0
Sub-049,1.0,happy_sad,92.30769230769229
Sub-049,1.0,sad_happy,100.0
Sub-049,1.0,sad_sad,100.0
Sub-050,2.0,happy_happy,100.0
Sub-050,2.0,happy_sad,91.66666666666666
Sub-050,2.0,sad_happy,100.0
Sub-050,2.0,sad_sad,90.9090909090909
Sub-051,2.0,happy_happy,100.0
Sub-051,2.0,happy_sad,100.0
Sub-051,2.0,sad_happy,86.66666666666669
Sub-051,2.0,sad_sad,84.61538461538461
Sub-052,2.0,happy_happy,100.0
Sub-052,2.0,happy_sad,100.0
Sub-052,2.0,sad_happy,86.66666666666669
Sub-052,2.0,sad_sad,93.33333333333331
Sub-053,2.0,happy_happy,100.0
Sub-053,2.0,happy_sad,100.0
Sub-053,2.0,sad_happy,100.0
Sub-053,2.0,sad_sad,85.71428571428571
Sub-054,2.0,happy_happy,93.33333333333331
Sub-054,2.0,happy_sad,100.0
Sub-054,2.0,sad_happy,100.0
Sub-054,2.0,sad_sad,93.33333333333331
Sub-055,2.0,happy_happy,100.0
Sub-055,2.0,happy_sad,100.0
Sub-055,2.0,sad_happy,100.0
Sub-055,2.0,sad_sad,73.33333333333333
Sub-056,2.0,happy_happy,93.33333333333331
Sub-056,2.0,happy_sad,53.846153846153854
