contrast,group,estimate,SE,df,t.ratio,p.value,Region,p_bonf,sig
L - R,HC,0.001930551339285864,0.007631362948402302,777.0000000000339,0.25297595623990643,0.8003537058331904,ACC,1,
L - R,MDD,0.001930551339285864,0.007631362948402302,777.0000000000339,0.25297595623990643,0.8003537058331904,ACC,1,
L - R,HC,-0.0963385691964284,0.012186257045592614,776.9999999999897,-7.905509364852191,9.143353006274166e-15,Amy,5.4860118037644995e-14,***
L - R,MDD,-0.0963385691964284,0.012186257045592614,776.9999999999897,-7.905509364852191,9.143353006274166e-15,Amy,5.4860118037644995e-14,***
L - R,HC,0.06460239508928574,0.011170183228124055,777.0000000000339,5.783467806206722,1.0602248516960727e-8,DLPFC,6.361349110176436e-8,***
L - R,MDD,0.06460239508928574,0.011170183228124055,777.0000000000339,5.783467806206722,1.0602248516960727e-8,DLPFC,6.361349110176436e-8,***
