Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F),Effect,p_bonf,sig,Region
0.003875132854782119,0.003875132854782119,1,109.99999901966697,0.6841991983681454,0.4099352689845639,group,1,,ACC
0.005192971884770117,0.005192971884770117,1,333.00000041076106,0.9168788100576751,0.3389904913747114,congruency,1,,ACC
4.174271890453623e-4,4.174271890453623e-4,1,333.0000004117256,0.0737015629720812,0.7861898567812116,hemisphere,1,,ACC
0.0034204658436510858,0.0034204658436510858,1,333.00000041076106,0.603922517232839,0.4376370074808267,group:congruency,1,,ACC
0.001108140411231221,0.001108140411231221,1,109.99999931506346,0.05349182836883856,0.8175246116689043,group,1,,Amy
0.10674123387492385,0.10674123387492385,1,333.00000031985763,5.152581481954544,0.02385061668806808,congruency,0.07155185006420424,,Amy
1.039485430459277,1.039485430459277,1,333.0000003198091,50.17773530725772,8.403122218259137e-12,hemisphere,2.520936665477741e-11,***,Amy
2.484589045385853e-4,2.484589045385853e-4,1,333.00000031985763,0.01199353524479895,0.9128599906216697,group:congruency,1,,Amy
0.005686690345246075,0.005686690345246075,1,109.99999948686073,0.44923238095932533,0.5041044051592496,group,1,,DLPFC
0.4918549141824331,0.4918549141824331,1,333.0000003365353,38.85514082359583,1.380713083666147e-9,congruency,4.142139250998441e-9,***,DLPFC
0.4674285785424826,0.4674285785424826,1,333.0000003374721,36.925529705097034,3.355229607691583e-9,hemisphere,1.0065688823074748e-8,***,DLPFC
5.876506629850384e-6,5.876506629850384e-6,1,333.0000003365353,4.642273281607201e-4,0.9828230652936432,group:congruency,1,,DLPFC
