"group","feature","M","SD"
"HC","brunets_index",8.60635625,1.77112962426431
"HC","pause_durations_mean",0.285025392857143,0.154058908610712
"HC","pause_rate",0.496456273809524,0.0990013321294462
"HC","speech_ratio",0.366934488095238,0.114427942586819
"HC","type_token_ratio",0.755907226190476,0.114641030820292
"HC","word_count",56.4047619047619,39.3291671842329
"MDD","brunets_index",10.0567199880952,1.85680454839262
"MDD","pause_durations_mean",0.338333761904762,0.338527894785936
"MDD","pause_rate",0.460067571428571,0.155373632004282
"MDD","speech_ratio",0.443122369047619,0.158149011484849
"MDD","type_token_ratio",0.665424035714286,0.14468220855422
"MDD","word_count",115.535714285714,102.832826260851
