"effect","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","p_bonf","sig","Region"
"fixed","(Intercept)",-0.214142932686357,0.0887805861367073,-2.41204684497816,73.9999998837705,0.0183428010182609,-0.391042112096021,-0.0372437532766938,0.0550284030547826,"","ACC"
"fixed","word_count_z",0.0126041415302047,0.0332813835379138,0.378714470083439,73.999999337296,0.70598430280126,-0.0537104627587549,0.0789187458191643,1,"","ACC"
"fixed","speech_ratio_z",0.0150420452264285,0.053758624618547,0.279807106918411,73.9999994966538,0.780406140602285,-0.0920743525792372,0.122158443032094,1,"","ACC"
"fixed","pause_rate_z",0.0426258003607444,0.0429969888731563,0.991367104484759,73.9999995597823,0.324736969972089,-0.0430475701392986,0.128299170860787,0.974210909916268,"","ACC"
"fixed","pause_durations_mean_z",-0.010381321780766,0.0302636488828171,-0.343029415288394,73.9999991284897,0.732548908579602,-0.0706829585144633,0.0499203149529312,1,"","ACC"
"fixed","type_token_ratio_z",0.0143244904429977,0.0945835446591989,0.151448018728959,73.9999965393976,0.880034431024381,-0.174137336365286,0.202786317251281,1,"","ACC"
"fixed","brunets_index_z",7.20589708370152e-05,0.110298525503189,0.000653308559731672,73.9999969233951,0.999480493229281,-0.219702550700413,0.219846668642087,1,"","ACC"
"fixed","groupMDD",-0.0201143314910729,0.0447635691456129,-0.449346016749521,73.9999992320497,0.654495406987213,-0.109307690028626,0.0690790270464799,1,"","ACC"
"fixed","age",0.00345928925529962,0.0029712801354525,1.16424204302527,73.9999999406753,0.248065780672203,-0.00246111565103545,0.00937969416163469,0.744197342016609,"","ACC"
"fixed","sexm",0.0481013530355463,0.0390663224529216,1.23127415163054,73.9999989665029,0.222119189109226,-0.0297399936667272,0.12594269973782,0.666357567327677,"","ACC"
"fixed","(Intercept)",0.147402411247216,0.105323298257322,1.39952331237375,74.0000006822642,0.16583424673419,-0.0624588415542635,0.357263664048695,0.497502740202569,"","Amy"
"fixed","word_count_z",-0.0431903708786106,0.0394827882683787,-1.0939037685239,73.9999998791694,0.277545245291486,-0.121861543816509,0.0354808020592879,0.832635735874459,"","Amy"
"fixed","speech_ratio_z",0.184968578309337,0.0637756056924506,2.90030296538968,73.9999999486373,0.0049056457944078,0.0578929100341554,0.31204424658452,0.0147169373832234,"*","Amy"
"fixed","pause_rate_z",0.131189846728612,0.0510087270237043,2.57190983550025,73.9999999439884,0.012119932620064,0.0295527394987923,0.232826953958433,0.0363597978601919,"*","Amy"
"fixed","pause_durations_mean_z",0.0986006097112926,0.035902751449846,2.74632460548412,73.9999998923418,0.00756260263752868,0.0270628158490749,0.17013840357351,0.022687807912586,"*","Amy"
"fixed","type_token_ratio_z",-0.00161891944855922,0.112207536780966,-0.0144279029288328,74.0000000302654,0.988527426837776,-0.22519731697023,0.221959478073111,1,"","Amy"
"fixed","brunets_index_z",-0.0191030079850061,0.130850729922204,-0.145990840069166,73.9999999814936,0.884325580174208,-0.279828778732254,0.241622762762242,1,"","Amy"
"fixed","groupMDD",-0.0497651927188465,0.0531044786855026,-0.937118562326313,74.0000000149769,0.351746022390131,-0.155578176288263,0.0560477908505703,1,"","Amy"
"fixed","age",-0.00228646767310118,0.00352492631024562,-0.648656871621767,74.0000005625352,0.518568141426124,-0.00931003666268606,0.0047371013164837,1,"","Amy"
"fixed","sexm",0.0745751083348609,0.0463456495453627,1.60910698342608,74.0000000227944,0.11185116914707,-0.0177706141962141,0.166920830865936,0.33555350744121,"","Amy"
"fixed","(Intercept)",-0.252656857743453,0.135751787944765,-1.8611678090476,73.9999944607036,0.0666923918637758,-0.523148200108409,0.0178344846215027,0.200077175591327,"","DLPFC"
"fixed","word_count_z",0.0412572136330487,0.0508895865317628,0.810720157989453,73.9999906605472,0.420126147756604,-0.060142501195904,0.142656928462001,1,"","DLPFC"
"fixed","speech_ratio_z",-0.0443254888134737,0.082200734721192,-0.539234703483085,73.9999900049216,0.591343679829843,-0.208114028448865,0.119463050821917,1,"","DLPFC"
"fixed","pause_rate_z",-0.0230706580095263,0.065745433430471,-0.350908904326027,73.9999903189933,0.726653738041221,-0.154071294014025,0.107929977994973,1,"","DLPFC"
"fixed","pause_durations_mean_z",-0.0196644357866354,0.0462752570617891,-0.424944928136832,73.9999902186663,0.672109927171193,-0.111869898435438,0.072541026862167,1,"","DLPFC"
"fixed","type_token_ratio_z",-0.0325482731039218,0.144624921464977,-0.225053004518338,73.9999876058551,0.822558364336418,-0.320719720411984,0.25562317420414,1,"","DLPFC"
"fixed","brunets_index_z",-0.0807653087926324,0.168654237331444,-0.478880993863856,73.9999878196122,0.633435322089668,-0.416816213241187,0.255285595655923,1,"","DLPFC"
"fixed","groupMDD",0.0135816580971176,0.0684466594638777,0.198426894803906,73.999990827088,0.843255207672611,-0.1228012882654,0.149964604459635,1,"","DLPFC"
"fixed","age",0.010564309588718,0.00454329722774438,2.32525169698459,73.9999941627376,0.0228028325381335,0.0015115922390371,0.0196170269383989,0.0684084976144004,"","DLPFC"
"fixed","sexm",-0.0346715006151955,0.0597351667992121,-0.58042025280915,73.9999907317002,0.563394607329188,-0.153696418902215,0.0843534176718236,1,"","DLPFC"
