primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_128.2.wmv;sad;7.0;incongruent;120.0;160.0;121.98396994352893;;;;;0;45;45;45;;;;;;;645.3673595999135;None;646.592131299898;646.9088350000093;648.050511199981;648.0672061999794;650.0422865999863;None;None;0;;650.0422865999863;None;;;;;;;;2;;;;;;651.5920893999282;None;None;None;[];651.5920893999282;None;"['7', '7', '7']";651.5920893999282;None;"[0.34778329997789115, 0.6759958999464288, 0.9640703999903053]";;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_138.1.wmv;sad;7.0;incongruent;120.0;160.0;195.60264978061832;;;;;0;46;46;46;;;;;;;654.6003685999895;None;656.441846499918;656.75850789994;657.8919960999629;657.9086378999054;659.8919595999178;None;None;0;;659.8919595999178;None;;;;;;;;7;;;;;;661.4416663999436;None;None;None;[];661.4416663999436;None;"['9', '9']";661.4416663999436;None;"[0.33052840002346784, 0.66665330005344]";;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_29.1ns.avi;happy;9.0;incongruent;130.0;150.0;212.92407054126133;;;;;0;47;47;47;;;;;;;664.4502555999206;None;666.4250870998949;666.7415991999442;667.8922925000079;667.9168470998993;670.566611199989;None;9;0;0.45348040002863854;670.566611199989;None;;;;;;;;9;;;;;;672.1666685999371;None;None;None;[];672.1666685999371;None;"['9', '9', '9', '9']";672.1666685999371;None;"[10.690355299971998, 0.22152100002858788, 0.4293769000796601, 0.7894306000089273]";;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
0.0;f;040_y_f_h_a.jpg;happy;9.0;happy_24.3ns.avi;happy;9.0;congruent;140.0;150.0;190.23859628619445;;;;;0;48;48;48;;;;;;;675.1416146999691;None;676.9162557999371;677.2329253999051;678.4410927999998;678.4577838999685;680.2912661998998;None;None;0;;680.2912661998998;None;;;;;;;;7;;;;;;681.8410851999652;None;None;None;[];681.8410851999652;None;"['9', '9']";681.8410851999652;None;"[0.49084129999391735, 0.819100399967283]";;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
3.0;m;033_o_m_h_a.jpg;happy;9.0;happy_24.2ns.avi;happy;9.0;congruent;140.0;150.0;127.28107088671867;;;;;0;49;49;49;;;;;;;684.8411863999208;None;686.0993314000079;686.4246385999722;687.641184899956;687.6577526999172;691.2743255000096;None;9;0;0.36177459999453276;691.2743255000096;None;;;;;;;;8;;;;;;692.8492880999111;None;None;None;[];692.8492880999111;None;"['9', '9', '9']";692.8492880999111;None;"[0.2267625000094995, 0.48289340001065284, 1.210882999934256]";;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
9.0;f;019_m_f_s_a.jpg;sad;7.0;happy_61.1ns.avi;happy;9.0;incongruent;130.0;150.0;190.9434091532566;;;;;0;50;50;50;;;;;;;695.8575264998944;None;697.6655539999483;697.9823835999705;699.1746923999162;699.1991024999879;706.5074458000017;None;None;0;;706.5074458000017;None;;;;;;;;7;;;;;;708.0572167999344;None;None;None;[];708.0572167999344;None;"['9', '9', '9']";708.0572167999344;None;"[0.23497760004829615, 0.6592815000331029, 1.1790014000143856]";;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;178.10396226647933;;;;;0;51;51;51;;;;;;;711.0571052999003;None;712.7569339999463;713.0735647999682;714.206829899922;714.2236758999061;716.2737506999401;None;None;0;;716.2737506999401;None;;;;;;;;5;;;;;;717.8238286999986;None;None;None;[];717.8238286999986;None;None;717.8238286999986;None;;;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_136.1.wmv;sad;7.0;incongruent;120.0;160.0;206.04367658109783;;;;;0;52;52;52;;;;;;;720.8484289000044;None;722.7817112999037;723.09835320001;724.2321790999267;724.2567473999225;726.231824999908;None;None;0;;726.231824999908;None;;;;;;;;1;;;;;;727.7817174999509;None;None;None;[];727.7817174999509;None;"['7', '7', '7', '7', '7']";727.7817174999509;None;"[0.3024110000114888, 0.798575000022538, 1.1982426999602467, 1.3585489999968559, 1.5504222000017762]";;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
6.0;m;016_y_m_h_a.jpg;happy;9.0;happy_9.2ns.avi;happy;9.0;congruent;140.0;150.0;136.52220806776708;;;;;0;53;53;53;;;;;;;730.7816842999309;None;732.1230203999439;732.4399534999393;733.5649024999002;733.5814434000058;739.4981888999464;None;None;0;;739.4981888999464;None;;;;;;;;1;;;;;;741.0481842999579;None;None;None;[];741.0481842999579;None;"['7', '7', '7', '7', '7', '7', '7', '7', '7', '7', '7']";741.0481842999579;None;"[0.32404900004621595, 0.6359926000004634, 0.8360642000334337, 1.0361378999659792, 1.2200050000101328, 1.4201368000358343, 1.6361151000019163, 1.8520760000683367, 2.044096800033003, 2.2361109000630677, 2.3879556000465527]";;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
9.0;f;019_m_f_h_a.jpg;happy;9.0;happy_10.1ns.avi;happy;9.0;congruent;140.0;150.0;180.35091595488527;;;;;0;54;54;54;;;;;;;744.0479135999922;None;745.7641722999979;746.0810957999201;747.2310783999274;747.247756299912;754.6558177999686;None;None;0;;754.6558177999686;None;;;;;;;;7;;;;;;756.2061840000097;None;None;None;[];756.2061840000097;None;"['9', '9', '9']";756.2061840000097;None;"[0.3338697999715805, 0.7100869999267161, 1.0540924998931587]";;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
8.0;f;028_y_f_s_a.jpg;sad;7.0;happy_122.3.wmv;happy;9.0;incongruent;130.0;150.0;204.27932588393085;;;;;0;55;55;55;;;;;;;759.214084199979;None;761.1305534999119;761.4472961999709;762.5806858999422;762.5973135000095;764.5810189999174;None;None;0;;764.5810189999174;None;;;;;;;;6;;;;;;766.1308280999074;None;None;None;[];766.1308280999074;None;['9'];766.1308280999074;None;[0.44925100007094443];;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
3.0;m;013_y_m_s_a.jpg;sad;7.0;sad_7.7ns.avi;sad;7.0;congruent;130.0;160.0;192.40728800739942;;;;;0;56;56;56;;;;;;;769.1304818999488;None;770.9386163000017;771.2553695999086;772.4383604999166;772.4551766999066;778.3886531000026;None;None;0;;778.3886531000026;None;;;;;;;;2;;;;;;779.9387038999703;None;None;None;[];779.9387038999703;None;"['7', '7', '7']";779.9387038999703;None;"[0.2335499000037089, 0.4813190000131726, 0.8014300999930128]";;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
3.0;m;013_y_m_h_a.jpg;happy;9.0;sad_113.2.wmv;sad;7.0;incongruent;120.0;160.0;219.6544115751568;;;;;0;57;57;57;;;;;;;782.9384234999306;None;784.9798691999167;785.2968252999708;786.4301011000061;786.446643400006;788.430111899972;None;None;0;;788.430111899972;None;;;;;;;;1;;;;;;789.9797033999348;None;None;None;[];789.9797033999348;None;"['7', '7', '7', '7', '7']";789.9797033999348;None;"[0.2405379000119865, 0.6086442000232637, 0.9124675000784919, 1.1765548000112176, 1.5925151000265032]";;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_25.1ns.avi;happy;9.0;congruent;140.0;150.0;237.98255695511958;;;;;0;58;58;58;;;;;;;792.9882730999961;None;795.1795899999561;795.4963286999846;796.7547333999537;796.7713883999968;800.3213458999526;None;None;0;;800.3213458999526;None;;;;;;;;7;;;;;;801.8710659999633;None;None;None;[];801.8710659999633;None;"['9', '9', '9', '9', '9']";801.8710659999633;None;"[0.4931908999569714, 0.8851771999616176, 1.2611615000059828, 1.6929969999473542, 2.157378999982029]";;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;231.85538291836468;;;;;0;59;59;59;;;;;;;804.8710975999711;None;807.0130518999649;807.3293644000078;808.4544362999732;808.4708867999725;810.4625486999284;None;None;0;;810.4625486999284;None;;;;;;;;3;;;;;;812.0129003999755;None;None;None;[];812.0129003999755;None;"['7', '7']";812.0129003999755;None;"[0.007300899946130812, 0.3914993000216782]";;;S10781;2021_Jul_27_1728;VideoMask;2021.1.2;120.0114250628929;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;815.0210007999558;None;;;;;;
