primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
1.0;f;021_o_f_h_a.jpg;happy;9.0;sad_116.1.wmv;sad;7.0;incongruent;120.0;160.0;184.06847610053055;h_s;;;;;0;18;18;18;;;;;;;372.7738412001636;None;374.52370570017956;374.84050539997406;375.9821823001839;375.9987687000539;377.9738042000681;None;None;0;377.9738042000681;None;;;;;;;;4;;;;;;;;379.52348259999417;None;None;None;[];379.52348259999417;None;['7'];379.52348259999417;None;[0.6491078000981361];;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;157.40741103039684;s_h;;;;;0;19;19;19;;;;;;;382.52369250007905;None;384.0652219001204;384.38179430016316;385.53171850019135;385.54841230018064;389.90664060018025;None;None;0;389.90664060018025;None;;;;;;;;6;;;;;;;;391.45640190015547;None;None;None;[];391.45640190015547;None;['9'];391.45640190015547;None;[0.5481952999252826];;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
8.0;f;028_y_f_s_a.jpg;sad;7.0;happy_122.3.wmv;happy;9.0;incongruent;130.0;150.0;171.8670540936116;s_h;;;;;0;20;20;20;;;;;;;394.4566488000564;None;396.10633670003153;396.42285570013337;397.5564171001315;397.57307659997605;399.556364600081;None;None;0;399.556364600081;None;;;;;;;;6;;;;;;;;401.1063288000878;None;None;None;[];401.1063288000878;None;['9'];401.1063288000878;None;[0.2901510000228882];;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
8.0;m;008_y_m_s_a.jpg;sad;7.0;sad_6.5ns.avi;sad;7.0;congruent;130.0;160.0;170.39333839271438;s_s;;;;;0;21;21;21;;;;;;;404.10624950006604;None;405.73928500013426;406.05605090013705;407.20600950019434;407.2225445001386;412.18927950016223;None;None;0;412.18927950016223;None;;;;;;;;5;;;;;;;;413.7975896000862;None;None;None;[];413.7975896000862;None;None;413.7975896000862;None;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;120.0;150.0;225.70986890587952;h_h;;;;;0;22;22;22;;;;;;;416.8224804000929;None;418.9139763000421;419.2306334001478;420.3720748000778;420.3890062000137;424.9471458001062;None;None;0;424.9471458001062;None;;;;;;;;6;;;;;;;;426.4971347001847;None;None;None;[];426.4971347001847;None;['9'];426.4971347001847;None;[0.24332570005208254];;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
8.0;m;008_y_m_h_a.jpg;happy;9.0;sad_111.1.wmv;sad;7.0;incongruent;120.0;160.0;152.63076835312847;h_s;;;;;0;23;23;23;;;;;;;429.50557260005735;None;430.9801932000555;431.296944900183;432.44689829996787;432.46365660009906;434.4302265001461;None;None;0;434.4302265001461;None;;;;;;;;5;;;;;;;;435.9800470001064;None;None;None;[];435.9800470001064;None;None;435.9800470001064;None;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_67.2ns.avi;sad;7.0;congruent;130.0;160.0;220.9892697323079;s_s;;;;;0;24;24;24;;;;;;;438.9966170999687;None;441.08826390001923;441.40491640008986;442.5966243001167;442.6132772001438;451.7629976000171;None;None;0;451.7629976000171;None;;;;;;;;4;;;;;;;;453.31295110005885;None;None;None;[];453.31295110005885;None;['7'];453.31295110005885;None;[0.6836907998658717];;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_29.1ns.avi;happy;9.0;incongruent;130.0;150.0;120.0316142834122;s_h;;;;;0;25;25;25;;;;;;;456.3130125000607;None;457.52936140005477;457.8459501999896;458.98879029997624;459.0049900000449;461.6711638001725;None;None;0;461.6711638001725;None;;;;;;;;6;;;;;;;;463.2207506999839;None;None;None;[];463.2207506999839;None;"['9', '9']";463.2207506999839;None;"[0.3275641000363976, 0.7757482000160962]";;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
6.0;m;016_y_m_s_a.jpg;sad;7.0;sad_8.3ns.avi;sad;7.0;congruent;130.0;160.0;152.85371098242734;s_s;;;;;0;26;26;26;;;;;;;466.2292324001901;None;467.75402850005776;468.07081820000894;469.24555920017883;469.2624525001738;476.9621473001316;None;None;0;476.9621473001316;None;;;;;;;;5;;;;;;;;478.64537820010446;None;None;None;[];478.64537820010446;None;None;478.64537820010446;None;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
6.0;m;016_y_m_h_a.jpg;happy;9.0;sad_114.1.wmv;sad;7.0;incongruent;120.0;160.0;136.20550699298644;h_s;;;;;0;27;27;27;;;;;;;481.6703978001606;None;483.02016890002415;483.3368113001343;484.47021430009045;484.4868793999776;486.4702896999661;None;None;0;486.4702896999661;None;;;;;;;;5;;;;;;;;488.0199281000532;None;None;None;[];488.0199281000532;None;None;488.0199281000532;None;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
