primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_2.2ns.avi;happy;9.0;congruent;120.0;150.0;206.34800317295262;h_h;;;;;0;48;48;48;;;;;;;717.4960758001544;None;719.4792146000545;719.795759800123;720.9374234999996;720.9541317999829;733.1290808001067;None;None;0;733.1290808001067;None;;;;;;;;5;;;;;;;;734.6868100001011;None;None;None;[];734.6868100001011;None;None;734.6868100001011;None;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
3.0;m;033_o_m_h_a.jpg;happy;9.0;happy_24.2ns.avi;happy;9.0;congruent;120.0;150.0;167.9423847659953;h_h;;;;;0;49;49;49;;;;;;;737.7034744999837;None;739.3201955000404;739.6370016001165;740.8035795001779;740.8202057001181;744.5034043001942;None;None;0;744.5034043001942;None;;;;;;;;5;;;;;;;;746.0531316001434;None;None;None;[];746.0531316001434;None;None;746.0531316001434;None;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
1.0;f;021_o_f_s_a.jpg;sad;7.0;happy_61.2ns.avi;happy;9.0;incongruent;130.0;150.0;210.94664004826666;s_h;;;;;0;50;50;50;;;;;;;749.0782523001544;None;751.0613029000815;751.3780825000722;752.5528586001601;752.5697745999787;757.036187000107;None;None;0;757.036187000107;None;;;;;;;;5;;;;;;;;758.5860133999959;None;None;None;[];758.5860133999959;None;None;758.5860133999959;None;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
4.0;m;004_o_m_s_a.jpg;sad;7.0;sad_2.4ns.avi;sad;7.0;congruent;130.0;160.0;153.02079367163634;s_s;;;;;0;51;51;51;;;;;;;761.6110760001466;None;763.1192985000089;763.4360337001272;764.5944223999977;764.61087770015;772.5276933000423;None;8;0;772.5276933000423;None;;;;;;;;5;;;;0.53241360001266;;;;774.0940829999745;None;None;None;[];774.0940829999745;None;None;774.0940829999745;None;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_1.2ns.avi;happy;9.0;congruent;120.0;150.0;210.98946429383824;h_h;;;;;0;52;52;52;;;;;;;777.1189470000099;None;779.1437252000906;779.4605450001545;780.6022469999734;780.6188628000673;793.3852089999709;None;None;0;793.3852089999709;None;;;;;;;;5;;;;;;;;794.934867599979;None;None;None;[];794.934867599979;None;None;794.934867599979;None;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_52.2ns.avi;happy;9.0;incongruent;130.0;150.0;172.57202848318138;s_h;;;;;0;53;53;53;;;;;;;797.9598487000912;None;799.6347678999882;799.9515271000564;801.1185542000458;801.1432741000317;804.6346849000547;None;None;0;804.6346849000547;None;;;;;;;;4;;;;;;;;806.1847155999858;None;None;None;[];806.1847155999858;None;['7'];806.1847155999858;None;[0.5471886999439448];;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
9.0;f;019_m_f_s_a.jpg;sad;7.0;happy_61.1ns.avi;happy;9.0;incongruent;130.0;150.0;181.3003220572762;s_h;;;;;0;54;54;54;;;;;;;809.1930184999947;None;810.9678502001334;811.2845012000762;812.5093511000741;812.5259509000462;819.809249300044;None;None;0;819.809249300044;None;;;;;;;;6;;;;;;;;821.3591698000673;None;None;None;[];821.3591698000673;None;['9'];821.3591698000673;None;[0.41283720009960234];;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_133.1.wmv;sad;7.0;incongruent;120.0;160.0;198.86251500867985;h_s;;;;;0;55;55;55;;;;;;;824.367519200081;None;826.2422427001875;826.5588836001698;827.6923665001523;827.7089802001137;829.6921500000171;None;None;0;829.6921500000171;None;;;;;;;;5;;;;;;;;831.3505949000828;None;None;None;[];831.3505949000828;None;None;831.3505949000828;None;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_128.2.wmv;sad;7.0;incongruent;120.0;160.0;206.10005857915363;h_s;;;;;0;56;56;56;;;;;;;834.3838080000132;None;836.3169905000832;836.6336235001218;837.7668632999994;837.783629800193;839.7668238000479;None;None;0;839.7668238000479;None;;;;;;;;5;;;;;;;;841.3168742000125;None;None;None;[];841.3168742000125;None;None;841.3168742000125;None;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
1.0;f;021_o_f_s_a.jpg;sad;7.0;sad_9.5ns.avi;sad;7.0;congruent;130.0;160.0;206.16642757875042;s_s;;;;;0;57;57;57;;;;;;;844.3417913001031;None;846.2748458001297;846.5917112000752;847.7586288000457;847.7748090000823;853.4581654001959;None;None;0;853.4581654001959;None;;;;;;;;4;;;;;;;;855.0995628000237;None;None;None;[];855.0995628000237;None;['7'];855.0995628000237;None;[1.008418699959293];;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
1.0;f;021_o_f_h_a.jpg;happy;9.0;happy_12.1ns.avi;happy;9.0;congruent;120.0;150.0;132.59080005900228;h_h;;;;;0;58;58;58;;;;;;;858.0996587001719;None;859.457879499998;859.774518399965;860.9161535000894;860.9328084001318;868.5243402000051;None;None;0;868.5243402000051;None;;;;;;;;6;;;;;;;;870.0658313999884;None;None;None;[];870.0658313999884;None;['9'];870.0658313999884;None;[0.3221479000058025];;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
3.0;m;013_y_m_s_a.jpg;sad;7.0;happy_56.2ns.avi;happy;9.0;incongruent;130.0;150.0;163.39234110935848;s_h;;;;;0;59;59;59;;;;;;;873.0741358001251;None;874.665750300046;874.9823561999947;876.2073503001593;876.2240902001504;881.1405291000847;None;None;0;881.1405291000847;None;;;;;;;;5;;;;;;;;882.6905683001969;None;None;None;[];882.6905683001969;None;None;882.6905683001969;None;;;;S11679;2022_Aug_22_1702;VideoMask;2021.1.2;120.05018074272323;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;885.7153531999793;None;;;;;;
