primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;key_resp.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_67.2ns.avi;sad;7.0;congruent;130.0;160.0;220.9892697323079;s_s;;;;;0;24;24;24;;;;;;;363.13677630000166;None;365.2365648999985;365.5532148999919;366.6865012999915;366.7032483999792;375.91130619999603;None;7;0;375.91130619999603;None;;;;;;;;1;;;;;;377.46126409998396;None;None;None;[];377.46126409998396;None;"['7', '7', '7', '7']";"[0.44245949998730794, 0.6660091000085231, 0.8500365999934729, 1.0420483000052627]";377.46126409998396;None;0.42412310000509024;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_29.1ns.avi;happy;9.0;incongruent;130.0;150.0;120.0316142834122;s_h;;;;;0;25;25;25;;;;;;;380.46118579999893;None;381.6944697999861;382.0111068999977;383.15279920000467;383.16944669999066;385.83600769998156;None;9;0;385.83600769998156;None;;;;;;;;8;;;;;;387.3943351999915;None;None;None;[];387.3943351999915;None;"['9', '9', '9']";"[0.33294500000192784, 0.6371217999840155, 1.005235199991148]";387.3943351999915;None;0.811448799999198;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
6.0;m;016_y_m_s_a.jpg;sad;7.0;sad_8.3ns.avi;sad;7.0;congruent;130.0;160.0;152.85371098242734;s_s;;;;;0;26;26;26;;;;;;;390.39436939998996;None;391.92741549998755;392.2440789999964;393.3940437999845;393.4108181000047;401.13558539998485;None;7;0;401.13558539998485;None;;;;;;;;4;;;;;;402.7188571000006;None;None;None;[];402.7188571000006;None;['7'];[0.6725585000240244];402.7188571000006;None;0.9764176999742631;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
6.0;m;016_y_m_h_a.jpg;happy;9.0;sad_114.1.wmv;sad;7.0;incongruent;120.0;160.0;136.20550699298644;h_s;;;;;0;27;27;27;;;;;;;405.7187886000029;None;407.0686429000052;407.3853165000037;408.5353562999808;408.5520155999984;410.51864729999215;None;7;0;410.51864729999215;None;;;;;;;;2;;;;;;412.0685764999944;None;None;None;[];412.0685764999944;None;"['7', '7', '7']";"[0.3709662000183016, 0.6588676999963354, 1.0429762999992818]";412.0685764999944;None;0.5607924000069033;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;215.61964028550614;s_h;;;;;0;28;28;28;;;;;;;415.0685889000015;None;417.08492289998685;417.40161380000063;418.5267204999982;418.5433947999845;420.5349905999901;None;9;0;420.5349905999901;None;;;;;;;;8;;;;;;422.1016594999819;None;None;None;[];422.1016594999819;None;"['9', '9', '9']";"[0.42578239997965284, 0.7299914000032004, 1.0977304999832995]";422.1016594999819;None;0.9045989000005648;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
6.0;m;016_y_m_h_a.jpg;happy;9.0;happy_9.2ns.avi;happy;9.0;congruent;120.0;150.0;130.52042428082717;h_h;;;;;0;29;29;29;;;;;;;425.1100219999789;None;426.4431500000064;426.7597453999915;427.90983399999095;427.9264187999943;433.81788600000436;None;9;0;433.81788600000436;None;;;;;;;;9;;;;;;435.3677944999945;None;None;None;[];435.3677944999945;None;"['9', '9', '9', '9', '9']";"[0.43953940001665615, 0.70347100001527, 0.9677481000253465, 1.3436439000070095, 1.8477945000049658]";435.3677944999945;None;0.46166589998756535;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
0.0;f;040_y_f_s_a.jpg;sad;7.0;happy_127.3.wmv;happy;9.0;incongruent;130.0;150.0;131.7195455720239;s_h;;;;;0;30;30;30;;;;;;;438.37613879999844;None;439.69283329998143;440.0093846999807;441.1345027999778;441.1510441999999;443.2093271999911;None;9;0;443.2093271999911;None;;;;;;;;8;;;;;;444.75921409999137;None;None;None;[];444.75921409999137;None;"['9', '9', '9']";"[0.3284233000013046, 0.8243866999982856, 1.192137099977117]";444.75921409999137;None;0.7021615999983624;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
0.0;f;030_o_f_s_a.jpg;sad;7.0;happy_125.3.wmv;happy;9.0;incongruent;130.0;150.0;220.51454909128134;s_h;;;;;0;31;31;31;;;;;;;447.75932260000263;None;449.82567469999776;450.142388999986;451.2763466000033;451.3007715999847;453.2756851000013;None;9;0;453.2756851000013;None;;;;;;;;9;;;;;;454.8256088999915;None;None;None;[];454.8256088999915;None;"['9', '9', '9', '9', '9']";"[0.22995050001190975, 0.47780440002679825, 0.7018512000213377, 1.0459401000116486, 1.8620317000022624]";454.8256088999915;None;0.6676881999883335;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_64.3ns.avi;sad;7.0;congruent;130.0;160.0;165.78667874766072;s_s;;;;;0;32;32;32;;;;;;;457.82555519999005;None;459.4253114000021;459.74210639999365;460.8671367999923;460.8837904999964;465.8759824000008;None;7;0;465.8759824000008;None;;;;;;;;2;;;;;;467.62523400000646;None;None;None;[];467.62523400000646;None;"['7', '7', '7']";"[0.47008530001039617, 0.7664520000107586, 1.1423018999921624]";467.62523400000646;None;0.9315071000019088;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
3.0;m;013_y_m_s_a.jpg;sad;7.0;sad_7.7ns.avi;sad;7.0;congruent;130.0;160.0;196.24182255763262;s_s;;;;;0;33;33;33;;;;;;;470.62519289998454;None;472.49159409999265;472.80833259999054;474.0000924000051;474.0166849999805;479.9499113000056;None;None;0;479.9499113000056;None;;;;;;;;4;;;;;;481.499920799979;None;None;None;[];481.499920799979;None;['7'];[0.731656899995869];481.499920799979;None;;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
3.0;m;013_y_m_h_a.jpg;happy;9.0;happy_9.1ns.avi;happy;9.0;congruent;120.0;150.0;165.1890303600433;h_h;;;;;0;34;34;34;;;;;;;484.4997882999887;None;486.1079804000037;486.4331971000065;487.6161127999949;487.6328789999825;490.79126899997937;None;9;0;490.79126899997937;None;;;;;;;;9;;;;;;492.3412214999844;None;None;None;[];492.3412214999844;None;"['9', '9', '9', '9']";"[0.27440569997997954, 0.5060323000070639, 0.9541986999975052, 1.3385536999849137]";492.3412214999844;None;0.7122165999899153;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
4.0;m;004_o_m_h_a.jpg;happy;9.0;sad_95.1ns.avi;sad;7.0;incongruent;120.0;160.0;152.68270002069931;h_s;;;;;0;35;35;35;;;;;;;495.34109430000535;None;496.882523999986;497.1992559999926;498.3327010999783;498.34944289998384;507.1242917999916;None;7;0;507.1242917999916;None;;;;;;;;1;;;;;;508.6824454999878;None;None;None;[];508.6824454999878;None;"['7', '7', '7', '7', '7']";"[0.28525300000910647, 0.5492828999995254, 0.8130964000010863, 1.053081900026882, 1.341049100010423]";508.6824454999878;None;0.45938910002587363;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
3.0;m;013_y_m_h_a.jpg;happy;9.0;sad_113.2.wmv;sad;7.0;incongruent;120.0;160.0;217.4973891947951;h_s;;;;;0;36;36;36;;;;;;;511.682364599983;None;513.7237693999778;514.0406272999826;515.1655780999863;515.1820346000022;517.1738068999839;None;8;0;517.1738068999839;None;;;;;;;;5;;;;;;518.7237673999916;None;None;None;[];518.7237673999916;None;None;;518.7237673999916;None;1.3458070999768097;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_25.1ns.avi;happy;9.0;congruent;120.0;150.0;216.63044503818386;h_h;;;;;0;37;37;37;;;;;;;521.748546399991;None;523.7900876999774;524.1068957999814;525.2736255000054;525.2902620999957;528.932070299983;None;9;0;528.932070299983;None;;;;;;;;9;;;;;;530.490052899986;None;None;None;[];530.490052899986;None;"['9', '9', '9', '9']";"[0.2537513999850489, 0.5253904999990482, 0.7815574999840464, 1.1416063999931794]";530.490052899986;None;0.4755199000064749;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_131.2.wmv;happy;9.0;incongruent;130.0;150.0;181.38407540847405;s_h;;;;;0;38;38;38;;;;;;;533.4984076999826;None;535.239857699984;535.5565332999977;536.6980890999839;536.7148751000059;538.6898786999809;None;9;0;538.6898786999809;None;;;;;;;;9;;;;;;540.6064555000048;None;None;None;[];540.6064555000048;None;"['9', '9', '9', '9', '9']";"[0.2252102000056766, 0.48090990001219325, 0.6890845000161789, 0.9850645000115037, 1.4090695999911986]";540.6064555000048;None;0.6141154999786522;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
0.0;f;040_y_f_h_a.jpg;happy;9.0;happy_24.3ns.avi;happy;9.0;congruent;120.0;150.0;213.25460698950434;h_h;;;;;0;39;39;39;;;;;;;543.6064664000005;None;545.5979019999795;545.9236712999991;547.0812278999947;547.0981325999892;548.9729599999846;None;9;0;548.9729599999846;None;;;;;;;;9;;;;;;550.5227827999915;None;None;None;[];550.5227827999915;None;"['9', '9', '9', '9', '9']";"[0.3412557999836281, 0.6367174999904819, 0.9006775000016205, 1.180769300000975, 1.5805362999963108]";550.5227827999915;None;0.4826918999897316;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_139.1.wmv;happy;9.0;incongruent;130.0;150.0;162.31500468041804;s_h;;;;;0;40;40;40;;;;;;;553.5228803000064;None;555.0892249000026;555.4059139000019;556.5397950999904;556.5643102999893;558.5392578000028;None;9;0;558.5392578000028;None;;;;;;;;9;;;;;;560.0892285000009;None;None;None;[];560.0892285000009;None;"['9', '9', '9', '9', '9', '9', '9']";"[0.2306442999979481, 0.4781821999931708, 0.7104686000093352, 1.1743023000017274, 1.4782839000108652, 1.9022140000015497, 2.350684500008356]";560.0892285000009;None;0.4524547999899369;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
0.0;f;030_o_f_h_a.jpg;happy;9.0;happy_24.1ns.avi;happy;9.0;congruent;120.0;150.0;168.36256624020774;h_h;;;;;0;41;41;41;;;;;;;563.0975499000051;None;564.7307715999777;565.0473510999873;566.2473368000065;566.2640233999991;569.5057133999944;None;9;0;569.5057133999944;None;;;;;;;;9;;;;;;571.0555378999852;None;None;None;[];571.0555378999852;None;"['9', '9', '9', '9', '9']";"[0.3520495000120718, 0.6239185000013094, 0.9200195999874268, 1.2239609000098426, 1.7520155000092927]";571.0555378999852;None;0.4857971000019461;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
2.0;f;012_o_f_h_a.jpg;happy;9.0;sad_113.1.wmv;sad;7.0;incongruent;120.0;160.0;177.44551734737394;h_s;;;;;0;42;42;42;;;;;;;574.0638315999822;None;575.747020699986;576.0636784999806;577.2052779999794;577.2220552999934;579.1969832000032;None;8;0;579.1969832000032;None;;;;;;;;5;;;;;;580.8802823000005;None;None;None;[];580.8802823000005;None;None;;580.8802823000005;None;1.0030931000073906;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_64.5ns.avi;sad;7.0;congruent;130.0;160.0;130.55717223801247;s_s;;;;;0;43;43;43;;;;;;;583.9050064999901;None;585.2551914999785;585.5716745999816;586.7717527000059;586.7882634999987;593.288422099984;None;7;0;593.288422099984;None;;;;;;;;1;;;;;;594.8881798999791;None;None;None;[];594.8881798999791;None;"['7', '7', '7', '7']";"[0.40757229999871925, 0.6392291999945883, 0.831304999999702, 1.023231700004544]";594.8881798999791;None;0.7358726000238676;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
7.0;m;027_o_m_h_a.jpg;happy;9.0;sad_117.1.wmv;sad;7.0;incongruent;120.0;160.0;181.28665202824095;h_s;;;;;0;44;44;44;;;;;;;597.8881089999923;None;599.621310699993;599.9378699999943;601.0963471999858;601.1128128999844;603.0712693999812;None;7;0;603.0712693999812;None;;;;;;;;2;;;;;;604.6129004999821;None;None;None;[];604.6129004999821;None;"['7', '7', '7']";"[0.4428470999991987, 0.6988689999852795, 1.0510115000070073]";604.6129004999821;None;0.8963668999786023;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
3.0;m;033_o_m_s_a.jpg;sad;7.0;happy_126.3.wmv;happy;9.0;incongruent;130.0;150.0;198.85252030535366;s_h;;;;;0;45;45;45;;;;;;;607.6297140999814;None;609.4959497999807;609.8127417999785;610.9457931999932;610.9625032999902;612.9460012000054;None;9;0;612.9460012000054;None;;;;;;;;7;;;;;;614.495906600001;None;None;None;[];614.495906600001;None;"['9', '9']";"[0.41592599998693913, 0.7679676999978255]";614.495906600001;None;0.9097059000050649;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_136.1.wmv;sad;7.0;incongruent;120.0;160.0;176.97002883463455;h_s;;;;;0;46;46;46;;;;;;;617.4958126999845;None;619.1873423999932;619.5125877999817;620.6375186999794;620.6541476999992;622.637304599979;None;None;0;622.637304599979;None;;;;;;;;5;;;;;;624.1871412000037;None;None;None;[];624.1871412000037;None;None;;624.1871412000037;None;;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
9.0;f;019_m_f_h_a.jpg;happy;9.0;happy_10.1ns.avi;happy;9.0;congruent;120.0;150.0;157.2463435658512;h_h;;;;;0;47;47;47;;;;;;;627.2205931000062;None;628.7872213999799;629.1037790999981;630.2372204999847;630.2538347999798;637.6958821000007;None;9;0;637.6958821000007;None;;;;;;;;6;;;;;;639.4118282999843;None;None;None;[];639.4118282999843;None;['9'];[0.2758183999976609];639.4118282999843;None;0.37588860001415014;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_2.2ns.avi;happy;9.0;congruent;120.0;150.0;206.34800317295262;h_h;;;;;0;48;48;48;;;;;;;642.4202235999983;None;644.403169600002;644.7199803999974;645.8617302000057;645.8782207999902;658.0619276999787;None;9;0;658.0619276999787;None;;;;;;;;7;;;;;;659.6529409999785;None;None;None;[];659.6529409999785;None;"['9', '9']";"[0.25072199999704026, 0.6345739999960642]";659.6529409999785;None;0.48973189998650923;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
3.0;m;033_o_m_h_a.jpg;happy;9.0;happy_24.2ns.avi;happy;9.0;congruent;120.0;150.0;167.9423847659953;h_h;;;;;0;49;49;49;;;;;;;662.6612811999803;None;664.2777453000017;664.5943924000021;665.7527992999821;665.7693992999848;669.4526659999974;None;9;0;669.4526659999974;None;;;;;;;;9;;;;;;671.0026388999831;None;None;None;[];671.0026388999831;None;"['9', '9', '9', '9']";"[0.26118380000116304, 0.5248575999867171, 0.7728544999845326, 1.1570583999855444]";671.0026388999831;None;0.5792342000058852;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
1.0;f;021_o_f_s_a.jpg;sad;7.0;happy_61.2ns.avi;happy;9.0;incongruent;130.0;150.0;210.94664004826666;s_h;;;;;0;50;50;50;;;;;;;674.0110255999898;None;676.0190122000058;676.3356658999983;677.502410999994;677.5190553999855;681.994077099982;None;9;0;681.994077099982;None;;;;;;;;6;;;;;;683.5439024999796;None;None;None;[];683.5439024999796;None;['9'];[0.25599840001086704];683.5439024999796;None;0.6537207999790553;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
4.0;m;004_o_m_s_a.jpg;sad;7.0;sad_2.4ns.avi;sad;7.0;congruent;130.0;160.0;153.02079367163634;s_s;;;;;0;51;51;51;;;;;;;686.5439262999862;None;688.0436073000019;688.3602614999982;689.576822300005;689.5938989999995;697.460411899985;None;7;0;697.460411899985;None;;;;;;;;4;;;;;;699.0184619000065;None;None;None;[];699.0184619000065;None;['7'];[0.7812615000002552];699.0184619000065;None;1.0193828000046778;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_1.2ns.avi;happy;9.0;congruent;120.0;150.0;210.98946429383824;h_h;;;;;0;52;52;52;;;;;;;702.0267705000006;None;704.0682609999785;704.3848386000027;705.5353102999798;705.5516822999925;718.3096692999825;None;9;0;718.3096692999825;None;;;;;;;;7;;;;;;719.8595182999852;None;None;None;[];719.8595182999852;None;"['9', '9']";"[0.24409759999252856, 0.5404645999951754]";719.8595182999852;None;0.6341356000048108;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_52.2ns.avi;happy;9.0;incongruent;130.0;150.0;172.57202848318138;s_h;;;;;0;53;53;53;;;;;;;722.8595198999974;None;724.5259374000016;724.842685199983;726.0513994999928;726.0757422999886;729.5343250999867;None;9;0;729.5343250999867;None;;;;;;;;9;;;;;;731.0841679000005;None;None;None;[];731.0841679000005;None;"['9', '9', '9', '9']";"[0.2437229000206571, 0.49158400000305846, 0.7793972000072245, 1.1635088000039104]";731.0841679000005;None;0.7295309999899473;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
9.0;f;019_m_f_s_a.jpg;sad;7.0;happy_61.1ns.avi;happy;9.0;incongruent;130.0;150.0;181.3003220572762;s_h;;;;;0;54;54;54;;;;;;;734.0925484999898;None;735.8757087999838;736.1923271999985;737.3596604999912;737.3839711000037;744.7171535999805;None;9;0;744.7171535999805;None;;;;;;;;5;;;;;;746.2753943999996;None;None;None;[];746.2753943999996;None;None;;746.2753943999996;None;0.7389312000013888;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_133.1.wmv;sad;7.0;incongruent;120.0;160.0;198.86251500867985;h_s;;;;;0;55;55;55;;;;;;;749.3086563999823;None;751.1833475999883;751.5002311999851;752.6252571999794;752.6418958999857;754.6334750999813;None;7;0;754.6334750999813;None;;;;;;;;4;;;;;;756.1834417000064;None;None;None;[];756.1834417000064;None;['7'];[0.6325498000078369];756.1834417000064;None;0.9423804999969434;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_128.2.wmv;sad;7.0;incongruent;120.0;160.0;206.10005857915363;h_s;;;;;0;56;56;56;;;;;;;759.1833216999948;None;761.1249045000004;761.4415909999807;762.6165192000044;762.6332831000036;764.5748371999944;None;7;0;764.5748371999944;None;;;;;;;;3;;;;;;766.1248093000031;None;None;None;[];766.1248093000031;None;"['7', '7']";"[0.2828385999891907, 0.5949757999915164]";766.1248093000031;None;0.7289447000075597;;;S11161;2022_Jan_21_1221;VideoMask;2021.1.2;119.99011283719713;
