primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
8.0;f;028_y_f_h_a.jpg;happy;9.0;sad_119.1.wmv;sad;7.0;incongruent;120.0;160.0;148.71526953572538;h_s;;;;;0;8;8;8;;;;;;;144.32367539964616;None;145.77336889971048;146.09004269959405;147.22341249976307;147.2401457997039;149.29024639958516;None;7;0;149.29024639958516;None;;;;;;;;2;;;;;;0.8178094001486897;150.8399183996953;None;None;None;[];150.8399183996953;None;"['7', '7', '7', '7']";"[0.3000369002111256, 0.46805489994585514, 0.7561280000954866, 1.052274300251156]";150.8399183996953;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;126.02367393611817;s_h;;;;;0;9;9;9;;;;;;;153.83984759962186;None;155.09814989985898;155.41476630000398;156.54813709994778;156.56478859996423;162.3397854999639;None;9;0;162.3397854999639;None;;;;;;;;7;;;;;;0.4561735996976495;163.88956659985706;None;None;None;[];163.88956659985706;None;"['9', '9']";"[0.2984568001702428, 0.48231029976159334]";163.88956659985706;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;171.6633093155257;s_s;;;;;0;10;10;10;;;;;;;166.8895456995815;None;168.54768769955263;168.8643457996659;170.0060352999717;170.02270889980718;178.1307855998166;None;8;0;178.1307855998166;None;;;;;;;;5;;;;;;1.153314699884504;179.68070119991899;None;None;None;[];179.68070119991899;None;None;;179.68070119991899;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;120.0;150.0;203.50057144619865;h_h;;;;;0;11;11;11;;;;;;;182.71404249966145;None;184.680426299572;184.99715189961717;186.16397150000557;186.18045109976083;200.61357159959152;None;9;0;200.61357159959152;None;;;;;;;;7;;;;;;0.5744198001921177;202.16338449995965;None;None;None;[];202.16338449995965;None;"['9', '9']";"[0.35273499973118305, 0.5206737997941673]";202.16338449995965;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;120.0;150.0;152.91127178874285;h_h;;;;;0;12;12;12;;;;;;;205.17180799972266;None;206.64642499992624;206.96317129954696;208.10490849986672;208.12152229994535;211.11314909998327;None;9;0;211.11314909998327;None;;;;;;;;6;;;;;;0.467168599832803;212.66308189975098;None;None;None;[];212.66308189975098;None;"['9', '9']";"[0.28492889972403646, 1.5332454997114837]";212.66308189975098;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;215.6630781996064;None;217.14615589985624;217.4629121995531;218.62108699977398;218.63787049986422;221.22121849982068;None;8;0;221.22121849982068;None;;;;;;;;5;;;;;;0.3988266000524163;222.7710886998102;None;None;None;[];222.7710886998102;None;None;;222.7710886998102;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;158.9411396037211;s_s;;;;;0;14;14;14;;;;;;;225.79603119986132;None;227.33764919964597;227.65422139968723;228.78793039964512;228.8125451998785;236.2124547995627;None;7;0;236.2124547995627;None;;;;;;;;3;;;;;;0.6715595000423491;237.76219319971278;None;None;None;[];237.76219319971278;None;"['7', '7', '7', '7']";"[0.36184699973091483, 0.5457954998128116, 0.8098308998160064, 1.4101058999076486]";237.76219319971278;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;180.59976631384873;h_s;;;;;0;15;15;15;;;;;;;240.770488999784;None;242.48702969960868;242.80374199990183;243.92882789997384;243.94546809978783;245.9370004995726;None;7;0;245.9370004995726;None;;;;;;;;2;;;;;;0.9390914998948574;247.48700209986418;None;None;None;[];247.48700209986418;None;"['7', '7', '7']";"[0.3570428998209536, 0.5730189997702837, 0.7969445995986462]";247.48700209986418;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_133.3.wmv;happy;9.0;incongruent;130.0;150.0;152.577966552593;s_h;;;;;0;16;16;16;;;;;;;250.49540519993752;None;251.98673389991745;252.30344769963995;253.42855379963294;253.44508069986477;255.43683479959145;None;9;0;255.43683479959145;None;;;;;;;;7;;;;;;0.5192540003918111;256.9867031998001;None;None;None;[];256.9867031998001;None;"['9', '9']";"[1.9295439003035426, 2.2252620002254844]";256.9867031998001;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_128.1.wmv;sad;7.0;incongruent;120.0;160.0;171.0492454518585;h_s;;;;;0;17;17;17;;;;;;;259.98663249984384;None;261.61975469999015;261.936478999909;263.09457739954814;263.11133309965953;265.0698269996792;None;7;0;265.0698269996792;None;;;;;;;;3;;;;;;0.7504456997849047;266.6197632998228;None;None;None;[];266.6197632998228;None;"['7', '7']";"[0.28838369995355606, 1.0481434999965131]";266.6197632998228;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
1.0;f;021_o_f_h_a.jpg;happy;9.0;sad_116.1.wmv;sad;7.0;incongruent;120.0;160.0;184.06847610053055;h_s;;;;;0;18;18;18;;;;;;;269.61971409991384;None;271.3611144996248;271.67784259980544;272.8362882998772;272.85280039999634;274.81118289986625;None;7;0;274.81118289986625;None;;;;;;;;2;;;;;;0.3767146999016404;276.3609186997637;None;None;None;[];276.3609186997637;None;"['7', '7', '7', '7']";"[0.4110163999721408, 0.6349534001201391, 0.8510734001174569, 1.4750498002395034]";276.3609186997637;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;157.40741103039684;s_h;;;;;0;19;19;19;;;;;;;279.3693309999071;None;280.91916189994663;281.23571899998933;282.3690471998416;282.38574679987505;286.76067199977115;None;9;0;286.76067199977115;None;;;;;;;;7;;;;;;0.3633031998760998;288.3107301997952;None;None;None;[];288.3107301997952;None;"['9', '9']";"[0.7095034997910261, 1.3574519995599985]";288.3107301997952;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
8.0;f;028_y_f_s_a.jpg;sad;7.0;happy_122.3.wmv;happy;9.0;incongruent;130.0;150.0;171.8670540936116;s_h;;;;;0;20;20;20;;;;;;;291.3190560997464;None;292.9604786997661;293.27718969993293;294.41871469980106;294.43545349966735;296.41031809989363;None;9;0;296.41031809989363;None;;;;;;;;8;;;;;;0.43371690018102527;297.9603945999406;None;None;None;[];297.9603945999406;None;"['9', '9', '9']";"[0.29955700039863586, 0.5796547001227736, 0.8517522001639009]";297.9603945999406;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
8.0;m;008_y_m_s_a.jpg;sad;7.0;sad_6.5ns.avi;sad;7.0;congruent;130.0;160.0;170.39333839271438;s_s;;;;;0;21;21;21;;;;;;;300.96035309974104;None;302.5934928995557;302.9101732997224;304.04353689961135;304.0603781999089;309.05173939978704;None;7;0;309.05173939978704;None;;;;;;;;3;;;;;;0.8323316997848451;310.6017353995703;None;None;None;[];310.6017353995703;None;"['7', '7']";"[0.4023825996555388, 0.7704149996861815]";310.6017353995703;None;;;S11502;2022_Jun_07_1802;VideoMask;2021.1.2;120.0416783408903;
