primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_139.1.wmv;happy;9.0;incongruent;130.0;150.0;162.31500468041804;s_h;;;;;0;40;40;40;;;;;;;527.4774066000246;None;529.0434900000691;529.3602223000489;530.4934853001032;530.5102347999346;532.4934874998871;None;9;0;1.1359445999842137;532.4934874998871;None;;;;;;;;5;;;;;;534.0434338999912;None;None;None;[];534.0434338999912;None;None;534.0434338999912;None;;;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
0.0;f;030_o_f_h_a.jpg;happy;9.0;happy_24.1ns.avi;happy;9.0;congruent;120.0;150.0;168.36256624020774;h_h;;;;;0;41;41;41;;;;;;;537.0683935999405;None;538.701500199968;539.0179224000312;540.1933593999129;540.2099363000598;543.4765639000107;None;9;0;0.888978699920699;543.4765639000107;None;;;;;;;;7;;;;;;545.0264204000123;None;None;None;[];545.0264204000123;None;"['9', '9', '9']";545.0264204000123;None;"[0.5869261000771075, 1.0431810000445694, 1.5631090002134442]";;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
2.0;f;012_o_f_h_a.jpg;happy;9.0;sad_113.1.wmv;sad;7.0;incongruent;120.0;160.0;177.44551734737394;h_s;;;;;0;42;42;42;;;;;;;548.0347684000153;None;549.7177895000204;550.0346707000863;551.1678708000109;551.1845404999331;553.167887599906;None;7;0;1.053602600004524;553.167887599906;None;;;;;;;;4;;;;;;554.7426771000028;None;None;None;[];554.7426771000028;None;['7'];554.7426771000028;None;[1.4468659998383373];;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_64.5ns.avi;sad;7.0;congruent;130.0;160.0;130.55717223801247;s_s;;;;;0;43;43;43;;;;;;;557.7430173000321;None;559.0926850000396;559.4093053999823;560.5676682998892;560.5842893000226;567.1258543999866;None;7;0;1.039702899986878;567.1258543999866;None;;;;;;;;3;;;;;;568.6758183001075;None;None;None;[];568.6758183001075;None;"['7', '7']";568.6758183001075;None;"[0.8975817000027746, 1.3297504999209195]";;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
7.0;m;027_o_m_h_a.jpg;happy;9.0;sad_117.1.wmv;sad;7.0;incongruent;120.0;160.0;181.28665202824095;h_s;;;;;0;44;44;44;;;;;;;571.6760629001074;None;573.4087940000463;573.7256712000817;574.8600252999458;574.8837250999641;576.8589121999685;None;7;0;1.002687499858439;576.8589121999685;None;;;;;;;;4;;;;;;578.4087336000521;None;None;None;[];578.4087336000521;None;['7'];578.4087336000521;None;[1.796895300038159];;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
3.0;m;033_o_m_s_a.jpg;sad;7.0;happy_126.3.wmv;happy;9.0;incongruent;130.0;150.0;198.85252030535366;s_h;;;;;0;45;45;45;;;;;;;581.4169326000847;None;583.2835589000024;583.6002011999954;584.7333112999331;584.7502778000198;586.7335181999952;None;9;0;0.9280878000427037;586.7335181999952;None;;;;;;;;5;;;;;;588.2834391000215;None;None;None;[];588.2834391000215;None;None;588.2834391000215;None;;;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_136.1.wmv;sad;7.0;incongruent;120.0;160.0;176.97002883463455;h_s;;;;;0;46;46;46;;;;;;;591.316717900103;None;592.9998717000708;593.316626700107;594.4416340999305;594.4582138000987;596.4498840000015;None;None;0;;596.4498840000015;None;;;;;;;;4;;;;;;597.9999339999631;None;None;None;[];597.9999339999631;None;"['7', '9', '7']";597.9999339999631;None;"[0.33351519983261824, 0.9896717998199165, 1.3497450998984277]";;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
9.0;f;019_m_f_h_a.jpg;happy;9.0;happy_10.1ns.avi;happy;9.0;congruent;120.0;150.0;157.2463435658512;h_h;;;;;0;47;47;47;;;;;;;600.9997423000168;None;602.5580561999232;602.8831013001036;604.0329495999031;604.049567299895;611.44943649997;None;9;0;1.0200545999687165;611.44943649997;None;;;;;;;;6;;;;;;612.9993219000753;None;None;None;[];612.9993219000753;None;['9'];612.9993219000753;None;[0.9503878999967128];;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_2.2ns.avi;happy;9.0;congruent;120.0;150.0;206.34800317295262;h_h;;;;;0;48;48;48;;;;;;;615.9996519999113;None;617.9824731999543;618.2990164998919;619.4491051998921;619.4656982000452;631.6404824000783;None;9;0;1.3492537001147866;631.6404824000783;None;;;;;;;;6;;;;;;633.1903528000694;None;None;None;[];633.1903528000694;None;['9'];633.1903528000694;None;[1.3912719001527876];;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
3.0;m;033_o_m_h_a.jpg;happy;9.0;happy_24.2ns.avi;happy;9.0;congruent;120.0;150.0;167.9423847659953;h_h;;;;;0;49;49;49;;;;;;;636.190276700072;None;637.806984399911;638.1235311001074;639.2902619999368;639.3068454000168;642.9817164998967;None;9;0;1.1358600000385195;642.9817164998967;None;;;;;;;;6;;;;;;644.5316584999673;None;None;None;[];644.5316584999673;None;['9'];644.5316584999673;None;[0.9538163000252098];;;S11957;2023_Jan_09_1622;VideoMask;2021.1.2;120.0421108136308;
