primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;157.40741103039684;s_h;;;;;0;19;19;19;;;;;;;275.6882674000226;None;277.21291900007054;277.52956380019896;278.7628295000177;278.7796384000685;283.05460440018214;None;9;0;283.05460440018214;None;;;;;;;;9;;;;;;;0.4806170999072492;284.6044628000818;None;None;None;[];284.6044628000818;None;"['9', '9', '9', '9', '9', '9', '9']";"[0.20282389991916716, 0.4426587999332696, 0.6185365000274032, 0.8507336999755353, 1.1066029998473823, 1.402704699896276, 1.7146778998430818]";284.6044628000818;None;;;S11312;2022_Mar_23_1829;VideoMask;2021.1.2;120.0569550058914;
8.0;f;028_y_f_s_a.jpg;sad;7.0;happy_122.3.wmv;happy;9.0;incongruent;130.0;150.0;171.8670540936116;s_h;;;;;0;20;20;20;;;;;;;287.604372800095;None;289.24587450013496;289.5626235001255;290.6959689001087;290.71264909999445;292.6959096000064;None;9;0;292.6959096000064;None;;;;;;;;6;;;;;;;0.43120509991422296;294.2458630001638;None;None;None;[];294.2458630001638;None;['9'];[0.21733340015634894];294.2458630001638;None;;;S11312;2022_Mar_23_1829;VideoMask;2021.1.2;120.0569550058914;
8.0;m;008_y_m_s_a.jpg;sad;7.0;sad_6.5ns.avi;sad;7.0;congruent;130.0;160.0;170.39333839271438;s_s;;;;;0;21;21;21;;;;;;;297.2459411001764;None;298.87890950008295;299.19562230003066;300.3371691000648;300.35399370011874;305.3287375001237;None;7;0;305.3287375001237;None;;;;;;;;3;;;;;;;0.3903727000579238;306.87878090003505;None;None;None;[];306.87878090003505;None;"['7', '7']";"[0.20827790000475943, 0.4322456999216229]";306.87878090003505;None;;;S11312;2022_Mar_23_1829;VideoMask;2021.1.2;120.0569550058914;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;120.0;150.0;225.70986890587952;h_h;;;;;0;22;22;22;;;;;;;309.8787539000623;None;311.9618426000234;312.2785787000321;313.461760800099;313.47854010015726;317.9868211001158;None;9;0;317.9868211001158;None;;;;;;;;9;;;;;;;0.3082019998691976;319.53668570006266;None;None;None;[];319.53668570006266;None;"['9', '9', '9', '9']";"[0.19844809989444911, 0.45445619989186525, 0.6545006998348981, 0.9344828999601305]";319.53668570006266;None;;;S11312;2022_Mar_23_1829;VideoMask;2021.1.2;120.0569550058914;
8.0;m;008_y_m_h_a.jpg;happy;9.0;sad_111.1.wmv;sad;7.0;incongruent;120.0;160.0;152.63076835312847;h_s;;;;;0;23;23;23;;;;;;;322.5366003999952;None;324.0114517000038;324.32814009999856;325.4621376001742;325.48656840017065;327.4615381001495;None;7;0;327.4615381001495;None;;;;;;;;4;;;;;;;0.3138365999329835;329.0031017002184;None;None;None;[];329.0031017002184;None;"['7', '7', '7']";"[0.25215219985693693, 0.6679881999734789, 1.1080125998705626]";329.0031017002184;None;;;S11312;2022_Mar_23_1829;VideoMask;2021.1.2;120.0569550058914;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_67.2ns.avi;sad;7.0;congruent;130.0;160.0;220.9892697323079;s_s;;;;;0;24;24;24;;;;;;;332.00299340020865;None;334.06962600001134;334.3861558001954;335.63619340001605;335.65279920003377;344.75260780006647;None;7;0;344.75260780006647;None;;;;;;;;4;;;;;;;0.6543807000853121;346.30254980013706;None;None;None;[];346.30254980013706;None;['7'];[2.264534200076014];346.30254980013706;None;;;S11312;2022_Mar_23_1829;VideoMask;2021.1.2;120.0569550058914;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_29.1ns.avi;happy;9.0;incongruent;130.0;150.0;120.0316142834122;s_h;;;;;0;25;25;25;;;;;;;349.3026067002211;None;350.5022856001742;350.81905760010704;351.96109230001457;351.9777411001269;354.64396380004473;None;9;0;354.64396380004473;None;;;;;;;;6;;;;;;;0.5871755999978632;356.19387850002386;None;None;None;[];356.19387850002386;None;"['9', '9']";"[0.2691615999210626, 0.6930682000238448]";356.19387850002386;None;;;S11312;2022_Mar_23_1829;VideoMask;2021.1.2;120.0569550058914;
6.0;m;016_y_m_s_a.jpg;sad;7.0;sad_8.3ns.avi;sad;7.0;congruent;130.0;160.0;152.85371098242734;s_s;;;;;0;26;26;26;;;;;;;359.1939374001231;None;360.685290500056;361.0018890001811;362.1351185000967;362.1519105001353;369.89346500020474;None;7;0;369.89346500020474;None;;;;;;;;5;;;;;;;0.4335560000035912;371.44343640003353;None;None;None;[];371.44343640003353;None;None;;371.44343640003353;None;;;S11312;2022_Mar_23_1829;VideoMask;2021.1.2;120.0569550058914;
6.0;m;016_y_m_h_a.jpg;happy;9.0;sad_114.1.wmv;sad;7.0;incongruent;120.0;160.0;136.20550699298644;h_s;;;;;0;27;27;27;;;;;;;374.46819750010036;None;375.81815800000913;376.13485820009373;377.26819299999624;377.28489330015145;379.2681527000386;None;7;0;379.2681527000386;None;;;;;;;;4;;;;;;;0.3869296000339091;380.81813180004247;None;None;None;[];380.81813180004247;None;['7'];[0.7008040000218898];380.81813180004247;None;;;S11312;2022_Mar_23_1829;VideoMask;2021.1.2;120.0569550058914;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;215.61964028550614;s_h;;;;;0;28;28;28;;;;;;;383.81808380014263;None;385.8262478001416;386.14280750020407;387.2679463000968;387.2845949002076;389.276179500157;None;9;0;389.276179500157;None;;;;;;;;6;;;;;;;0.3869471999350935;390.8261357001029;None;None;None;[];390.8261357001029;None;"['9', '9']";"[0.46105689997784793, 0.9008810000959784]";390.8261357001029;None;;;S11312;2022_Mar_23_1829;VideoMask;2021.1.2;120.0569550058914;
