primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;157.40741103039684;s_h;;;;;0;19;19;19;;;;;;;471.6616054000333;None;473.1951548999641;473.5110156000592;474.7027167000342;474.7194862999022;479.03611680003814;None;9;0;479.03611680003814;None;;;;;;;;7;;;;;;;0.9700492999982089;480.5859765999485;None;None;None;[];480.5859765999485;None;"['9', '9']";"[0.5161458000075072, 0.9162361999042332]";480.5859765999485;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
8.0;f;028_y_f_s_a.jpg;sad;7.0;happy_122.3.wmv;happy;9.0;incongruent;130.0;150.0;171.8670540936116;s_h;;;;;0;20;20;20;;;;;;;483.5859379998874;None;485.22727869986556;485.5441067998763;486.6778422999196;486.7024007998407;488.6773277998436;None;9;0;488.6773277998436;None;;;;;;;;7;;;;;;;0.7368173999711871;490.2273462000303;None;None;None;[];490.2273462000303;None;"['9', '9']";"[0.32269620010629296, 0.602677799994126]";490.2273462000303;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
8.0;m;008_y_m_s_a.jpg;sad;7.0;sad_6.5ns.avi;sad;7.0;congruent;130.0;160.0;170.39333839271438;s_s;;;;;0;21;21;21;;;;;;;493.22740139998496;None;494.8603194998577;495.1771243000403;496.3271158998832;496.3437931998633;501.31034289998934;None;7;0;501.31034289998934;None;;;;;;;;4;;;;;;;0.4957860999274999;502.8602861999534;None;None;None;[];502.8602861999534;None;['7'];[0.36193619994446635];502.8602861999534;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;120.0;150.0;225.70986890587952;h_h;;;;;0;22;22;22;;;;;;;505.86032099998556;None;507.94334959983826;508.26006769994274;509.4097786999773;509.4267206999939;513.9684055000544;None;9;0;513.9684055000544;None;;;;;;;;7;;;;;;;0.6538070000242442;515.5181585999671;None;None;None;[];515.5181585999671;None;"['9', '9']";"[0.29608980007469654, 0.5919212000444531]";515.5181585999671;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
8.0;m;008_y_m_h_a.jpg;happy;9.0;sad_111.1.wmv;sad;7.0;incongruent;120.0;160.0;152.63076835312847;h_s;;;;;0;23;23;23;;;;;;;518.5181189998984;None;520.0012884000316;520.3180645999964;521.4594384999946;521.4764855999965;523.4513546000235;None;7;0;523.4513546000235;None;;;;;;;;4;;;;;;;0.7228017998859286;525.526211499935;None;None;None;[];525.526211499935;None;"['7', '7']";"[0.34405569988302886, 0.9998845998197794]";525.526211499935;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_67.2ns.avi;sad;7.0;congruent;130.0;160.0;220.9892697323079;s_s;;;;;0;24;24;24;;;;;;;528.526293899864;None;530.6093786000274;530.9260299999733;532.1427623999771;532.1593201998621;541.2841340999585;None;7;0;541.2841340999585;None;;;;;;;;2;;;;;;;0.4740758999250829;542.8340846998617;None;None;None;[];542.8340846998617;None;"['7', '7', '7', '7']";"[0.6041339000221342, 0.9241924001835287, 1.2521138000302017, 1.604057600023225]";542.8340846998617;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_29.1ns.avi;happy;9.0;incongruent;130.0;150.0;120.0316142834122;s_h;;;;;0;25;25;25;;;;;;;545.8340545999818;None;547.0421519000083;547.3589135999791;548.4927232998889;548.5172466000076;551.184022200061;None;9;0;551.184022200061;None;;;;;;;;6;;;;;;;0.9422206000890583;552.7421269000042;None;None;None;[];552.7421269000042;None;['9'];[1.576538800029084];552.7421269000042;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
6.0;m;016_y_m_s_a.jpg;sad;7.0;sad_8.3ns.avi;sad;7.0;congruent;130.0;160.0;152.85371098242734;s_s;;;;;0;26;26;26;;;;;;;555.7504826998338;None;557.2669929999392;557.5835637999699;558.7752828998491;558.7919711000286;566.4749936000444;None;8;0;566.4749936000444;None;;;;;;;;4;;;;;;;1.1952623999677598;568.0249995000195;None;None;None;[];568.0249995000195;None;['7'];[0.6370912999846041];568.0249995000195;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
6.0;m;016_y_m_h_a.jpg;happy;9.0;sad_114.1.wmv;sad;7.0;incongruent;120.0;160.0;136.20550699298644;h_s;;;;;0;27;27;27;;;;;;;571.0333487000316;None;572.3831056999043;572.6997372999322;573.8248922999483;573.8415628999937;575.8331931999419;None;7;0;575.8331931999419;None;;;;;;;;3;;;;;;;1.1490789998788387;577.3913999998476;None;None;None;[];577.3913999998476;None;"['7', '7']";"[0.32687109988182783, 0.6947696998249739]";577.3913999998476;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;215.61964028550614;s_h;;;;;0;28;28;28;;;;;;;580.3912487998605;None;582.3827797998674;582.6994235999882;583.8246509998571;583.8412800999358;585.8494179998524;None;9;0;585.8494179998524;None;;;;;;;;6;;;;;;;1.1971508997958153;587.3993724000175;None;None;None;[];587.3993724000175;None;['9'];[0.542947200126946];587.3993724000175;None;;;S11420;2022_May_03_1103;VideoMask;2021.1.2;120.09487505856208;
