primePerson,primeGender,prime,primeEmotion,corrAnsPrime,target,targetEmotion,corrAnsTar,Cond,ID_Primer,ID_Target,JitterTime,Condition,example.thisRepN,example.thisTrialN,example.thisN,example.thisIndex,study.thisRepN,study.thisTrialN,study.thisN,study.thisIndex,MR_trigger_time,MR_trigger_number,text_intro.started,text_intro.stopped,text_probe.started,text_probe.stopped,polygon_ISI.started,polygon_ISI.stopped,polygon.started,polygon.stopped,primerImage.started,primerImage.stopped,response.started,response.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,slider_Text.started,slider_Text.stopped,slider_ex.response,slider_ex.rt,slider_ex.history,slider_ex.started,slider_ex.stopped,Rating,slider_resp_response.keys,slider_resp_response.started,slider_resp_response.stopped,text_start.started,text_start.stopped,text_slider.started,text_slider.stopped,slider_stud.response,slider_stud.rt,slider_stud.history,slider_stud.started,slider_stud.stopped,slider_resp_study.keys,slider_resp_study.rt,slider_resp_study.started,slider_resp_study.stopped,participant,date,expName,psychopyVersion,frameRate,
4.0,m,004_o_m_h_a.jpg,happy,9.0,sad_95.1ns.avi,sad,7.0,incongruent,120.0,160.0,152.68270002069931,h_s,,,,,0,35,35,35,,,,,,,486.5032669000793,None,487.9946827001404,488.3199527000543,489.56150100007653,489.57815150008537,498.23656480014324,None,None,0,,498.23656480014324,None,,,,,,,,3,,,,,,499.7945851001423,None,None,None,[],499.7945851001423,None,"['7', '7']","[0.48061510012485087, 0.9204949999693781]",499.7945851001423,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
3.0,m,013_y_m_h_a.jpg,happy,9.0,sad_113.2.wmv,sad,7.0,incongruent,120.0,160.0,217.4973891947951,h_s,,,,,0,36,36,36,,,,,,,502.7945141000673,None,504.8191772000864,505.1359441000968,506.26104470016435,506.27758170012385,508.2692319001071,None,None,0,,508.2692319001071,None,,,,,,,,3,,,,,,509.8191968000028,None,None,None,[],509.8191968000028,None,"['7', '7', '7']","[0.5202191001735628, 0.776148600038141, 1.0959958999883384]",509.8191968000028,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
4.0,m,004_o_m_h_a.jpg,happy,9.0,happy_25.1ns.avi,happy,9.0,congruent,120.0,150.0,216.63044503818386,h_h,,,,,0,37,37,37,,,,,,,512.8191481002141,None,514.8357832001057,515.1522771001328,516.2772473001387,516.293930800166,519.9772805001121,None,None,0,,519.9772805001121,None,,,,,,,,5,,,,,,521.535782800056,None,None,None,[],521.535782800056,None,None,,521.535782800056,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
4.0,m,004_o_m_s_a.jpg,sad,7.0,happy_131.2.wmv,happy,9.0,incongruent,130.0,150.0,181.38407540847405,s_h,,,,,0,38,38,38,,,,,,,524.5603120001033,None,526.2768667000346,526.5934858000837,527.7517467001453,527.768375400221,529.7267945001367,None,None,0,,529.7267945001367,None,,,,,,,,5,,,,,,531.2766308002174,None,None,None,[],531.2766308002174,None,None,,531.2766308002174,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
0.0,f,040_y_f_h_a.jpg,happy,9.0,happy_24.3ns.avi,happy,9.0,congruent,120.0,150.0,213.25460698950434,h_h,,,,,0,39,39,39,,,,,,,534.3018298000097,None,536.2765141001437,536.5933862000238,537.7266705001239,537.7436332001816,539.6689061000943,None,None,0,,539.6689061000943,None,,,,,,,,5,,,,,,541.4596750000492,None,None,None,[],541.4596750000492,None,None,,541.4596750000492,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
2.0,f,012_o_f_s_a.jpg,sad,7.0,happy_139.1.wmv,happy,9.0,incongruent,130.0,150.0,162.31500468041804,s_h,,,,,0,40,40,40,,,,,,,544.4762437001336,None,546.0345509001054,546.351232400164,547.4846601001918,547.501131300116,549.4930287001189,None,9,0,0.4539149000775069,549.4930287001189,None,,,,,,,,6,,,,,,551.0760910001118,None,None,None,[],551.0760910001118,None,['9'],[0.5671909998636693],551.0760910001118,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
0.0,f,030_o_f_h_a.jpg,happy,9.0,happy_24.1ns.avi,happy,9.0,congruent,120.0,150.0,168.36256624020774,h_h,,,,,0,41,41,41,,,,,,,554.0760790000204,None,555.6844043000601,556.0013326001354,557.200992600061,557.2177055000793,560.459407000104,None,None,0,,560.459407000104,None,,,,,,,,6,,,,,,562.0092452000827,None,None,None,[],562.0092452000827,None,['9'],[0.8579863000195473],562.0092452000827,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
2.0,f,012_o_f_h_a.jpg,happy,9.0,sad_113.1.wmv,sad,7.0,incongruent,120.0,160.0,177.44551734737394,h_s,,,,,0,42,42,42,,,,,,,565.0091077000834,None,566.6921624001116,567.0090268000495,568.1421523999888,568.1591738001443,570.1424009001348,None,None,0,,570.1424009001348,None,,,,,,,,4,,,,,,571.6920604000334,None,None,None,[],571.6920604000334,None,"['9', '7']","[0.7349799000658095, 1.4149647001177073]",571.6920604000334,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
3.0,m,033_o_m_s_a.jpg,sad,7.0,sad_64.5ns.avi,sad,7.0,congruent,130.0,160.0,130.55717223801247,s_s,,,,,0,43,43,43,,,,,,,574.6922193001956,None,576.000264500035,576.3169880001806,577.4834944000468,577.500190100167,584.0334656999912,None,None,0,,584.0334656999912,None,,,,,,,,3,,,,,,585.5835855000187,None,None,None,[],585.5835855000187,None,"['7', '7', '7', '9']","[1.1156029000412673, 1.5151758999563754, 1.8835511000361294, 2.515431199921295]",585.5835855000187,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
7.0,m,027_o_m_h_a.jpg,happy,9.0,sad_117.1.wmv,sad,7.0,incongruent,120.0,160.0,181.28665202824095,h_s,,,,,0,44,44,44,,,,,,,588.5834499001503,None,590.2998444000259,590.6165386000648,591.7666190001182,591.783296200214,593.7588575000409,None,None,0,,593.7588575000409,None,,,,,,,,3,,,,,,595.4996580001898,None,None,None,[],595.4996580001898,None,"['7', '7']","[2.111289900029078, 2.4394992999732494]",595.4996580001898,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
