primePerson,primeGender,prime,primeEmotion,corrAnsPrime,target,targetEmotion,corrAnsTar,Cond,ID_Primer,ID_Target,JitterTime,Condition,example.thisRepN,example.thisTrialN,example.thisN,example.thisIndex,study.thisRepN,study.thisTrialN,study.thisN,study.thisIndex,MR_trigger_time,MR_trigger_number,text_intro.started,text_intro.stopped,text_probe.started,text_probe.stopped,polygon_ISI.started,polygon_ISI.stopped,polygon.started,polygon.stopped,primerImage.started,primerImage.stopped,response.started,response.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,slider_Text.started,slider_Text.stopped,slider_ex.response,slider_ex.rt,slider_ex.history,slider_ex.started,slider_ex.stopped,Rating,slider_resp_response.keys,slider_resp_response.started,slider_resp_response.stopped,text_start.started,text_start.stopped,text_slider.started,text_slider.stopped,slider_stud.response,slider_stud.rt,slider_stud.history,slider_stud.started,slider_stud.stopped,slider_resp_study.keys,slider_resp_study.rt,slider_resp_study.started,slider_resp_study.stopped,participant,date,expName,psychopyVersion,frameRate,
8.0,f,028_y_f_h_a.jpg,happy,9.0,sad_119.1.wmv,sad,7.0,incongruent,120.0,160.0,148.71526953572538,h_s,,,,,0,8,8,8,,,,,,,162.6885158000514,None,164.14660890004598,164.46323500014842,165.59671150008217,165.61306880018674,167.66349579999223,None,None,0,,167.66349579999223,None,,,,,,,,2,,,,,,169.213155800011,None,None,None,[],169.213155800011,None,"['7', '7', '7']","[0.6386848001275212, 0.8543573000933975, 1.0463755000382662]",169.213155800011,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
6.0,m,016_y_m_s_a.jpg,sad,7.0,happy_60.4ns.avi,happy,9.0,incongruent,130.0,150.0,126.02367393611817,s_h,,,,,0,9,9,9,,,,,,,172.22142360010184,None,173.4878034000285,173.80458470014855,174.99632260017097,175.01302530011162,180.72956200013869,None,None,0,,180.72956200013869,None,,,,,,,,6,,,,,,182.27996870013885,None,None,None,[],182.27996870013885,None,['9'],[0.275586900068447],182.27996870013885,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
9.0,f,019_m_f_s_a.jpg,sad,7.0,sad_8.4ns.avi,sad,7.0,congruent,130.0,160.0,171.6633093155257,s_s,,,,,0,10,10,10,,,,,,,185.27935279998928,None,186.93747410015203,187.25422930018976,188.4124602000229,188.42929210001603,196.52970509999432,None,7,0,1.049768199911341,196.52970509999432,None,,,,,,,,2,,,,,,198.3205783001613,None,None,None,[],198.3205783001613,None,"['7', '7', '7']","[0.35499310004524887, 0.6111665000207722, 0.8509059001225978]",198.3205783001613,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
4.0,m,004_o_m_h_a.jpg,happy,9.0,happy_1.1ns.avi,happy,9.0,congruent,120.0,150.0,203.50057144619865,h_h,,,,,0,11,11,11,,,,,,,201.3204737000633,None,203.2702422000002,203.58696590014733,204.7537715001963,204.77032130002044,219.21172160003334,None,None,0,,219.21172160003334,None,,,,,,,,3,,,,,,220.7620316001121,None,None,None,[],220.7620316001121,None,"['7', '7']","[0.4174691999796778, 1.0094626999925822]",220.7620316001121,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
7.0,m,027_o_m_h_a.jpg,happy,9.0,happy_20.1ns.avi,happy,9.0,congruent,120.0,150.0,152.91127178874285,h_h,,,,,0,12,12,12,,,,,,,223.76161420019343,None,225.22806820017286,225.5446870001033,226.7033807002008,226.7197500001639,229.69471160019748,None,None,0,,229.69471160019748,None,,,,,,,,6,,,,,,231.24474290013313,None,None,None,[],231.24474290013313,None,"['7', '7', '9', '9', '9']","[0.42278370005078614, 0.7985322000458837, 2.2388726000208408, 2.638651399873197, 2.9188278999645263]",231.24474290013313,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
0.0,f,040_y_f_s_a.jpg,sad,7.0,sad_94.3ns.avi,sad,7.0,congruent,130.0,160.0,155.27414203894395,s_s,,,,,0,13,13,13,,,,,,,234.24443010007963,None,235.72760460013524,236.04437800007872,237.21082490007393,237.2360180001706,239.80261610005982,None,None,0,,239.80261610005982,None,,,,,,,,3,,,,,,241.35277630016208,None,None,None,[],241.35277630016208,None,"['7', '7']","[0.2911914000287652, 0.546941899927333]",241.35277630016208,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
0.0,f,030_o_f_s_a.jpg,sad,7.0,sad_68.1ns.avi,sad,7.0,congruent,130.0,160.0,158.9411396037211,s_s,,,,,0,14,14,14,,,,,,,244.35258210008033,None,245.90229780017398,246.21912060002796,247.37741830013692,247.39400130021386,254.7772299000062,None,None,0,,254.7772299000062,None,,,,,,,,3,,,,,,256.3269191000145,None,None,None,[],256.3269191000145,None,"['7', '7', '7']","[0.5647058000322431, 0.844378300011158, 1.2928434999193996]",256.3269191000145,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
0.0,f,030_o_f_h_a.jpg,happy,9.0,sad_127.1.wmv,sad,7.0,incongruent,120.0,160.0,180.59976631384873,h_s,,,,,0,15,15,15,,,,,,,259.32709980010986,None,261.03512360015884,261.3519488000311,262.47697770013474,262.49360160017386,264.4853874000255,None,None,0,,264.4853874000255,None,,,,,,,,3,,,,,,266.03500950010493,None,None,None,[],266.03500950010493,None,"['7', '7']","[0.712450799997896, 0.9683371998835355]",266.03500950010493,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
8.0,m,008_y_m_s_a.jpg,sad,7.0,happy_133.3.wmv,happy,9.0,incongruent,130.0,150.0,152.577966552593,s_h,,,,,0,16,16,16,,,,,,,269.0349669000134,None,270.52670100005344,270.84334580018185,271.9683418001514,271.98480470012873,273.97661910019815,None,None,0,,273.97661910019815,None,,,,,,,,6,,,,,,275.526937100105,None,None,None,[],275.526937100105,None,['9'],[0.3248977002222091],275.526937100105,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
3.0,m,033_o_m_h_a.jpg,happy,9.0,sad_128.1.wmv,sad,7.0,incongruent,120.0,160.0,171.0492454518585,h_s,,,,,0,17,17,17,,,,,,,278.53471630020067,None,280.1762095000595,280.4931136001833,281.6429688001517,281.6597056000028,283.626174100209,None,None,0,,283.626174100209,None,,,,,,,,3,,,,,,285.1766464000102,None,None,None,[],285.1766464000102,None,"['7', '7']","[0.4430786999873817, 0.6985911999363452]",285.1766464000102,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
1.0,f,021_o_f_h_a.jpg,happy,9.0,sad_116.1.wmv,sad,7.0,incongruent,120.0,160.0,184.06847610053055,h_s,,,,,0,18,18,18,,,,,,,288.1845645001158,None,289.94268630002625,290.260030800011,291.3926636001561,291.40935640013777,293.39260030002333,None,None,0,,293.39260030002333,None,,,,,,,,3,,,,,,294.94265209999867,None,None,None,[],294.94265209999867,None,"['7', '7']","[0.9409967001993209, 1.7889516002032906]",294.94265209999867,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
4.0,m,004_o_m_s_a.jpg,sad,7.0,happy_28.1ns.avi,happy,9.0,incongruent,130.0,150.0,157.40741103039684,s_h,,,,,0,19,19,19,,,,,,,297.9425747001078,None,299.4505991002079,299.7672855001874,300.9754857001826,301.0006640001666,305.2922821000684,None,None,0,,305.2922821000684,None,,,,,,,,6,,,,,,306.842148500029,None,None,None,[],306.842148500029,None,"['7', '9', '9']","[1.3933052001520991, 2.001446600072086, 2.2332148000132293]",306.842148500029,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
8.0,f,028_y_f_s_a.jpg,sad,7.0,happy_122.3.wmv,happy,9.0,incongruent,130.0,150.0,171.8670540936116,s_h,,,,,0,20,20,20,,,,,,,309.85060740006156,None,311.50024540000595,311.8170782001689,312.9507318001706,312.9753475000616,314.95038809999824,None,None,0,,314.95038809999824,None,,,,,,,,6,,,,,,316.50008110003546,None,None,None,[],316.50008110003546,None,['9'],[1.6633458000142127],316.50008110003546,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
8.0,m,008_y_m_s_a.jpg,sad,7.0,sad_6.5ns.avi,sad,7.0,congruent,130.0,160.0,170.39333839271438,s_s,,,,,0,21,21,21,,,,,,,319.5086534000002,None,321.1331854001619,321.44999040011317,322.67487580003217,322.6916764001362,327.58404200011864,None,None,0,,327.58404200011864,None,,,,,,,,3,,,,,,329.1330500000622,None,None,None,[],329.1330500000622,None,"['7', '7']","[0.47032200009562075, 1.3745701001025736]",329.1330500000622,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
8.0,f,028_y_f_h_a.jpg,happy,9.0,happy_23.1ns.avi,happy,9.0,congruent,120.0,150.0,225.70986890587952,h_h,,,,,0,22,22,22,,,,,,,332.1415710002184,None,334.2330201000441,334.55005800002255,335.7251481001731,335.74994590017013,340.2579326000996,None,None,0,,340.2579326000996,None,,,,,,,,6,,,,,,342.2075793000404,None,None,None,[],342.2075793000404,None,"['7', '9', '9', '9']","[0.699811700033024, 1.6279689001385123, 1.8357079001143575, 2.2598030001390725]",342.2075793000404,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
8.0,m,008_y_m_h_a.jpg,happy,9.0,sad_111.1.wmv,sad,7.0,incongruent,120.0,160.0,152.63076835312847,h_s,,,,,0,23,23,23,,,,,,,345.2077973000705,None,346.68247230001725,346.9991909000091,348.1325832000002,348.14927410008386,350.13249980006367,None,None,0,,350.13249980006367,None,,,,,,,,3,,,,,,351.68228990002535,None,None,None,[],351.68228990002535,None,"['7', '7']","[0.4492572001181543, 0.7774470001459122]",351.68228990002535,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
0.0,f,040_y_f_s_a.jpg,sad,7.0,sad_67.2ns.avi,sad,7.0,congruent,130.0,160.0,220.9892697323079,s_s,,,,,0,24,24,24,,,,,,,354.69068430014886,None,356.7488769001793,357.0654870001599,358.2489767000079,358.2655140000861,367.42360730003566,None,None,0,,367.42360730003566,None,,,,,,,,3,,,,,,368.9740821002051,None,None,None,[],368.9740821002051,None,"['7', '7', '7']","[0.7013756998348981, 1.045703699812293, 1.3975390999112278]",368.9740821002051,None,S10930,2021_Sep_28_1634,VideoMask,2021.1.2,120.0000480562641,
