primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;key_resp.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_64.3ns.avi;sad;7.0;congruent;130.0;160.0;165.78667874766072;s_s;;;;;0;32;32;32;;;;;;;442.28335390007123;None;443.8832425000146;444.1998344999738;445.3582721001003;445.374764499953;450.3332625001203;None;7;0;450.3332625001203;None;;;;;;;;2;;;;;;;451.88300999999046;None;None;None;[];451.88300999999046;None;"['7', '7', '7']";"[0.4190402999520302, 0.6749516001436859, 0.9229337000288069]";451.88300999999046;None;0.5527184000238776;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
3.0;m;013_y_m_s_a.jpg;sad;7.0;sad_7.7ns.avi;sad;7.0;congruent;130.0;160.0;196.24182255763262;s_s;;;;;0;33;33;33;;;;;;;454.8913309001364;None;456.7410862999968;457.0577209999319;458.2076361000072;458.22439779993147;464.19097819994204;None;8;0;464.19097819994204;None;;;;;;;;4;;;;;;;465.7410178000573;None;None;None;[];465.7410178000573;None;['7'];[0.4489486999809742];465.7410178000573;None;0.903108699945733;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
3.0;m;013_y_m_h_a.jpg;happy;9.0;happy_9.1ns.avi;happy;9.0;congruent;120.0;150.0;165.1890303600433;h_h;;;;;0;34;34;34;;;;;;;468.74101429991424;None;470.3323324001394;470.649052800145;471.7833271001;471.81616630009376;475.00745770009235;None;9;0;475.00745770009235;None;;;;;;;;7;;;;;;;476.55729579995386;None;None;None;[];476.55729579995386;None;"['9', '9', '9']";"[0.3526995999272913, 0.6085967000108212, 0.8967609999235719]";476.55729579995386;None;0.6145359000656754;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
4.0;m;004_o_m_h_a.jpg;happy;9.0;sad_95.1ns.avi;sad;7.0;incongruent;120.0;160.0;152.68270002069931;h_s;;;;;0;35;35;35;;;;;;;479.55730310012586;None;481.0736269999761;481.39025719999336;482.52388809993863;482.54075550008565;491.3153834999539;None;7;0;491.3153834999539;None;;;;;;;;1;;;;;;;492.8984465999529;None;None;None;[];492.8984465999529;None;"['7', '7', '7', '7', '7']";"[0.003706900170072913, 0.3716289000585675, 0.579427600139752, 0.7633445002138615, 0.9552528001368046]";492.8984465999529;None;0.36256529996171594;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
3.0;m;013_y_m_h_a.jpg;happy;9.0;sad_113.2.wmv;sad;7.0;incongruent;120.0;160.0;217.4973891947951;h_s;;;;;0;36;36;36;;;;;;;495.9067641000729;None;497.93980700010434;498.25650010001846;499.38982639997266;499.4069487999659;501.389844099991;None;7;0;501.389844099991;None;;;;;;;;3;;;;;;;502.93980429996736;None;None;None;[];502.93980429996736;None;"['7', '7', '7']";"[0.4420958000700921, 0.7300417001824826, 1.1862568000797182]";502.93980429996736;None;0.7841431000269949;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_25.1ns.avi;happy;9.0;congruent;120.0;150.0;216.63044503818386;h_h;;;;;0;37;37;37;;;;;;;505.94801479997113;None;507.9730424999725;508.2895694000181;509.48960940004326;509.5062571000308;513.1145339000504;None;9;0;513.1145339000504;None;;;;;;;;7;;;;;;;514.6726828999817;None;None;None;[];514.6726828999817;None;"['9', '9']";"[0.5012518998701125, 0.8373356000520289]";514.6726828999817;None;0.747189300134778;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_131.2.wmv;happy;9.0;incongruent;130.0;150.0;181.38407540847405;s_h;;;;;0;38;38;38;;;;;;;517.6727724000812;None;519.3974494999275;519.7141829999164;520.8723862001207;520.8891596000176;522.8476440999657;None;9;0;522.8476440999657;None;;;;;;;;7;;;;;;;524.3974528999534;None;None;None;[];524.3974528999534;None;"['9', '9', '9']";"[0.3525209999643266, 0.6162187000736594, 0.9123442000709474]";524.3974528999534;None;0.7342092001345009;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
0.0;f;040_y_f_h_a.jpg;happy;9.0;happy_24.3ns.avi;happy;9.0;congruent;120.0;150.0;213.25460698950434;h_h;;;;;0;39;39;39;;;;;;;527.4057543999515;None;529.3804659000598;529.697212100029;530.8639027001336;530.8812341999728;532.7555468999781;None;9;0;532.7555468999781;None;;;;;;;;7;;;;;;;534.3054780000821;None;None;None;[];534.3054780000821;None;"['9', '9', '9']";"[0.36414510011672974, 0.6682227000128478, 0.9725155001506209]";534.3054780000821;None;0.8744028999935836;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_139.1.wmv;happy;9.0;incongruent;130.0;150.0;162.31500468041804;s_h;;;;;0;40;40;40;;;;;;;537.3138586999848;None;538.8717887999956;539.1885768999346;540.3219031000044;540.3383889000397;542.3218886000104;None;9;0;542.3218886000104;None;;;;;;;;7;;;;;;;543.8636884000152;None;None;None;[];543.8636884000152;None;"['9', '9', '9', '9']";"[0.4863209000322968, 0.9183324000332505, 1.31807789998129, 1.7904179999604821]";543.8636884000152;None;1.1320320998784155;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
0.0;f;030_o_f_h_a.jpg;happy;9.0;happy_24.1ns.avi;happy;9.0;congruent;120.0;150.0;168.36256624020774;h_h;;;;;0;41;41;41;;;;;;;546.871739000082;None;548.4883703999221;548.8049343000166;549.9389631000813;549.9632868999615;553.2632049999665;None;9;0;553.2632049999665;None;;;;;;;;7;;;;;;;554.8131973999552;None;None;None;[];554.8131973999552;None;"['9', '9']";"[0.4166478000115603, 1.1124905000906438]";554.8131973999552;None;0.49480500002391636;;;S11136;2022_Jan_06_1152;VideoMask;2021.1.2;119.37804073055224;
