primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_128.1.wmv;sad;7.0;incongruent;120.0;160.0;171.0492454518585;h_s;;;;;0;17;17;17;;;;;;;291.30184470000677;None;292.95168840000406;293.26834880001843;294.40163810001104;294.41840510000475;296.40154420002364;None;7;0;296.40154420002364;None;;;;;;;;2;;;;;;;0.4665315999882296;297.95151950002764;None;None;None;[];297.95151950002764;None;"['7', '7', '7', '7', '7']";"[0.2527922999870498, 0.4764570999832358, 0.7007748000032734, 0.9485256999905687, 1.3168323999852873]";297.95151950002764;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
1.0;f;021_o_f_h_a.jpg;happy;9.0;sad_116.1.wmv;sad;7.0;incongruent;120.0;160.0;184.06847610053055;h_s;;;;;0;18;18;18;;;;;;;300.95152960001724;None;302.70964939999976;303.0263562000182;304.1680053000164;304.1847722000093;306.15964050000184;None;7;0;306.15964050000184;None;;;;;;;;2;;;;;;;0.5805537999840453;307.7096385000041;None;None;None;[];307.7096385000041;None;"['7', '7', '7', '7']";"[0.29465650001657195, 0.5424906000262126, 0.8064886000065599, 1.2065246000129264]";307.7096385000041;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;157.40741103039684;s_h;;;;;0;19;19;19;;;;;;;310.71800190000795;None;312.24281840000185;312.5594004000013;313.74270770000294;313.7593540000089;318.0843688000168;None;9;0;318.0843688000168;None;;;;;;;;9;;;;;;;0.3197433000023011;319.63424520002445;None;None;None;[];319.63424520002445;None;"['9', '9', '9', '9', '9']";"[0.19416590000037104, 0.4256722999853082, 0.6898447999847122, 0.905946299986681, 1.2978607999975793]";319.63424520002445;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
8.0;f;028_y_f_s_a.jpg;sad;7.0;happy_122.3.wmv;happy;9.0;incongruent;130.0;150.0;171.8670540936116;s_h;;;;;0;20;20;20;;;;;;;322.6342564000224;None;324.28397070002393;324.6006305000046;325.73407860001316;325.7505509000039;327.73403050002526;None;9;0;327.73403050002526;None;;;;;;;;4;;;;;;;0.36614019999979064;329.3089254000224;None;None;None;[];329.3089254000224;None;['7'];[0.8392276999948081];329.3089254000224;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
8.0;m;008_y_m_s_a.jpg;sad;7.0;sad_6.5ns.avi;sad;7.0;congruent;130.0;160.0;170.39333839271438;s_s;;;;;0;21;21;21;;;;;;;332.31734190002317;None;333.9503672000137;334.2670447000128;335.45865510002477;335.4754114000243;340.4003259000019;None;7;0;340.4003259000019;None;;;;;;;;5;;;;;;;0.44400299998233095;341.9501802000159;None;None;None;[];341.9501802000159;None;None;;341.9501802000159;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;120.0;150.0;225.70986890587952;h_h;;;;;0;22;22;22;;;;;;;344.97510890002013;None;347.06655620000674;347.38330140002654;348.5165539000009;348.53335310000693;353.09149090002757;None;9;0;353.09149090002757;None;;;;;;;;6;;;;;;;0.4407223000016529;354.64147660002345;None;None;None;[];354.64147660002345;None;"['9', '9', '7']";"[0.338684899994405, 0.7467293000081554, 2.3868929999880493]";354.64147660002345;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
8.0;m;008_y_m_h_a.jpg;happy;9.0;sad_111.1.wmv;sad;7.0;incongruent;120.0;160.0;152.63076835312847;h_s;;;;;0;23;23;23;;;;;;;357.6415637000173;None;359.1328448000131;359.44957360002445;360.582916400017;360.5996011000243;362.58290230002603;None;7;0;362.58290230002603;None;;;;;;;;4;;;;;;;0.6932918000093196;364.1411590000207;None;None;None;[];364.1411590000207;None;['7'];[0.5832622000016272];364.1411590000207;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_67.2ns.avi;sad;7.0;congruent;130.0;160.0;220.9892697323079;s_s;;;;;0;24;24;24;;;;;;;367.1496651000052;None;369.207501100027;369.52423090001685;370.64926920001744;370.66660880000563;379.8822974000068;None;7;0;379.8822974000068;None;;;;;;;;4;;;;;;;0.5138600999780465;381.43226020000293;None;None;None;[];381.43226020000293;None;['7'];[0.3476068000018131];381.43226020000293;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_29.1ns.avi;happy;9.0;incongruent;130.0;150.0;120.0316142834122;s_h;;;;;0;25;25;25;;;;;;;384.440519900003;None;385.6402581000002;385.95710250001866;387.14876310000545;387.1654597000161;389.7819724000001;None;9;0;389.7819724000001;None;;;;;;;;9;;;;;;;0.3103795000060927;391.33184330002405;None;None;None;[];391.33184330002405;None;"['9', '9', '9', '9', '9']";"[0.11245509999571368, 0.41620709997368976, 0.6721604999911506, 0.9682262999995146, 1.4245966000016779]";391.33184330002405;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
6.0;m;016_y_m_s_a.jpg;sad;7.0;sad_8.3ns.avi;sad;7.0;congruent;130.0;160.0;152.85371098242734;s_s;;;;;0;26;26;26;;;;;;;394.3318982000055;None;395.8149231999996;396.1316770000267;397.2899124000105;397.3067467000219;405.0231927000277;None;7;0;405.0231927000277;None;;;;;;;;5;;;;;;;0.613012300018454;406.5731124000158;None;None;None;[];406.5731124000158;None;None;;406.5731124000158;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
6.0;m;016_y_m_h_a.jpg;happy;9.0;sad_114.1.wmv;sad;7.0;incongruent;120.0;160.0;136.20550699298644;h_s;;;;;0;27;27;27;;;;;;;409.58957530002226;None;410.93962270001066;411.2562797999999;412.3896328000119;412.4062969000079;414.38951390000875;None;8;0;414.38951390000875;None;;;;;;;;7;;;;;;;0.8866761999961454;415.9393545000057;None;None;None;[];415.9393545000057;None;"['9', '9', '9']";"[0.5849118000187445, 1.0246524000249337, 1.4488792000047397]";415.9393545000057;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;215.61964028550614;s_h;;;;;0;28;28;28;;;;;;;418.9393561000179;None;420.94762410002295;421.2642000000051;422.3893239000172;422.40593190002255;424.39751710000564;None;7;0;424.39751710000564;None;;;;;;;;7;;;;;;;0.6464210999838542;425.93918260000646;None;None;None;[];425.93918260000646;None;"['9', '9', '9']";"[0.3768014000088442, 0.7211041999980807, 1.024866200023098]";425.93918260000646;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
6.0;m;016_y_m_h_a.jpg;happy;9.0;happy_9.2ns.avi;happy;9.0;congruent;120.0;150.0;130.52042428082717;h_h;;;;;0;29;29;29;;;;;;;428.939114000008;None;430.2388665000035;430.5555938000034;431.6888899000187;431.7056510000257;437.6138697999995;None;9;0;437.6138697999995;None;;;;;;;;6;;;;;;;0.5342528999899514;439.1637515000184;None;None;None;[];439.1637515000184;None;['9'];[0.2963306999881752];439.1637515000184;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
0.0;f;040_y_f_s_a.jpg;sad;7.0;happy_127.3.wmv;happy;9.0;incongruent;130.0;150.0;131.7195455720239;s_h;;;;;0;30;30;30;;;;;;;442.1637143000262;None;443.4634208000207;443.78014300001087;444.9136312000046;444.93016890002764;446.98017010002513;None;9;0;446.98017010002513;None;;;;;;;;4;;;;;;;1.0320563999994192;448.5300228000269;None;None;None;[];448.5300228000269;None;['7'];[0.4738833000010345];448.5300228000269;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
0.0;f;030_o_f_s_a.jpg;sad;7.0;happy_125.3.wmv;happy;9.0;incongruent;130.0;150.0;220.51454909128134;s_h;;;;;0;31;31;31;;;;;;;451.53837260001455;None;453.59647270001005;453.9131839000038;455.04721330001485;455.0715875000169;457.0464685000188;None;9;0;457.0464685000188;None;;;;;;;;7;;;;;;;0.533631600002991;458.59646340002655;None;None;None;[];458.59646340002655;None;"['9', '9']";"[0.2397876000031829, 0.5515437999856658]";458.59646340002655;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_64.3ns.avi;sad;7.0;congruent;130.0;160.0;165.78667874766072;s_s;;;;;0;32;32;32;;;;;;;461.5964382000093;None;463.179483600019;463.49626780001563;464.6546280000184;464.67124260001583;469.6294847000099;None;7;0;469.6294847000099;None;;;;;;;;5;;;;;;;0.502705099992454;471.1793186000141;None;None;None;[];471.1793186000141;None;None;;471.1793186000141;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
3.0;m;013_y_m_s_a.jpg;sad;7.0;sad_7.7ns.avi;sad;7.0;congruent;130.0;160.0;196.24182255763262;s_s;;;;;0;33;33;33;;;;;;;474.2126661000075;None;476.06244870001683;476.3791640000127;477.55398390002665;477.57076230001985;483.51239680001163;None;7;0;483.51239680001163;None;;;;;;;;4;;;;;;;0.6118047000200022;485.05393500000355;None;None;None;[];485.05393500000355;None;['7'];[0.342267100000754];485.05393500000355;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
3.0;m;013_y_m_h_a.jpg;happy;9.0;happy_9.1ns.avi;happy;9.0;congruent;120.0;150.0;165.1890303600433;h_h;;;;;0;34;34;34;;;;;;;488.05394690000685;None;489.6369571000105;489.95367410001927;491.1120875000197;491.1288392000133;494.3119551000127;None;9;0;494.3119551000127;None;;;;;;;;6;;;;;;;0.46031890000449494;495.86194580001757;None;None;None;[];495.86194580001757;None;"['9', '9', '7']";"[0.24626280000666156, 0.7503301000106148, 2.2304388000047766]";495.86194580001757;None;;;S12007;2023_Feb_08_1734;VideoMask;2021.1.2;120.07771431532557;
