primePerson	primeGender	prime	primeEmotion	corrAnsPrime	target	targetEmotion	corrAnsTar	Cond	ID_Primer	ID_Target	JitterTime	Condition	example.thisRepN	example.thisTrialN	example.thisN	example.thisIndex	study.thisRepN	study.thisTrialN	study.thisN	study.thisIndex	MR_trigger_time	MR_trigger_number	text_intro.started	text_intro.stopped	text_probe.started	text_probe.stopped	polygon_ISI.started	polygon_ISI.stopped	polygon.started	polygon.stopped	primerImage.started	primerImage.stopped		response.started	response.stopped	key_resp.keys	key_resp.corr	key_resp.started	key_resp.stopped	slider_Text.started	slider_Text.stopped	slider_ex.response	slider_ex.rt	slider_ex.history	slider_ex.started	slider_ex.stopped	Rating	slider_resp_response.keys	slider_resp_response.rt	slider_resp_response.started	slider_resp_response.stopped	key_resp.rt	text_start.started	text_start.stopped	text_slider.started	text_slider.stopped	slider_stud.response	slider_stud.rt	slider_stud.history	slider_stud.started	slider_stud.stopped	slider_resp_study.keys	slider_resp_study.rt	slider_resp_study.started	slider_resp_study.stopped	text_ende.started	text_ende.stopped	participant	date	expName	psychopyVersion	frameRate
6	m	016_y_m_h_a.jpg	happy	9	sad_114.1.wmv	sad	7	incongruent	120	160	235.5324763	h_s					0	48	48	48							654.769048	None	656.9354726	657.2522926	658.3856364	658.4021793		660.3856305	None	None	0	660.3856305	None								4								661.9357253	None	None	None	[]	661.9357253	None	['7']	[0.2017378001473844]	661.9357253	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
7	m	027_o_m_h_a.jpg	happy	9	sad_117.1.wmv	sad	7	incongruent	120	160	175.3534535	h_s					0	49	49	49							664.9354935	None	666.6102405	666.9269448	668.0602967	668.076994		670.0603915	None	None	0	670.0603915	None								2								671.610371	None	None	None	[]	671.610371	None	['7', '7', '7']	[0.9351316001266241, 1.199213100131601, 1.423337200190872]	671.610371	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
4	m	004_o_m_h_a.jpg	happy	9	sad_95.1ns.avi	sad	7	incongruent	120	160	160.6329868	h_s					0	50	50	50							674.6102766	None	676.1849159	676.5016948	677.7601331	677.7767986		686.4266581	None	7	0	686.4266581	None								3					1.1754879			688.1180702	None	None	None	[]	688.1180702	None	['7', '7']	[0.31546229985542595, 0.5953202000819147]	688.1180702	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
0	f	040_y_f_h_a.jpg	happy	9	sad_128.2.wmv	sad	7	incongruent	120	160	196.1668685	h_s					0	51	51	51							691.1264134	None	692.9678347	693.2845821	694.4349768	694.4594079		696.4179462	None	None	0	696.4179462	None								2								697.9678617	None	None	None	[]	697.9678617	None	['7', '7', '7']	[0.28161539998836815, 0.4895087000913918, 0.6976862999144942]	697.9678617	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
0	f	040_y_f_h_a.jpg	happy	9	sad_138.1.wmv	sad	7	incongruent	120	160	134.8193354	h_s					0	52	52	52							700.9678244	None	702.2925719	702.6091961	703.7343933	703.751031		705.7427236	None	None	0	705.7427236	None								4								707.2927256	None	None	None	[]	707.2927256	None	['7']	[0.18864409998059273]	707.2927256	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
8	m	008_y_m_s_a.jpg	sad	7	happy_29.1ns.avi	happy	9	incongruent	130	150	132.7912798	s_h					0	53	53	53							710.2924751	None	711.6006461	711.9174333	713.0838214	713.1007531		715.7423616	None	None	0	715.7423616	None								8								717.2925629	None	None	None	[]	717.2925629	None	['9', '9', '9', '9']	[0.7488706998992711, 0.9889676999300718, 1.2849065999034792, 1.7252408999484032]	717.2925629	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
9	f	019_m_f_s_a.jpg	sad	7	happy_61.1ns.avi	happy	9	incongruent	130	150	186.3094823	s_h					0	54	54	54							720.300766	None	722.0838228	722.4004023	723.5672764	723.5841317		730.9252786	None	None	0	730.9252786	None								7								732.4750257	None	None	None	[]	732.4750257	None	['7', '7', '9', '9', '9', '9', '9']	[0.4863782001193613, 0.7985259999986738, 1.9264943001326174, 2.078458799980581, 2.246466000098735, 2.430349300149828, 2.6790798001457006]	732.4750257	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
8	f	028_y_f_h_a.jpg	happy	9	sad_119.1.wmv	sad	7	incongruent	120	160	127.2653314	h_s					0	55	55	55							735.4750918	None	736.7417696	737.058408	738.2083781	738.2250747		740.2582683	None	None	0	740.2582683	None								5								741.8080742	None	None	None	[]	741.8080742	None	['9']	[2.969416599953547]	741.8080742	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
3	m	033_o_m_h_a.jpg	happy	9	sad_136.1.wmv	sad	7	incongruent	120	160	193.6894493	h_s					0	56	56	56							744.8082435	None	746.6246346	746.9414929	748.074547	748.0913289		750.0746718	None	None	0	750.0746718	None								3								751.9329606	None	None	None	[]	751.9329606	None	['7', '7']	[0.2525869000237435, 0.44461399991996586]	751.9329606	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
8	f	028_y_f_s_a.jpg	sad	7	happy_122.3.wmv	happy	9	incongruent	130	150	209.3215764	s_h					0	57	57	57							754.9415087	None	756.8993461	757.216048	758.3577515	758.3744501		760.3493204	None	None	0	760.3493204	None								9								761.8999137	None	None	None	[]	761.8999137	None	['9', '9', '9', '9']	[0.37365429988130927, 0.7975769999902695, 0.9735864999238402, 1.1818075999617577]	761.8999137	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
3	m	013_y_m_h_a.jpg	happy	9	sad_113.2.wmv	sad	7	incongruent	120	160	213.0625309	h_s					0	58	58	58							764.8992604	None	766.890951	767.2075491	768.3579262	768.3823319		770.3408072	None	None	0	770.3408072	None								4								771.8905963	None	None	None	[]	771.8905963	None	['7']	[0.37502570007927716]	771.8905963	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
0	f	030_o_f_h_a.jpg	happy	9	sad_127.1.wmv	sad	7	incongruent	120	160	172.1001676	h_s					0	59	59	59							774.8990661	None	776.5488507	776.8659411	777.9906119	778.0071954		779.9987975	None	None	0	779.9987975	None								3								781.5652996	None	None	None	[]	781.5652996	None	['7', '7', '9', '9', '7']	[9.639145000139251, 0.37232009996660054, 1.0203194001223892, 1.78854910004884, 2.9084940999746323]	781.5652996	None			S10814	2021_Aug_10_1724	VideoMask	02.01.21	120.0859332
																																																																		784.5570525	None					
