0.170288	0	-3.500000	2
-0.216697	0	-7.500000	1
-0.164497	0	0.500000	2
-0.019329	0	2.500000	1
-0.048268	0	-3.500000	2
-0.117204	0	-3.500000	2
-0.214647	0	-0.500000	2
-0.030213	0	-2.500000	2
-0.475836	0	6.500000	1
0.123929	0	-3.500000	1
-0.000949	0	0.500000	1
-0.073711	0	-4.500000	1
0.104534	0	0.500000	1
-0.134929	0	-4.500000	2
-0.088016	0	-0.500000	2
0.114781	0	7.500000	2
0.060537	0	-2.500000	2
0.065234	0	18.500000	1
-0.079407	0	-3.500000	2
-0.094170	0	4.500000	1
-0.012008	0	-4.500000	1
0.090777	0	-4.500000	1
0.130663	0	1.500000	1
-0.182847	0	7.500000	2
0.171799	0	10.500000	1
-0.115574	0	-2.500000	1
0.161724	0	-1.500000	1
0.195112	0	-0.500000	1
0.031421	0	-0.500000	1
-0.013643	0	-1.500000	1
-0.212775	0	-1.500000	1
-0.069788	0	9.500000	1
0.005763	0	-6.500000	1
-0.010154	0	0.500000	1
0.150038	0	-3.500000	2
0.365010	0	15.500000	2
-0.062839	0	-4.500000	2
-0.358148	0	-1.500000	2
-0.061576	0	-1.500000	1
-0.139640	0	-4.500000	1
-0.223395	0	-3.500000	2
0.152334	0	26.500000	1
0.143025	0	9.500000	1
0.036738	0	4.500000	1
0.065964	0	-6.500000	1
-0.111691	0	-2.500000	2
-0.261832	0	8.500000	2
0.204976	0	17.500000	1
-0.148378	0	-4.500000	2
-0.182746	0	-3.500000	2
0.024278	0	-2.500000	1
-0.099539	0	-3.500000	1
-0.170949	0	-6.500000	1
-0.097893	1	-2.500000	1
0.128490	1	-6.500000	1
0.105537	1	1.500000	1
0.081125	1	6.500000	1
0.002402	1	4.500000	2
-0.072791	1	-7.500000	2
0.224712	1	4.500000	2
0.041357	1	12.500000	2
-0.187348	1	-4.500000	2
-0.085550	1	1.500000	1
0.079714	1	10.500000	2
-0.066453	1	-4.500000	1
0.128755	1	2.500000	1
0.008283	1	15.500000	1
0.239160	1	-3.500000	1
0.127645	1	0.500000	2
0.161244	1	-7.500000	1
-0.211384	1	-7.500000	1
0.296766	1	13.500000	1
0.034718	1	-3.500000	1
0.240180	1	-2.500000	1
0.091948	1	6.500000	1
-0.053969	1	1.500000	1
0.047404	1	-5.500000	1
-0.138312	1	-4.500000	1
0.031843	1	-3.500000	1
0.009726	1	-5.500000	2
-0.136009	1	-0.500000	2
0.178623	1	-3.500000	2
-0.002575	1	-0.500000	2
0.098966	1	1.500000	1
-0.046288	1	-3.500000	1
0.035171	1	-4.500000	1
0.158087	1	0.500000	1
-0.083646	1	-3.500000	1
-0.307488	1	-3.500000	2
-0.093086	1	-4.500000	2
0.272665	1	-4.500000	1
0.231846	1	3.500000	2
-0.119337	1	-1.500000	2
0.326868	1	4.500000	2
0.025628	1	-2.500000	1
0.119558	1	-3.500000	1
0.081824	1	-3.500000	2
-0.153440	1	-7.500000	2
-0.074307	1	-3.500000	1
-0.215230	1	-3.500000	1
0.148467	1	-5.500000	2
0.012860	1	-3.500000	1
