;Factor1;Factor2;Factor3;Factor4;Factor5;Assigned_Factor
type_token_ratio_neg;-0.019019148925000076;0.026631619557131076;0.01801101893095233;-0.8834715582759242;-0.08086289979197016;Factor2
verb_phrase_with_aux_and_vp_rate_neg;0.0760499997861554;0.0399096469024674;0.033148447342119074;0.0734533906201827;0.04942764259109566;Factor1
verb_phrase_with_aux_rate_neg;0.033166059238342226;0.04837466336676073;0.16936801523053582;-0.14042834390263842;0.09636973552375602;Factor3
verb_rate_neg;-0.040071267603417365;0.029051423290347607;-0.01193061144880709;0.11042905961557498;-0.35721369429129307;Factor4
word_count_neg;0.03113830900147611;-0.11523674118636862;-0.05170200509695433;0.807415188061886;0.05691318294644769;Factor4
word_frequency_mean_neg;0.010145777665249241;-0.12149430050594938;0.029929867518678537;0.07290994122435288;0.0013860033012668793;Factor4
word_frequency_sd_neg;0.17636673586208435;0.292411855696626;0.017240309754020265;0.2486792113171964;0.02198400229260251;Factor2
word_frequency_range_neg;0.15506399671604235;0.15691212434870103;-0.04936871367726672;0.6297255159564751;0.12126685702199178;Factor4
average_mfccs_1_pos;-0.1456176132527057;-0.6507981118106815;-0.07226632496950379;0.26102734005390926;0.5010674044124155;Factor5
average_mfccs_2_pos;-0.19437329830373906;-0.499431848601109;0.19382109573961423;-0.07250552151314767;-0.5744954206902262;Factor3
average_mfccs_3_pos;-0.352294079167262;-0.4620116579534479;0.35226932271992967;0.07324159480988354;0.1317139366869294;Factor3
average_mfccs_4_pos;-0.41264280932761566;-0.5423842536399834;0.40940978552381047;0.015257490936607937;-0.05991038739721887;Factor3
alpha_ratio_mean_pos;0.15749567683520055;-0.2897815463471177;0.6724095493547488;-0.0639365479805014;0.00301782617710304;Factor3
alpha_ratio_sd_pos;0.2097763741261727;0.2304022893356718;0.6021963770896662;-0.12052145864150444;0.04509359263793603;Factor3
apq11_shimmer_pos;-0.29361736183807813;-0.6978089924169969;0.004634784267426852;0.019450333842539143;0.1841986545827811;Factor5
apq3_shimmer_pos;-0.11544808357784145;-0.8639605112705716;-0.013701767000732085;0.09935675887662793;-0.16254492784634839;Factor4
apq5_shimmer_pos;-0.1240571187247755;-0.8709762738611865;-0.10881973944655686;0.04309368804710463;-0.005638324264249019;Factor4
dda_shimmer_pos;-0.11544805402427305;-0.8639605307751386;-0.013701769152514654;0.09935675181366235;-0.16254491871965934;Factor4
ddp_jitter_pos;-0.13380123836315752;-0.7777980360167288;0.3093988116847101;-0.07512569279621496;-0.07808969137731318;Factor3
duration_pos;-0.03066332265988255;-0.015663022017971782;0.08027106842288538;0.8484356145793751;0.10517524591961287;Factor4
f0_range_pos;0.6125114505571847;0.13498871011396785;0.10276061587025294;0.20315010971182892;0.13245295848856647;Factor1
f1_bandwidth_mean_pos;-0.605631860038803;0.10734371297304544;-0.008316324320290527;-0.2173406040087302;-0.5132006321945836;Factor2
f1_bandwidth_sd_pos;-0.20751947352206257;0.5538295207793864;0.19231040477277256;-0.14888860431792075;-0.2003273407793747;Factor2
f1_frequency_mean_pos;-0.5416405619940813;0.2962682871875818;0.015868979234519246;-0.23400357598588054;-0.2114923999095658;Factor2
f1_frequency_sd_pos;-0.5727316055551318;0.04439864414302295;0.6122201401242483;-0.1347149286425403;-0.0005536700418030631;Factor3
f1_relative_energy_mean_pos;0.057561515815803294;0.07934709756626288;-0.5677790124129924;0.06740182589088606;0.4015120424604806;Factor5
f1_relative_energy_sd_pos;-0.5051150626060661;0.24572465088781775;-0.22333766077922612;0.10443564443237957;-0.010624828314246266;Factor2
f2_bandwidth_mean_pos;-0.05755620004956054;0.01003633001895221;-0.10862569273211758;-0.21501302134082856;-0.5607093113582661;Factor2
f2_bandwidth_sd_pos;0.14671837635264337;0.3673586047819896;-0.18849654736533786;-0.0572604948385241;-0.17591149567657094;Factor2
f2_frequency_mean_pos;-0.2716534113532403;0.14088743556311295;0.36265000197736424;-0.2878190421942224;-0.40033270076857047;Factor3
f2_frequency_sd_pos;-0.4664256625894706;0.23467776951790262;0.29005001861476193;-0.09300482109303039;-0.002521074743676206;Factor3
f2_relative_energy_mean_pos;-0.15844719581609035;0.309386046780324;-0.7334193710898589;0.007207914705392937;0.29623806708637385;Factor2
f2_relative_energy_sd_pos;0.25494611056036426;0.6434374432825657;0.24171672742701442;-0.0712750286170299;0.23172832150756806;Factor2
f3_bandwidth_mean_pos;0.12456494520573391;-0.2979821611088862;0.19721797602332625;-0.09325770152825864;-0.22161406768439912;Factor3
f3_bandwidth_sd_pos;0.3701097215209565;0.09241806305427219;-0.11195317646120993;0.04312085290957047;0.2893160346652936;Factor1
f3_frequency_mean_pos;-0.16155124019110143;0.05994370172812351;0.5070091856027894;-0.27651299224534304;-0.528407615835248;Factor3
f3_frequency_sd_pos;-0.6867189731424659;-0.01563515812293342;0.2078487890802487;0.06253175715705357;0.19269813606340705;Factor3
f3_relative_energy_mean_pos;-0.22765831837924091;0.3674455018209835;-0.7008562412324294;-0.04930853289303222;0.14105694477979072;Factor2
f3_relative_energy_sd_pos;0.40138699984856185;0.4914719869986383;0.42302845474369466;-0.16772937357999126;0.2674541200564786;Factor2
h1_a3_harmonic_difference_mean_pos;0.29318587231892757;0.7184240014182808;-0.31303810177227614;-0.18326960546405846;-0.08341346400674433;Factor2
h1_a3_harmonic_difference_sd_pos;-0.05563112470953278;0.5507472069476558;0.05570260497084613;-0.15077186706870102;0.102921435083942;Factor2
h1_h2_harmonic_difference_mean_pos;-0.054446010062591775;-0.2498215512034575;0.47960586793596693;0.10605616510735874;0.015028207527540088;Factor3
h1_h2_harmonic_difference_sd_pos;0.5514758358095342;0.3597683568449014;-0.009845153057578935;-0.0074297488287591446;0.04971176031555981;Factor1
hammarberg_index_mean_pos;0.12154481765402486;-0.5499076437792553;0.6290955866367939;0.04972174057966716;0.027898784430297776;Factor3
hammarberg_index_sd_pos;0.2415630243976059;0.5896676944889322;0.38287055956543176;-0.23879681901278244;0.08408368817094042;Factor2
hnr_mean_pos;0.10552787042167724;-0.03628544944499002;0.5022292308547287;-0.11931345603819929;0.09914314542975246;Factor3
hnr_sd_pos;0.006164630011058719;0.354079799232259;0.30277937218599416;0.061103992159586645;0.10030375201226326;Factor2
jitter_local_mean_pos;-0.25475835885943726;-0.5219782945032582;-0.33909639768544086;-0.10744879083989589;-0.43678008896451526;Factor4
jitter_local_sd_pos;-0.41796035094427525;0.14256657028706915;-0.38542017375169824;0.059299329642217874;-0.5421298373396061;Factor2
length_continuously_unvoiced_regions_mean_pos;0.2588017841816501;0.4912977753726045;-0.46641663439639147;-0.02102853217298038;-0.35604898510422633;Factor2
length_continuously_unvoiced_regions_sd_pos;0.1810032295153758;0.46177146850291606;-0.3965756734860098;0.011681821517778966;-0.31799826618240107;Factor2
length_continuously_voiced_regions_mean_pos;0.06696136216955655;-0.022673927243705698;0.8263714819400042;-0.08559791464864738;0.3465041297401099;Factor3
length_continuously_voiced_regions_sd_pos;-0.06752630015540724;0.04280816108399944;0.8072044490953711;0.03451553343739088;0.2092136869379726;Factor3
local_absolute_jitter_pos;-0.6511514525261232;-0.6115857031187197;0.040690454811851635;-0.049338923652823614;-0.09855730713807788;Factor3
local_shimmer_pos;-0.1990727437973433;-0.8192597704920729;-0.19737486132060697;0.11925015048183107;-0.11029552614426043;Factor4
loudness_mean_pos;-0.03240448848303958;-0.24008684899739427;-0.017227826831782575;0.2816110771041754;0.6908607082906103;Factor5
loudness_sd_pos;0.09465540207786444;0.47025910130641285;0.05507104383478278;-0.28827965427553676;-0.37176293532958804;Factor2
pause_durations_sum_pos;-0.06825316904141318;-0.05191625581097961;0.04291108796483407;0.8316679532086075;-0.1714708662442491;Factor4
pause_durations_mean_pos;-0.0008197749163402165;-0.3376893841819967;-0.30335790443220617;-0.06345264122017183;-0.4375604459943035;Factor1
pause_durations_sd_pos;-0.04628936428601612;-0.3242846219915911;-0.3347446370336599;-0.04451585390409239;-0.38397636545324304;Factor4
number_of_pauses_pos;0.04066272584174378;0.10041541668644594;0.07082825936861799;0.8212870238288311;0.18953427814658877;Factor4
pause_rate_pos;0.004014712977777956;-0.08373946278254989;-0.16080055992257603;0.09945195236513182;-0.7094430754714488;Factor4
ppq5_jitter_pos;-0.13224800167913134;-0.7585191394315399;0.3100578213411838;-0.08243774614816879;-0.016555998433159472;Factor3
rap_jitter_pos;-0.13380105952566942;-0.7777980741819261;0.30939886825644636;-0.0751256664000664;-0.07808965882804454;Factor3
rate_loudness_peaks_pos;0.13984534624431885;0.16205761659694545;-0.09683000155427687;0.11032666784781647;-0.1506113823406112;Factor2
shimmer_local_dB_mean_pos;-0.2370469549954687;-0.7640924207406566;-0.1093928453877469;0.051367022509045936;-0.28293392193055567;Factor4
shimmer_local_dB_sd_pos;-0.4993425739135623;-0.13535506915148451;0.21278096024522997;0.042958223818211884;-0.2522976646491168;Factor3
signal_to_noise_ratio_pos;0.0022735081030980393;0.1728694202372978;-0.023883588322483724;0.13950635005778356;0.7456203309551178;Factor5
spectral_slope_0_500_mean_pos;0.5798952140629512;0.4064479306939884;-0.26184217696546697;0.08559985062729385;0.4578854547635266;Factor1
spectral_slope_0_500_sd_pos;0.060112181024510755;0.48953184103618996;-0.0524926288218176;0.10143341790638166;0.18854064355014982;Factor2
spectral_slope_500_1500_mean_pos;-0.5441033297825447;-0.09703746417307858;0.33781153752531373;-0.02152186837997019;-0.04700063981651854;Factor3
spectral_slope_500_1500_sd_pos;-0.036928591429378405;0.38299957695294634;0.09664783714922934;-0.09265795011501965;0.33866015615767586;Factor2
speech_ratio_pos;-0.008698346320421765;0.12503783007662833;0.13217058811623117;0.20889615525101407;0.8589669251756558;Factor5
utterance_durations_sum_pos;0.01644292731531956;0.0310191791886306;0.08348583085514577;0.7398618711907803;0.33034508763326326;Factor4
utterance_durations_mean_pos;-0.18103304076669074;-0.1091701158146364;0.16901301336843683;0.2469419619381839;0.7123547548151222;Factor5
utterance_durations_sd_pos;-0.12034673658210727;-0.09005442346579451;0.10453664760921585;0.31285011880804725;0.6826876694823347;Factor5
vocal_tremor_pos;-0.15200018924154668;-0.152653515285101;-0.003736650654730393;0.23990360975628622;-0.23731755450832306;Factor4
pitch_max_pos;0.5081000212415335;0.3745412904745863;-0.10297071076838826;0.17790058626008973;0.10958125112099967;Factor1
pitch_min_pos;0.3324566122481928;0.4426301078123572;-0.34314323917124223;-0.32398403862001685;-0.24619745198338908;Factor2
pitch_mean_pos;0.8672204071224657;0.3192005360938477;0.20603904101199016;-0.041188723115144585;0.1071559695509619;Factor1
pitch_std_pos;0.8822989860983964;0.2266722188203763;0.04773396762664121;-0.056356068495439435;-0.06902445823105663;Factor1
pitch_range_pos;0.5013710396687822;0.3629036845671697;-0.09227438383330437;0.19038052408190337;0.11888993163923658;Factor1
pitch_coefficient_of_variation_pos;0.7615307268750118;0.06902961637305954;-0.103676988011627;-0.06410856754338809;-0.16706899922265106;Factor1
pitch_skewness_pos;-0.38752474265563497;0.09659896759591542;-0.4910970103773132;0.04232132307434953;0.00040694620549558;Factor2
pitch_kurtosis_pos;-0.25580505275278487;0.1873220901147607;-0.26700126833132304;0.12476557243770062;0.09060195508626019;Factor2
pitch_first_quartile_pos;0.6208772579064951;0.3309216148542695;0.13440799271491308;-0.010838742584185079;0.32288060059597923;Factor1
pitch_second_quartile_pos;0.8406446402957232;0.3271682469127435;0.32298498426973765;-0.03621216084827686;0.0579349135402491;Factor1
pitch_third_quartile_pos;0.8859585181919247;0.2619043893907115;0.2398126999894879;-0.044434336486931396;0.0406309485734899;Factor1
pitch_q2_q1_range_pos;0.6385244396803399;0.14967574440376638;0.3602997959687187;-0.045968768308787336;-0.2739399425540235;Factor1
pitch_q3_q2_range_pos;0.5247413028506369;-0.1310658266937182;-0.20731440983779575;-0.046585035728811945;-0.04949223243585022;Factor1
pitch_q3_q1_range_pos;0.7420671499707886;0.078794612739841;0.232137784036468;-0.056886914062465835;-0.25351238716600616;Factor1
pitch_percentile_1_pos;0.4512768479316475;0.4897235222741783;-0.3014690737382444;-0.08892042074437388;0.04268064799724925;Factor2
pitch_percentile_99_pos;0.8042259450037603;0.29240265024483203;-0.04785278062440045;-0.05309724664770764;0.0586158533500546;Factor1
pitch_percentile_1_99_range_pos;0.7986623464950501;0.26666280400590564;-0.027088451609961022;-0.048298800330302594;0.057449450306454874;Factor1
pitch_percentile_20_pos;0.5225601031610868;0.2869053182786995;0.11789006070614952;0.0014701807328339268;0.37297787208557753;Factor1
pitch_percentile_80_pos;0.8902818372930579;0.2636702707216882;0.200862250514462;-0.04904985125996248;0.05287064745744398;Factor1
pitch_percentile_20_80_range_pos;0.8191398367094259;0.15545196441158166;0.18413414811428883;-0.06502575737948885;-0.18560688445773912;Factor1
pitch_linear_regression_offset_pos;0.7946888655576798;0.33766859064233246;0.2646019872006739;-0.06691631443047642;0.13921664176261916;Factor1
pitch_linear_regression_slope_pos;-0.08097898774000853;-0.13881969851074855;-0.1286323578969039;0.1651963282172506;-0.07030758294775119;Factor4
pitch_linear_regression_mse_pos;0.8083052356520842;0.22055704913618152;-0.0022171042124219118;-0.033191933662440325;-0.10972535120530665;Factor1
adjective_rate_pos;0.040139168426194034;-0.077800314805412;-0.03383557859839955;-0.4400913029905641;-0.03653682353745246;Factor1
adposition_rate_pos;0.080292476811094;-0.013702679228059325;0.0200596959990689;-0.1653085656566222;0.015796505279168066;Factor1
