Factor1;Factor2;Factor3;Factor4;Factor5
pitch_q3_q1_range_pos (0.74);length_continuously_unvoiced_regions_mean_pos (0.49);f3_frequency_mean_pos (0.51);adverb_rate_pos (0.48);
pitch_percentile_99_pos (0.80);length_continuously_unvoiced_regions_sd_pos (0.46);f3_frequency_sd_pos (0.21);brunets_index_pos (0.90);
pitch_percentile_1_99_range_pos (0.80);loudness_sd_pos (0.47);h1_h2_harmonic_difference_mean_pos (0.48);mean_sentiment_pos (0.24);
pitch_percentile_20_pos (0.52);rate_loudness_peaks_pos (0.16);hammarberg_index_mean_pos (0.63);positive_sentence_ratio_pos (0.35);
pitch_percentile_80_pos (0.89);spectral_slope_0_500_sd_pos (0.49);hnr_mean_pos (0.50);pronoun_rate_pos (0.47);
pitch_percentile_20_80_range_pos (0.82);spectral_slope_500_1500_sd_pos (0.38);length_continuously_voiced_regions_mean_pos (0.83);verb_rate_pos (0.27);
pitch_linear_regression_offset_pos (0.79);pitch_min_pos (0.44);length_continuously_voiced_regions_sd_pos (0.81);word_count_pos (0.82);
pitch_linear_regression_mse_pos (0.81);pitch_skewness_pos (0.10);local_absolute_jitter_pos (0.04);word_frequency_mean_pos (0.06);
adjective_rate_pos (0.04);pitch_kurtosis_pos (0.19);ppq5_jitter_pos (0.31);word_frequency_sd_pos (0.19);
adposition_rate_pos (0.08);pitch_percentile_1_pos (0.49);rap_jitter_pos (0.31);word_frequency_range_pos (0.53);
conjunction_rate_pos (0.26);determiner_rate_pos (0.15);shimmer_local_dB_sd_pos (0.21);;
inflected_verb_rate_pos (0.24);noun_rate_pos (0.20);spectral_slope_500_1500_mean_pos (0.34);;
negative_sentence_ratio_pos (0.15);number_consecutive_repetitions_pos (0.05);honore_stat_pos (0.13);;
proportion_verb_phrase_with_objects_pos (0.17);;mean_number_subordinate_clauses_pos (0.01);;
type_token_ratio_pos (0.07);;neutral_sentence_ratio_pos (0.04);;
verb_phrase_with_aux_and_vp_rate_pos (0.00);;proper_noun_rate_pos (0.08);;
;;proportion_verb_phrase_with_subjects_pos (0.26);;
