primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_128.1.wmv;sad;7.0;incongruent;120.0;160.0;168.97426303437265;;;;;0;19;19;19;;;;;;;349.78576719999546;None;351.40217820002;351.71898639999563;352.85220869997283;352.86902899999404;354.85214059997816;None;None;0;354.85214059997816;None;;;;;;;;4;;;;;;;356.4019974999828;None;None;None;[];356.4019974999828;None;['7'];[0.843931799987331];356.4019974999828;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
9.0;f;019_m_f_h_a.jpg;happy;9.0;sad_115.1.wmv;sad;7.0;incongruent;120.0;160.0;202.13700247699333;;;;;0;20;20;20;;;;;;;359.4105038999696;None;361.30190159997437;361.6186750999768;362.74375009996584;362.76029299997026;364.7520316999871;None;None;0;364.7520316999871;None;;;;;;;;4;;;;;;;366.3016932000173;None;None;None;[];366.3016932000173;None;['7'];[0.5200513000017963];366.3016932000173;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_1.2ns.avi;happy;9.0;congruent;140.0;150.0;155.22310421045015;;;;;0;21;21;21;;;;;;;369.3019121999969;None;370.83485300000757;371.15208769997116;372.310052899993;372.3266508000088;385.0764406999806;None;None;0;385.0764406999806;None;;;;;;;;4;;;;;;;386.62637600000016;None;None;None;[];386.62637600000016;None;['7'];[1.8033516999566928];386.62637600000016;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;157.18644691248227;;;;;0;22;22;22;;;;;;;389.62625490000937;None;391.12592969997786;391.4427168999682;392.60115379997296;392.6177820999874;395.2011730999802;None;None;0;395.2011730999802;None;;;;;;;;4;;;;;;;396.7508328999975;None;None;None;[];396.7508328999975;None;['7'];[2.159055099997204];396.7508328999975;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
6.0;m;016_y_m_s_a.jpg;sad;7.0;happy_60.4ns.avi;happy;9.0;incongruent;130.0;150.0;135.96622391936876;;;;;0;23;23;23;;;;;;;399.75931200000923;None;401.10080690000905;401.41758259997005;402.56753830000525;402.5841983999708;408.34245860000374;None;None;0;408.34245860000374;None;;;;;;;;6;;;;;;;409.8928047000081;None;None;None;[];409.8928047000081;None;['9'];[0.33687810000265017];409.8928047000081;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
0.0;f;030_o_f_h_a.jpg;happy;9.0;happy_24.1ns.avi;happy;9.0;congruent;140.0;150.0;187.2363405679046;;;;;0;24;24;24;;;;;;;412.8922400000156;None;414.6587314999779;414.975416900008;416.11708210001234;416.1337240000139;419.45035679999273;None;None;0;419.45035679999273;None;;;;;;;;6;;;;;;;421.000762199983;None;None;None;[];421.000762199983;None;['9'];[2.1810600999742746];421.000762199983;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_133.3.wmv;happy;9.0;incongruent;130.0;150.0;151.65964880545846;;;;;0;25;25;25;;;;;;;424.00034969998524;None;425.4666390999919;425.783469899965;426.9087544999784;426.92505620000884;428.91673220001394;None;None;0;428.91673220001394;None;;;;;;;;6;;;;;;;430.4665619999869;None;None;None;[];430.4665619999869;None;"['9', '9']";"[1.6514212000183761, 2.2031981000327505]";430.4665619999869;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
1.0;f;021_o_f_s_a.jpg;sad;7.0;happy_61.2ns.avi;happy;9.0;incongruent;130.0;150.0;146.79956415721207;;;;;0;26;26;26;;;;;;;433.46680449997075;None;434.88311280001653;435.19988540001214;436.35799839999527;436.37488449999364;440.86644020001404;None;None;0;440.86644020001404;None;;;;;;;;6;;;;;;;442.41647080000257;None;None;None;[];442.41647080000257;None;['9'];[2.149299799988512];442.41647080000257;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
1.0;f;021_o_f_h_a.jpg;happy;9.0;sad_116.1.wmv;sad;7.0;incongruent;120.0;160.0;205.93899364307754;;;;;0;27;27;27;;;;;;;445.42482329998165;None;447.3494574999786;447.66616919997614;448.8328731000074;448.8495185999782;450.80783090001205;None;None;0;450.80783090001205;None;;;;;;;;3;;;;;;;452.3582441000035;None;None;None;[];452.3582441000035;None;"['7', '7', '9', '7']";"[0.3836270999745466, 1.3119025999912992, 2.1995707000023685, 2.695587099995464]";452.3582441000035;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
7.0;m;027_o_m_h_a.jpg;happy;9.0;happy_20.1ns.avi;happy;9.0;congruent;140.0;150.0;145.4488529976734;;;;;0;28;28;28;;;;;;;455.3577746999799;None;456.76576219999697;457.0826454000198;458.21597740001744;458.2325843999861;461.23318189999554;None;None;0;461.23318189999554;None;;;;;;;;6;;;;;;;462.7823313999688;None;None;None;[];462.7823313999688;None;['9'];[0.4315206999890506];462.7823313999688;None;;;S10775;2021_Jul_26_1439;VideoMask;2021.1.2;120.0230924232041;
