primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
4.0;m;004_o_m_s_a.jpg;sad;7.0;sad_2.4ns.avi;sad;7.0;congruent;130.0;160.0;153.9424691910033;;;;;0;30;30;30;;;;;;;485.1067784000188;None;486.6067150000017;486.9232546999119;488.131645699963;488.1480759999249;496.02309939987026;None;7;0;1.0572855998761952;496.02309939987026;None;;;;;;;;3;;;;;;497.58134339982644;None;None;None;[];497.58134339982644;None;"['7', '7', '7', '9']";497.58134339982644;None;"[0.3550303999800235, 1.0190077999141067, 2.339192199986428, 2.611002199817449]";;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
8.0;m;008_y_m_h_a.jpg;happy;9.0;sad_111.1.wmv;sad;7.0;incongruent;120.0;160.0;182.0123397825363;;;;;0;31;31;31;;;;;;;500.58127179997973;None;502.3060857998207;502.62280739983544;503.74793129996397;503.7645188998431;505.75616059987806;None;7;0;0.7402674001641572;505.75616059987806;None;;;;;;;;3;;;;;;507.30605959985405;None;None;None;[];507.30605959985405;None;"['7', '7']";507.30605959985405;None;"[0.4463905000593513, 1.4463537000119686]";;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_1.1ns.avi;happy;9.0;congruent;140.0;150.0;145.41905773865074;;;;;0;32;32;32;;;;;;;510.31429959996603;None;511.7807461998891;512.0975663999561;513.2476233998314;513.2642575998325;527.7139563998207;None;None;0;;527.7139563998207;None;;;;;;;;6;;;;;;529.263624999905;None;None;None;[];529.263624999905;None;['9'];529.263624999905;None;[0.6649460999760777];;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_131.2.wmv;happy;9.0;incongruent;130.0;150.0;163.9874412082805;;;;;0;33;33;33;;;;;;;532.2638301998377;None;533.8385056999978;534.1553815000225;535.2968019999098;535.3134113999549;537.2886667998973;None;9;0;0.7597757000476122;537.2886667998973;None;;;;;;;;6;;;;;;538.8385203999933;None;None;None;[];538.8385203999933;None;['9'];538.8385203999933;None;[0.48177749989554286];;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_27.1ns.avi;happy;9.0;congruent;140.0;150.0;207.9053492649655;;;;;0;34;34;34;;;;;;;541.8469092999585;None;543.7716008999851;544.0885746998247;545.2717388998717;545.2883460999001;547.713295100024;None;9;0;0.4552496001124382;547.713295100024;None;;;;;;;;7;;;;;;549.2882226998918;None;None;None;[];549.2882226998918;None;"['9', '9']";549.2882226998918;None;"[0.39223790005780756, 1.280249899951741]";;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;218.0520785974414;;;;;0;35;35;35;;;;;;;552.2965897999238;None;554.3129137000069;554.6296594999731;555.7547251000069;555.7713428998832;557.771306199953;None;9;0;0.5893188999034464;557.771306199953;None;;;;;;;;6;;;;;;559.3212798999157;None;None;None;[];559.3212798999157;None;['9'];559.3212798999157;None;[0.29517469997517765];;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
2.0;f;012_o_f_h_a.jpg;happy;9.0;sad_113.1.wmv;sad;7.0;incongruent;120.0;160.0;192.53137802384992;;;;;0;36;36;36;;;;;;;562.3295628998894;None;564.1293202999514;564.4461033998523;565.5712148998864;565.5877676999662;567.5794309999328;None;7;0;0.4049927999731153;567.5794309999328;None;;;;;;;;3;;;;;;569.1293507998344;None;None;None;[];569.1293507998344;None;"['7', '7']";569.1293507998344;None;"[0.3511705999262631, 1.2711929997894913]";;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;140.0;150.0;159.76384515822056;;;;;0;37;37;37;;;;;;;572.1292879998218;None;573.6623986000195;573.9790945998393;575.1039146999829;575.1206108999904;579.6874728999101;None;9;0;0.7451536001171917;579.6874728999101;None;;;;;;;;8;;;;;;581.2373251998797;None;None;None;[];581.2373251998797;None;"['9', '9', '9']";581.2373251998797;None;"[0.3231609999202192, 0.7951946000102907, 1.9152395999990404]";;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_64.3ns.avi;sad;7.0;congruent;130.0;160.0;172.91738127163183;;;;;0;38;38;38;;;;;;;584.2374646998942;None;585.8871939999517;586.2037678000052;587.387067399919;587.4038283999544;592.3371356998105;None;7;0;1.3915188999380916;592.3371356998105;None;;;;;;;;2;;;;;;593.8869896000251;None;None;None;[];593.8869896000251;None;"['7', '7', '7']";593.8869896000251;None;"[0.4574710000306368, 0.8175162998959422, 1.1296155999880284]";;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
6.0;m;016_y_m_h_a.jpg;happy;9.0;sad_114.1.wmv;sad;7.0;incongruent;120.0;160.0;196.03539454983184;;;;;0;39;39;39;;;;;;;596.8870438998565;None;598.7367230998352;599.0534353000112;600.2200072999112;600.236593300011;602.1867115998175;None;7;0;0.509826899971813;602.1867115998175;None;;;;;;;;1;;;;;;603.7366894998122;None;None;None;[];603.7366894998122;None;"['7', '7', '7', '7', '7', '7']";603.7366894998122;None;"[0.5438427999615669, 0.8400350001174957, 1.1039551000576466, 1.3439593000803143, 1.6477268000598997, 2.2638563001528382]";;;S10795;2021_Aug_03_1734;VideoMask;2021.1.2;119.9565757799277;
