primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;key_resp.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
6.0;m;016_y_m_s_a.jpg;sad;7.0;sad_8.3ns.avi;sad;7.0;congruent;130.0;160.0;152.85371098242734;s_s;;;;;0;26;26;26;;;;;;;359.89505200006533;None;361.41144509997685;361.72802420007065;362.87785080005415;362.8945321000647;370.61947470007;None;None;0;370.61947470007;None;;;;;;;;3;;;;;;;372.1693918000674;None;None;None;[];372.1693918000674;None;"['7', '7', '7']";"[0.3867413999978453, 0.7786818000022322, 1.1545637999661267]";372.1693918000674;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
6.0;m;016_y_m_h_a.jpg;happy;9.0;sad_114.1.wmv;sad;7.0;incongruent;120.0;160.0;136.20550699298644;h_s;;;;;0;27;27;27;;;;;;;375.17765850003343;None;376.52754879998975;376.8441900999751;377.96932270005345;377.9866502999794;379.97751630004495;None;None;0;379.97751630004495;None;;;;;;;;2;;;;;;;381.527297200053;None;None;None;[];381.527297200053;None;"['7', '7', '7', '7', '7', '7']";"[0.2608449999243021, 0.5565901999361813, 0.8606704999692738, 1.0686720999656245, 1.3167413999326527, 1.7488378999987617]";381.527297200053;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;215.61964028550614;s_h;;;;;0;28;28;28;;;;;;;384.5274107999867;None;386.5438462999882;386.86063070001546;387.9856612000149;388.0022599999793;389.99393710005097;None;9;0;389.99393710005097;None;;;;;;;;8;;;;;;;391.5438005999895;None;None;None;[];391.5438005999895;None;"['9', '9', '9']";"[0.788230000063777, 1.1321869000094011, 2.5164870000444353]";391.5438005999895;None;0.5300267999991775;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
6.0;m;016_y_m_h_a.jpg;happy;9.0;happy_9.2ns.avi;happy;9.0;congruent;120.0;150.0;130.52042428082717;h_h;;;;;0;29;29;29;;;;;;;394.543761500041;None;395.87704100005794;396.1935688999947;397.3602347000269;397.3769585000118;403.2519757000264;None;None;0;403.2519757000264;None;;;;;;;;6;;;;;;;404.8018006000202;None;None;None;[];404.8018006000202;None;['9'];[0.8983734999783337];404.8018006000202;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
0.0;f;040_y_f_s_a.jpg;sad;7.0;happy_127.3.wmv;happy;9.0;incongruent;130.0;150.0;131.7195455720239;s_h;;;;;0;30;30;30;;;;;;;407.8016803000355;None;409.1181804999942;409.43479179998394;410.55997750000097;410.57655470003374;412.6515669999644;None;None;0;412.6515669999644;None;;;;;;;;7;;;;;;;414.20130209997296;None;None;None;[];414.20130209997296;None;"['9', '9']";"[0.29881900001782924, 0.7306401000823826]";414.20130209997296;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
0.0;f;030_o_f_s_a.jpg;sad;7.0;happy_125.3.wmv;happy;9.0;incongruent;130.0;150.0;220.51454909128134;s_h;;;;;0;31;31;31;;;;;;;417.2013701000251;None;419.25951900007203;419.57618029997684;420.71857580007054;420.7510109000141;422.7095101000741;None;9;0;422.7095101000741;None;;;;;;;;7;;;;;;;424.2511474000057;None;None;None;[];424.2511474000057;None;"['9', '9', '9']";"[0.5689240000210702, 0.9688457000302151, 1.464964000042528]";424.2511474000057;None;0.43080339999869466;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_64.3ns.avi;sad;7.0;congruent;130.0;160.0;165.78667874766072;s_s;;;;;0;32;32;32;;;;;;;427.25106530007906;None;428.8593540000729;429.1759387999773;430.3257982999785;430.3425883000018;435.3092557999771;None;None;0;435.3092557999771;None;;;;;;;;3;;;;;;;436.85889879998285;None;None;None;[];436.85889879998285;None;"['7', '7', '7']";"[0.5852065000217408, 1.0092595000751317, 1.745215000002645]";436.85889879998285;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
3.0;m;013_y_m_s_a.jpg;sad;7.0;sad_7.7ns.avi;sad;7.0;congruent;130.0;160.0;196.24182255763262;s_s;;;;;0;33;33;33;;;;;;;439.8674969000276;None;441.7504698999692;442.06716340000276;443.25868690002244;443.27545060007833;449.20036740007345;None;None;0;449.20036740007345;None;;;;;;;;1;;;;;;;450.75031550007407;None;None;None;[];450.75031550007407;None;"['7', '7', '7', '7', '7', '7', '7', '7', '7']";"[0.701832800055854, 0.9738305000355467, 1.2456425999989733, 1.4696180000901222, 1.6697431000648066, 1.877773700049147, 2.1176657000323758, 2.485607600072399, 2.9338728000875562]";450.75031550007407;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
3.0;m;013_y_m_h_a.jpg;happy;9.0;happy_9.1ns.avi;happy;9.0;congruent;120.0;150.0;165.1890303600433;h_h;;;;;0;34;34;34;;;;;;;453.75021199998446;None;455.35854869999457;455.6750785000622;456.80843890004326;456.82515569997486;460.0331085000653;None;None;0;460.0331085000653;None;;;;;;;;7;;;;;;;461.58312219998334;None;None;None;[];461.58312219998334;None;"['9', '9']";"[0.48491500003729016, 0.9489959999918938]";461.58312219998334;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
4.0;m;004_o_m_h_a.jpg;happy;9.0;sad_95.1ns.avi;sad;7.0;incongruent;120.0;160.0;152.68270002069931;h_s;;;;;0;35;35;35;;;;;;;464.59167930006515;None;466.13312680006493;466.4497386000585;467.58298920001835;467.60004879999906;476.37452920002397;None;None;0;476.37452920002397;None;;;;;;;;1;;;;;;;477.9826423000777;None;None;None;[];477.9826423000777;None;"['7', '7', '7', '7']";"[0.6455966000212356, 1.2134334000293165, 1.9333951000589877, 2.2614387000212446]";477.9826423000777;None;;;;S11829;2022_Oct_28_1613;VideoMask;2021.1.2;119.94952524642753;
