primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
3.0;m;013_y_m_h_a.jpg;happy;9.0;happy_9.1ns.avi;happy;9.0;congruent;120.0;150.0;165.1890303600433;h_h;;;;;0;34;34;34;;;;;;;595.6295284000225;None;597.2124756000703;597.5293103000149;598.6709431000054;598.6876575000351;601.8875347001012;None;9;0;0.6601962000131607;601.8875347001012;None;;;;;;;;7;;;;;;;603.5208242000081;None;None;None;[];603.5208242000081;None;"['9', '9']";603.5208242000081;None;"[0.3150482999626547, 0.5706188000040129]";;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
4.0;m;004_o_m_h_a.jpg;happy;9.0;sad_95.1ns.avi;sad;7.0;incongruent;120.0;160.0;152.68270002069931;h_s;;;;;0;35;35;35;;;;;;;606.5209049000405;None;608.0290683000349;608.3456264000852;609.545579800033;609.562691600062;618.2705250000581;None;7;0;0.653087200014852;618.2705250000581;None;;;;;;;;2;;;;;;;619.8286568000913;None;None;None;[];619.8286568000913;None;"['7', '7', '7', '7']";619.8286568000913;None;"[0.3432042000349611, 0.63117109995801, 1.7029053999576718, 2.439044400001876]";;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
3.0;m;013_y_m_h_a.jpg;happy;9.0;sad_113.2.wmv;sad;7.0;incongruent;120.0;160.0;217.4973891947951;h_s;;;;;0;36;36;36;;;;;;;622.8371099000797;None;624.8701408000197;625.1867498001084;626.3119182001101;626.3284024000168;628.3200907000573;None;7;0;1.2435343000106514;628.3200907000573;None;;;;;;;;4;;;;;;;629.8784198000794;None;None;None;[];629.8784198000794;None;['7'];629.8784198000794;None;[0.5412427999544889];;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_25.1ns.avi;happy;9.0;congruent;120.0;150.0;216.63044503818386;h_h;;;;;0;37;37;37;;;;;;;632.8783759000944;None;634.8781218000222;635.1946819000877;636.4530368000269;636.4697356000543;640.0198066000594;None;9;0;0.5995977999409661;640.0198066000594;None;;;;;;;;6;;;;;;;641.5696871000109;None;None;None;[];641.5696871000109;None;['9'];641.5696871000109;None;[0.3538920999271795];;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_131.2.wmv;happy;9.0;incongruent;130.0;150.0;181.38407540847405;s_h;;;;;0;38;38;38;;;;;;;644.5782912001014;None;646.3027766000014;646.6193688000785;647.7527963001048;647.7695009000599;649.7529115000507;None;9;0;0.6026316999923438;649.7529115000507;None;;;;;;;;6;;;;;;;651.3360720000928;None;None;None;[];651.3360720000928;None;['9'];651.3360720000928;None;[0.30760079994797707];;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
0.0;f;040_y_f_h_a.jpg;happy;9.0;happy_24.3ns.avi;happy;9.0;congruent;120.0;150.0;213.25460698950434;h_h;;;;;0;39;39;39;;;;;;;654.3359758000588;None;656.3024271000177;656.6191780000227;657.7858084000181;657.8027552000713;659.6775058000349;None;9;0;0.6782064000144601;659.6775058000349;None;;;;;;;;6;;;;;;;661.2274340000004;None;None;None;[];661.2274340000004;None;['9'];661.2274340000004;None;[0.4882443000096828];;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_139.1.wmv;happy;9.0;incongruent;130.0;150.0;162.31500468041804;s_h;;;;;0;40;40;40;;;;;;;664.2273503000615;None;665.7770912999986;666.0938698000973;667.2276154001011;667.2437386000529;669.2271519000642;None;9;0;0.6245104999979958;669.2271519000642;None;;;;;;;;7;;;;;;;670.7688011000864;None;None;None;[];670.7688011000864;None;"['9', '9']";670.7688011000864;None;"[0.22706900001503527, 0.5067245999816805]";;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
0.0;f;030_o_f_h_a.jpg;happy;9.0;happy_24.1ns.avi;happy;9.0;congruent;120.0;150.0;168.36256624020774;h_h;;;;;0;41;41;41;;;;;;;673.7687163000228;None;675.376891400083;675.693665000028;676.8936509001069;676.9103344000177;680.1519095000112;None;9;0;0.7476126999827102;680.1519095000112;None;;;;;;;;7;;;;;;;681.7018287000246;None;None;None;[];681.7018287000246;None;"['9', '9']";681.7018287000246;None;"[0.2458922000369057, 0.5097407000139356]";;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
2.0;f;012_o_f_h_a.jpg;happy;9.0;sad_113.1.wmv;sad;7.0;incongruent;120.0;160.0;177.44551734737394;h_s;;;;;0;42;42;42;;;;;;;684.701836100081;None;686.3765671000583;686.6932805000106;687.8266281000106;687.8431085000047;689.8266020000447;None;7;0;0.5610626999987289;689.8266020000447;None;;;;;;;;5;;;;;;;691.3765005000168;None;None;None;[];691.3765005000168;None;None;691.3765005000168;None;;;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_64.5ns.avi;sad;7.0;congruent;130.0;160.0;130.55717223801247;s_s;;;;;0;43;43;43;;;;;;;694.4014817000134;None;695.7013076000148;696.0179636999965;697.1680871000281;697.1847043000162;703.7345162000274;None;7;0;0.7731496000196785;703.7345162000274;None;;;;;;;;3;;;;;;;705.2844297999982;None;None;None;[];705.2844297999982;None;"['7', '7', '7']";705.2844297999982;None;"[0.719284399994649, 1.2634843999985605, 2.2711662999354303]";;;S11393;2022_Apr_25_1419;VideoMask;2021.1.2;119.67391260341266;
