primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;364.4571486997884;None;365.94853219995275;366.2652280998882;367.40660719992593;367.423579499824;370.02363909990527;None;7;0;0.5482509001158178;370.02363909990527;None;;;;;;;;4;;;;;;371.715110699879;None;None;None;[];371.715110699879;None;['7'];[1.216820899862796];371.715110699879;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;158.9411396037211;s_s;;;;;0;14;14;14;;;;;;;374.7234124999959;None;376.26481659989804;376.58156309998594;377.74832579982467;377.76496379985474;385.1397269999143;None;7;0;0.5681861999910325;385.1397269999143;None;;;;;;;;4;;;;;;386.68969379994087;None;None;None;[];386.68969379994087;None;['7'];[0.5143466000445187];386.68969379994087;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;180.59976631384873;h_s;;;;;0;15;15;15;;;;;;;389.69807299994864;None;391.4060670998879;391.7228776998818;392.8478985999245;392.86448209988885;394.85607579979114;None;None;0;;394.85607579979114;None;;;;;;;;5;;;;;;396.405868700007;None;None;None;[];396.405868700007;None;None;;396.405868700007;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_133.3.wmv;happy;9.0;incongruent;130.0;150.0;152.577966552593;s_h;;;;;0;16;16;16;;;;;;;399.4309666999616;None;400.9140875998419;401.2308008999098;402.3641011000145;402.3812020998448;404.3726123999804;None;9;0;1.175078900065273;404.3726123999804;None;;;;;;;;5;;;;;;405.9307236999739;None;None;None;[];405.9307236999739;None;None;;405.9307236999739;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_128.1.wmv;sad;7.0;incongruent;120.0;160.0;171.0492454518585;h_s;;;;;0;17;17;17;;;;;;;408.9554821997881;None;410.5971438998822;410.9138215999119;412.0471313998569;412.0637355998624;414.0471679000184;None;8;0;0.7887699999846518;414.0471679000184;None;;;;;;;;5;;;;;;415.58872130000964;None;None;None;[];415.58872130000964;None;None;;415.58872130000964;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
1.0;f;021_o_f_h_a.jpg;happy;9.0;sad_116.1.wmv;sad;7.0;incongruent;120.0;160.0;184.06847610053055;h_s;;;;;0;18;18;18;;;;;;;418.60515959979966;None;420.3551685998682;420.67190149985254;421.8056270999368;421.8305889000185;423.80517319985665;None;7;0;0.6547421000432223;423.80517319985665;None;;;;;;;;5;;;;;;425.3550541999284;None;None;None;[];425.3550541999284;None;None;;425.3550541999284;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;157.40741103039684;s_h;;;;;0;19;19;19;;;;;;;428.38004560000263;None;429.8881877998356;430.20490749995224;431.41304549993947;431.42991809989326;435.72990899998695;None;8;0;0.3859854000620544;435.72990899998695;None;;;;;;;;6;;;;;;437.27974509983324;None;None;None;[];437.27974509983324;None;['9'];[0.3321691998280585];437.27974509983324;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
8.0;f;028_y_f_s_a.jpg;sad;7.0;happy_122.3.wmv;happy;9.0;incongruent;130.0;150.0;171.8670540936116;s_h;;;;;0;20;20;20;;;;;;;440.2797524998896;None;441.9211698998697;442.2378934000153;443.37183919991367;443.39629870001227;445.3711496000178;None;8;0;0.6167376998346299;445.3711496000178;None;;;;;;;;5;;;;;;446.9211152999196;None;None;None;[];446.9211152999196;None;None;;446.9211152999196;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
8.0;m;008_y_m_s_a.jpg;sad;7.0;sad_6.5ns.avi;sad;7.0;congruent;130.0;160.0;170.39333839271438;s_s;;;;;0;21;21;21;;;;;;;449.9459740999155;None;451.57913489989005;451.89585369988345;453.0798896998167;453.12087779981084;458.03741170000285;None;7;0;0.5664772000163794;458.03741170000285;None;;;;;;;;4;;;;;;459.98735949979164;None;None;None;[];459.98735949979164;None;['7'];[0.8164836999494582];459.98735949979164;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;120.0;150.0;225.70986890587952;h_h;;;;;0;22;22;22;;;;;;;462.98741179984063;None;465.0621418999508;465.3786896998063;466.5202530999668;466.537125099916;471.0870895998087;None;8;0;0.7247193998191506;471.0870895998087;None;;;;;;;;6;;;;;;472.63696899986826;None;None;None;[];472.63696899986826;None;['9'];[0.4788186999503523];472.63696899986826;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
8.0;m;008_y_m_h_a.jpg;happy;9.0;sad_111.1.wmv;sad;7.0;incongruent;120.0;160.0;152.63076835312847;h_s;;;;;0;23;23;23;;;;;;;475.6452838999685;None;477.12006290000863;477.43675419990905;478.57823999994434;478.59506959980354;480.5700014999602;None;7;0;0.4098382000811398;480.5700014999602;None;;;;;;;;4;;;;;;482.11999919987284;None;None;None;[];482.11999919987284;None;['7'];[0.6518034001346678];482.11999919987284;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_67.2ns.avi;sad;7.0;congruent;130.0;160.0;220.9892697323079;s_s;;;;;0;24;24;24;;;;;;;485.1283817999065;None;487.186358399922;487.50307089998387;488.7032002999913;488.71988249989226;497.86122839991003;None;8;0;0.5986239998601377;497.86122839991003;None;;;;;;;;5;;;;;;499.41112189996056;None;None;None;[];499.41112189996056;None;None;;499.41112189996056;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_29.1ns.avi;happy;9.0;incongruent;130.0;150.0;120.0316142834122;s_h;;;;;0;25;25;25;;;;;;;502.42759939981624;None;503.62755809980445;503.94424219988286;505.0860220999457;505.1026563998312;507.7693247999996;None;8;0;0.5385318000335246;507.7693247999996;None;;;;;;;;6;;;;;;509.32750259991735;None;None;None;[];509.32750259991735;None;['9'];[0.30829739989712834];509.32750259991735;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
6.0;m;016_y_m_s_a.jpg;sad;7.0;sad_8.3ns.avi;sad;7.0;congruent;130.0;160.0;152.85371098242734;s_s;;;;;0;26;26;26;;;;;;;512.327509699855;None;513.8190595998894;514.1357408999465;515.2937434997875;515.3104308999609;523.0271875998005;None;7;0;0.6807101999875158;523.0271875998005;None;;;;;;;;4;;;;;;524.576992199989;None;None;None;[];524.576992199989;None;['7'];[0.9947152999229729];524.576992199989;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
6.0;m;016_y_m_h_a.jpg;happy;9.0;sad_114.1.wmv;sad;7.0;incongruent;120.0;160.0;136.20550699298644;h_s;;;;;0;27;27;27;;;;;;;527.5770183999557;None;528.926731399959;529.24349969998;530.376862199977;530.3934665999841;532.3766913998406;None;7;0;0.5472205001860857;532.3766913998406;None;;;;;;;;2;;;;;;533.9183775999118;None;None;None;[];533.9183775999118;None;"['7', '7', '7']";"[0.42943169991485775, 0.741288400022313, 1.117434199899435]";533.9183775999118;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
7.0;m;027_o_m_s_a.jpg;sad;7.0;happy_117.3.wmv;happy;9.0;incongruent;130.0;150.0;215.61964028550614;s_h;;;;;0;28;28;28;;;;;;;536.9267773998436;None;538.9347893998493;539.2605546999257;540.4099407999311;540.4264308998827;542.3848285998683;None;8;0;0.8429711998905987;542.3848285998683;None;;;;;;;;6;;;;;;543.9347156998701;None;None;None;[];543.9347156998701;None;['9'];[0.3811359000392258];543.9347156998701;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
6.0;m;016_y_m_h_a.jpg;happy;9.0;happy_9.2ns.avi;happy;9.0;congruent;120.0;150.0;130.52042428082717;h_h;;;;;0;29;29;29;;;;;;;546.9431370999664;None;548.2344175998587;548.5512212999165;549.7096043999773;549.7261386997998;555.6094074000139;None;8;0;0.9147209001239389;555.6094074000139;None;;;;;;;;5;;;;;;557.159308000002;None;None;None;[];557.159308000002;None;['9'];[0.4524887998122722];557.159308000002;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
0.0;f;040_y_f_s_a.jpg;sad;7.0;happy_127.3.wmv;happy;9.0;incongruent;130.0;150.0;131.7195455720239;s_h;;;;;0;30;30;30;;;;;;;560.1598135998938;None;561.4590278998949;561.7757443999872;562.900898899883;562.9174793998245;564.9757712997962;None;8;0;1.1001700998749584;564.9757712997962;None;;;;;;;;5;;;;;;566.8673529999796;None;None;None;[];566.8673529999796;None;None;;566.8673529999796;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
0.0;f;030_o_f_s_a.jpg;sad;7.0;happy_125.3.wmv;happy;9.0;incongruent;130.0;150.0;220.51454909128134;s_h;;;;;0;31;31;31;;;;;;;569.8923237000126;None;571.942083099857;572.2588609999511;573.392113099806;573.4088280999567;575.392072699964;None;9;0;0.35565329995006323;575.392072699964;None;;;;;;;;9;;;;;;576.9420068999752;None;None;None;[];576.9420068999752;None;"['9', '9', '9', '9']";"[0.477942300029099, 0.7577588001731783, 0.9817069000564516, 1.2216038000769913]";576.9420068999752;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_64.3ns.avi;sad;7.0;congruent;130.0;160.0;165.78667874766072;s_s;;;;;0;32;32;32;;;;;;;579.9504384999163;None;581.5418159998953;581.8585731999483;583.0668134998996;583.0837506998796;587.9916784998495;None;8;0;0.6281077999155968;587.9916784998495;None;;;;;;;;4;;;;;;589.5416248999536;None;None;None;[];589.5416248999536;None;['7'];[0.43823510012589395];589.5416248999536;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
3.0;m;013_y_m_s_a.jpg;sad;7.0;sad_7.7ns.avi;sad;7.0;congruent;130.0;160.0;196.24182255763262;s_s;;;;;0;33;33;33;;;;;;;592.5416538999416;None;594.3830255998764;594.6997599999886;595.8495117998682;595.8665928998962;601.8328541999217;None;8;0;0.9709754998330027;601.8328541999217;None;;;;;;;;2;;;;;;603.3826687999535;None;None;None;[];603.3826687999535;None;"['7', '7', '7']";"[0.43707099999301136, 0.7891303000506014, 1.349180500023067]";603.3826687999535;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
3.0;m;013_y_m_h_a.jpg;happy;9.0;happy_9.1ns.avi;happy;9.0;congruent;120.0;150.0;165.1890303600433;h_h;;;;;0;34;34;34;;;;;;;606.3827851999085;None;607.9659398999065;608.2826753999107;609.4243764998391;609.4410017000046;612.640823799884;None;8;0;0.8670474998652935;612.640823799884;None;;;;;;;;6;;;;;;614.1908411998302;None;None;None;[];614.1908411998302;None;['9'];[0.3488888998981565];614.1908411998302;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
4.0;m;004_o_m_h_a.jpg;happy;9.0;sad_95.1ns.avi;sad;7.0;incongruent;120.0;160.0;152.68270002069931;h_s;;;;;0;35;35;35;;;;;;;617.1909673998598;None;618.6905433998909;619.0072903998662;620.173984499881;620.190688499948;628.9321837997995;None;7;0;0.40766240004450083;628.9321837997995;None;;;;;;;;1;;;;;;630.490302799968;None;None;None;[];630.490302799968;None;"['7', '7', '7', '7']";"[0.29737960011698306, 0.6813088001217693, 1.017350200098008, 1.8654770001303405]";630.490302799968;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
3.0;m;013_y_m_h_a.jpg;happy;9.0;sad_113.2.wmv;sad;7.0;incongruent;120.0;160.0;217.4973891947951;h_s;;;;;0;36;36;36;;;;;;;633.4903291999362;None;635.523425599793;635.8401316998061;636.9732839998323;636.9904465998989;638.9902806999162;None;7;0;1.4055641000159085;638.9902806999162;None;;;;;;;;4;;;;;;640.5566525999457;None;None;None;[];640.5566525999457;None;['7'];[0.7834085000213236];640.5566525999457;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
4.0;m;004_o_m_h_a.jpg;happy;9.0;happy_25.1ns.avi;happy;9.0;congruent;120.0;150.0;216.63044503818386;h_h;;;;;0;37;37;37;;;;;;;643.5650766999461;None;645.5647275999654;645.8814756998327;647.139821899822;647.156420199899;650.706604299834;None;9;0;0.36126130004413426;650.706604299834;None;;;;;;;;8;;;;;;652.3062196997926;None;None;None;[];652.3062196997926;None;"['9', '9', '9']";"[0.2734844000078738, 0.6094368998892605, 0.9216200998052955]";652.3062196997926;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_131.2.wmv;happy;9.0;incongruent;130.0;150.0;181.38407540847405;s_h;;;;;0;38;38;38;;;;;;;655.3063272999134;None;657.0226894998923;657.3394684998784;658.4895573998801;658.5060181999579;660.4727516998537;None;9;0;0.7710065999999642;660.4727516998537;None;;;;;;;;8;;;;;;662.6226254999638;None;None;None;[];662.6226254999638;None;"['9', '9', '9']";"[0.33297690004110336, 0.837057099910453, 1.2055017999373376]";662.6226254999638;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
0.0;f;040_y_f_h_a.jpg;happy;9.0;happy_24.3ns.avi;happy;9.0;congruent;120.0;150.0;213.25460698950434;h_h;;;;;0;39;39;39;;;;;;;665.6226099999622;None;667.5974107999355;667.9140835998114;669.0641543997917;669.0808516999241;670.9724564999342;None;9;0;1.0793490000069141;670.9724564999342;None;;;;;;;;6;;;;;;672.522304699989;None;None;None;[];672.522304699989;None;"['9', '9']";"[1.193548700073734, 1.7056395001709461]";672.522304699989;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_139.1.wmv;happy;9.0;incongruent;130.0;150.0;162.31500468041804;s_h;;;;;0;40;40;40;;;;;;;675.5306617999449;None;677.0887902998365;677.405556099955;678.5388416999485;678.5555131998844;680.5387549998704;None;9;0;1.448964700102806;680.5387549998704;None;;;;;;;;6;;;;;;682.0885009998456;None;None;None;[];682.0885009998456;None;['9'];[0.49927370017394423];682.0885009998456;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
0.0;f;030_o_f_h_a.jpg;happy;9.0;happy_24.1ns.avi;happy;9.0;congruent;120.0;150.0;168.36256624020774;h_h;;;;;0;41;41;41;;;;;;;685.097122799838;None;686.6967831999063;687.0135405999608;688.1552509998437;688.171926099807;691.471754899947;None;9;0;1.356138200033456;691.471754899947;None;;;;;;;;5;;;;;;693.0216959998943;None;None;None;[];693.0216959998943;None;None;;693.0216959998943;None;;;S11309;2022_Mar_22_2058;VideoMask;2021.1.2;120.00062406387624;
