primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.started;slider_resp_study.stopped;slider_resp_study.rt;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_136.1.wmv;sad;7.0;incongruent;120.0;160.0;176.97002883463455;h_s;;;;;0;46;46;46;;;;;;;609.1622996000006;None;610.8374056000002;611.1538306000002;612.2790906999999;612.2955622999998;614.2871127999997;None;None;0;;614.2871127999997;None;;;;;;;;5;;;;;;615.8370904000003;None;None;None;[];615.8370904000003;None;None;615.8370904000003;None;;;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
9.0;f;019_m_f_h_a.jpg;happy;9.0;happy_10.1ns.avi;happy;9.0;congruent;120.0;150.0;157.2463435658512;h_h;;;;;0;47;47;47;;;;;;;618.8535388999999;None;620.4035427999997;620.7202234000006;621.8453080999998;621.8620491000001;629.3032640000001;None;9;0;0.3885324999992008;629.3032640000001;None;;;;;;;;7;;;;;;630.8448358000005;None;None;None;[];630.8448358000005;None;"['9', '9']";630.8448358000005;None;"[0.24693440000010014, 0.8713059000001522]";;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_2.2ns.avi;happy;9.0;congruent;120.0;150.0;206.34800317295262;h_h;;;;;0;48;48;48;;;;;;;633.8448128;None;635.8113449000002;636.1279906;637.2532638000002;637.2699160000002;649.4692850000001;None;9;0;0.2709384999998292;649.4692850000001;None;;;;;;;;7;;;;;;651.0191771999998;None;None;None;[];651.0191771999998;None;"['9', '9']";651.0191771999998;None;"[0.26519530000041414, 0.6889387000001079]";;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
3.0;m;033_o_m_h_a.jpg;happy;9.0;happy_24.2ns.avi;happy;9.0;congruent;120.0;150.0;167.9423847659953;h_h;;;;;0;49;49;49;;;;;;;654.0191744000003;None;655.6356966000003;655.9524214000003;657.0775714000001;657.0940749000001;660.8105529000004;None;9;0;0.4736315999998624;660.8105529000004;None;;;;;;;;5;;;;;;662.3604950999998;None;None;None;[];662.3604950999998;None;None;662.3604950999998;None;;;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
1.0;f;021_o_f_s_a.jpg;sad;7.0;happy_61.2ns.avi;happy;9.0;incongruent;130.0;150.0;210.94664004826666;s_h;;;;;0;50;50;50;;;;;;;665.3770141000005;None;667.3519845000001;667.6686454000001;668.7936673000004;668.8102260000005;673.3268407000005;None;9;0;0.38111879999996745;673.3268407000005;None;;;;;;;;7;;;;;;674.8767325999997;None;None;None;[];674.8767325999997;None;"['9', '9']";674.8767325999997;None;"[0.22306810000009136, 0.5914446000006137]";;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
4.0;m;004_o_m_s_a.jpg;sad;7.0;sad_2.4ns.avi;sad;7.0;congruent;130.0;160.0;153.02079367163634;s_s;;;;;0;51;51;51;;;;;;;677.876636;None;679.3848730999998;679.7015690999997;680.8267986999999;680.8434582999998;688.8014076999998;None;7;0;0.3224889000002804;688.8014076999998;None;;;;;;;;3;;;;;;690.3513385000006;None;None;None;[];690.3513385000006;None;"['7', '7', '9']";690.3513385000006;None;"[0.3008474999996906, 0.7244476999994731, 1.8687472000001435]";;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
8.0;m;008_y_m_h_a.jpg;happy;9.0;happy_1.2ns.avi;happy;9.0;congruent;120.0;150.0;210.98946429383824;h_h;;;;;0;52;52;52;;;;;;;693.3511882000003;None;695.3763316000004;695.6927579000003;696.8180179999999;696.8343999999997;709.6173273000004;None;9;0;0.3385410000000775;709.6173273000004;None;;;;;;;;7;;;;;;711.1673117999999;None;None;None;[];711.1673117999999;None;"['9', '9', '9']";711.1673117999999;None;"[0.2606525999999576, 0.7485026999993352, 2.3324269999993703]";;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_52.2ns.avi;happy;9.0;incongruent;130.0;150.0;172.57202848318138;s_h;;;;;0;53;53;53;;;;;;;714.1671766;None;715.8170356999999;716.1338027000002;717.2589588999999;717.2754630999998;720.8170289999998;None;None;0;;720.8170289999998;None;;;;;;;;8;;;;;;722.3670934000002;None;None;None;[];722.3670934000002;None;"['9', '9', '9', '9', '9', '9', '9']";722.3670934000002;None;"[0.27697560000069643, 0.6687087000000247, 1.0770019999999931, 1.5007340000001932, 1.8927833000007013, 2.292855600000621, 2.9329733000004126]";;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
9.0;f;019_m_f_s_a.jpg;sad;7.0;happy_61.1ns.avi;happy;9.0;incongruent;130.0;150.0;181.3003220572762;s_h;;;;;0;54;54;54;;;;;;;725.3668017;None;727.1500711999997;727.4666280000001;728.5917145000003;728.6083772000002;735.9914407000006;None;9;0;0.32454580000012356;735.9914407000006;None;;;;;;;;7;;;;;;737.5413545000001;None;None;None;[];737.5413545000001;None;"['9', '9']";737.5413545000001;None;"[0.2626166000000012, 0.6064703000001828]";;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_133.1.wmv;sad;7.0;incongruent;120.0;160.0;198.86251500867985;h_s;;;;;0;55;55;55;;;;;;;740.5413128999999;None;742.4078982000001;742.7245849000001;743.8497797;743.8662560000002;745.8578568000003;None;7;0;0.426189499999964;745.8578568000003;None;;;;;;;;3;;;;;;747.4078268000003;None;None;None;[];747.4078268000003;None;"['7', '7']";747.4078268000003;None;"[0.28426170000057027, 0.6363037999999506]";;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
0.0;f;040_y_f_h_a.jpg;happy;9.0;sad_128.2.wmv;sad;7.0;incongruent;120.0;160.0;206.10005857915363;h_s;;;;;0;56;56;56;;;;;;;750.4076413000003;None;752.3409343000003;752.6575094999998;753.7827629000003;753.7992789999998;755.7908190999997;None;7;0;0.525019899999279;755.7908190999997;None;;;;;;;;4;;;;;;757.3407601999997;None;None;None;[];757.3407601999997;None;['7'];757.3407601999997;None;[0.26306750000003376];;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
1.0;f;021_o_f_s_a.jpg;sad;7.0;sad_9.5ns.avi;sad;7.0;congruent;130.0;160.0;206.16642757875042;s_s;;;;;0;57;57;57;;;;;;;760.3406118000003;None;762.2656422999999;762.5823031999998;763.7072795000004;763.7239262000003;769.4403719000002;None;7;0;0.35564720000002126;769.4403719000002;None;;;;;;;;2;;;;;;770.9903272000001;None;None;None;[];770.9903272000001;None;"['7', '7', '7', '7', '7']";770.9903272000001;None;"[0.28537859999960347, 0.6616162999998778, 1.0613503999993554, 1.461452200000167, 2.173791899999742]";;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
1.0;f;021_o_f_h_a.jpg;happy;9.0;happy_12.1ns.avi;happy;9.0;congruent;120.0;150.0;132.59080005900228;h_h;;;;;0;58;58;58;;;;;;;773.9902257000003;None;775.3316955;775.6484983999999;776.7651390999999;776.7818729;784.3981731000003;None;9;0;0.3976823000002696;784.3981731000003;None;;;;;;;;7;;;;;;785.9482292000002;None;None;None;[];785.9482292000002;None;"['9', '9', '9', '9']";785.9482292000002;None;"[0.30360059999929945, 0.7198099999995975, 1.1354458999994677, 1.5678055999997014]";;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
3.0;m;013_y_m_s_a.jpg;sad;7.0;happy_56.2ns.avi;happy;9.0;incongruent;130.0;150.0;163.39234110935848;s_h;;;;;0;59;59;59;;;;;;;788.9480252000003;None;790.5229314999997;790.8397022999998;791.9647057000002;791.9813831000001;796.9978736000003;None;9;0;0.4141655000003084;796.9978736000003;None;;;;;;;;6;;;;;;798.5477853000002;None;None;None;[];798.5477853000002;None;['9'];798.5477853000002;None;[0.25589469999977155];;;S11898;2022_Dec_01_1751;VideoMask;2021.1.2;120.02064355025647;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;801.5476687999999;None;;;;;;
