primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;key_resp.rt;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;158.9411396037211;s_s;;;;;0;14;14;14;;;;;;;217.48470250000537;None;219.0593305000075;219.38453400001163;220.55104740000388;220.56773870000325;227.93413280000095;None;7;0;227.93413280000095;None;;;;;;;;5;;;;;;;0.5148973000032129;229.48416340000404;None;None;None;[];229.48416340000404;None;None;;229.48416340000404;None;;;S11944;2022_Dec_22_1629;VideoMask;2021.1.2;120.01949118104812;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;180.59976631384873;h_s;;;;;0;15;15;15;;;;;;;232.51738230000774;None;234.24221940001007;234.56736440000532;235.6923858000082;235.70889570000872;237.69221639999887;None;None;0;237.69221639999887;None;;;;;;;;6;;;;;;;;239.2332912999991;None;None;None;[];239.2332912999991;None;['9'];[2.79155229999742];239.2332912999991;None;;;S11944;2022_Dec_22_1629;VideoMask;2021.1.2;120.01949118104812;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_133.3.wmv;happy;9.0;incongruent;130.0;150.0;152.577966552593;s_h;;;;;0;16;16;16;;;;;;;242.2510062000074;None;243.75855490000686;244.08369970000058;245.2086691000004;245.22513250001066;247.20867950000684;None;9;0;247.20867950000684;None;;;;;;;;6;;;;;;;0.8323165000037989;248.75854010001058;None;None;None;[];248.75854010001058;None;['9'];[2.962527900002897];248.75854010001058;None;;;S11944;2022_Dec_22_1629;VideoMask;2021.1.2;120.01949118104812;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_128.1.wmv;sad;7.0;incongruent;120.0;160.0;171.0492454518585;h_s;;;;;0;17;17;17;;;;;;;251.77515230000427;None;253.43334380000306;253.75849750000634;254.90845190000255;254.92493300000206;256.8833489000099;None;7;0;256.8833489000099;None;;;;;;;;4;;;;;;;0.4937814000004437;258.4332296000066;None;None;None;[];258.4332296000066;None;['7'];[1.6238097000023117];258.4332296000066;None;;;S11944;2022_Dec_22_1629;VideoMask;2021.1.2;120.01949118104812;
1.0;f;021_o_f_h_a.jpg;happy;9.0;sad_116.1.wmv;sad;7.0;incongruent;120.0;160.0;184.06847610053055;h_s;;;;;0;18;18;18;;;;;;;261.441823000001;None;263.1913093000039;263.51641300000483;264.64973750000354;264.66639260000375;266.64136059999873;None;7;0;266.64136059999873;None;;;;;;;;5;;;;;;;0.6316252000106033;268.19133640000655;None;None;None;[];268.19133640000655;None;None;;268.19133640000655;None;;;S11944;2022_Dec_22_1629;VideoMask;2021.1.2;120.01949118104812;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;157.40741103039684;s_h;;;;;0;19;19;19;;;;;;;271.2161940000078;None;272.76604080000834;273.0912214000127;274.2327689000085;274.2494592000003;278.6076153000031;None;9;0;278.6076153000031;None;;;;;;;;9;;;;;;;0.5854678999894531;280.15755360000185;None;None;None;[];280.15755360000185;None;"['9', '9', '9', '9']";"[0.48366849999001715, 0.7313978999882238, 0.9474278999987291, 1.2836494999937713]";280.15755360000185;None;;;S11944;2022_Dec_22_1629;VideoMask;2021.1.2;120.01949118104812;
8.0;f;028_y_f_s_a.jpg;sad;7.0;happy_122.3.wmv;happy;9.0;incongruent;130.0;150.0;171.8670540936116;s_h;;;;;0;20;20;20;;;;;;;283.1662095000065;None;284.84079680001014;285.1658022000047;286.29906299999857;286.3157198000117;288.2906432000018;None;9;0;288.2906432000018;None;;;;;;;;3;;;;;;;0.3984284000034677;289.84060920000775;None;None;None;[];289.84060920000775;None;"['7', '7']";"[0.5285259999945993, 0.8084484999999404]";289.84060920000775;None;;;S11944;2022_Dec_22_1629;VideoMask;2021.1.2;120.01949118104812;
8.0;m;008_y_m_s_a.jpg;sad;7.0;sad_6.5ns.avi;sad;7.0;congruent;130.0;160.0;170.39333839271438;s_s;;;;;0;21;21;21;;;;;;;292.84078730001056;None;294.4819935000123;294.8071734000114;295.9819908000063;295.99871880000865;300.9319700000051;None;7;0;300.9319700000051;None;;;;;;;;4;;;;;;;0.7251057000103174;302.4819028000056;None;None;None;[];302.4819028000056;None;['7'];[0.5191668000043137];302.4819028000056;None;;;S11944;2022_Dec_22_1629;VideoMask;2021.1.2;120.01949118104812;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;120.0;150.0;225.70986890587952;h_h;;;;;0;22;22;22;;;;;;;305.49055880001106;None;307.5983632999996;307.9234035000118;309.08997670000826;309.106680900004;313.6232311000058;None;9;0;313.6232311000058;None;;;;;;;;9;;;;;;;0.6421220999909565;315.1730729000119;None;None;None;[];315.1730729000119;None;"['9', '9', '9', '9']";"[0.2599904999951832, 0.5159476999979233, 0.7158625999873038, 0.9078423999890219]";315.1730729000119;None;;;S11944;2022_Dec_22_1629;VideoMask;2021.1.2;120.01949118104812;
8.0;m;008_y_m_h_a.jpg;happy;9.0;sad_111.1.wmv;sad;7.0;incongruent;120.0;160.0;152.63076835312847;h_s;;;;;0;23;23;23;;;;;;;318.17345390000264;None;319.65635390000534;319.98129300000437;321.1157458000089;321.13955220000935;323.1062358000054;None;7;0;323.1062358000054;None;;;;;;;;2;;;;;;;0.5029733999981545;324.6562249000126;None;None;None;[];324.6562249000126;None;"['7', '7', '7']";"[0.4568786000018008, 0.648659200000111, 1.5688244000048144]";324.6562249000126;None;;;S11944;2022_Dec_22_1629;VideoMask;2021.1.2;120.01949118104812;
