primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;Condition;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.started;slider_resp_response.stopped;key_resp.rt;slider_resp_response.rt;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
0.0;f;040_y_f_s_a.jpg;sad;7.0;sad_94.3ns.avi;sad;7.0;congruent;130.0;160.0;155.27414203894395;s_s;;;;;0;13;13;13;;;;;;;314.2099037000444;None;315.7096256001387;316.0263736001216;317.18442110018805;317.2011955000926;319.7847074000165;None;7;0;319.7847074000165;None;;;;;;;;3;;;;0.7652235999703407;;;;321.33458560006693;None;None;None;[];321.33458560006693;None;"['7', '7']";"[0.575692999875173, 0.9995692998636514]";321.33458560006693;None;;;S11109;2021_Dec_15_1547;VideoMask;2021.1.2;119.96837648621245;
0.0;f;030_o_f_s_a.jpg;sad;7.0;sad_68.1ns.avi;sad;7.0;congruent;130.0;160.0;158.9411396037211;s_s;;;;;0;14;14;14;;;;;;;324.3429642000701;None;325.9178317000624;326.23440050007775;327.4178586001508;327.43495070002973;334.7926161000505;None;7;0;334.7926161000505;None;;;;;;;;4;;;;1.1576384000945836;;;;336.34246820001863;None;None;None;[];336.34246820001863;None;['7'];[0.5436468000989407];336.34246820001863;None;;;S11109;2021_Dec_15_1547;VideoMask;2021.1.2;119.96837648621245;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_127.1.wmv;sad;7.0;incongruent;120.0;160.0;180.59976631384873;h_s;;;;;0;15;15;15;;;;;;;339.3424054000061;None;341.06730940006673;341.38380950014107;342.517631100025;342.53432930004783;344.5172499001492;None;None;0;344.5172499001492;None;;;;;;;;4;;;;;;;;346.0669709001668;None;None;None;[];346.0669709001668;None;['7'];[1.8753507998771966];346.0669709001668;None;;;S11109;2021_Dec_15_1547;VideoMask;2021.1.2;119.96837648621245;
8.0;m;008_y_m_s_a.jpg;sad;7.0;happy_133.3.wmv;happy;9.0;incongruent;130.0;150.0;152.577966552593;s_h;;;;;0;16;16;16;;;;;;;349.07551610004157;None;350.5669027999975;350.88374020019546;352.00867060013115;352.02528890012763;354.01702770008706;None;None;0;354.01702770008706;None;;;;;;;;5;;;;;;;;355.5672707001213;None;None;None;[];355.5672707001213;None;None;;355.5672707001213;None;;;S11109;2021_Dec_15_1547;VideoMask;2021.1.2;119.96837648621245;
3.0;m;033_o_m_h_a.jpg;happy;9.0;sad_128.1.wmv;sad;7.0;incongruent;120.0;160.0;171.0492454518585;h_s;;;;;0;17;17;17;;;;;;;358.59188940003514;None;360.250095800031;360.5666723002214;361.69985370012;361.7167524001561;363.6999983000569;None;None;0;363.6999983000569;None;;;;;;;;4;;;;;;;;365.24989790003747;None;None;None;[];365.24989790003747;None;['7'];[0.540179800009355];365.24989790003747;None;;;S11109;2021_Dec_15_1547;VideoMask;2021.1.2;119.96837648621245;
1.0;f;021_o_f_h_a.jpg;happy;9.0;sad_116.1.wmv;sad;7.0;incongruent;120.0;160.0;184.06847610053055;h_s;;;;;0;18;18;18;;;;;;;368.24980170000345;None;370.00797880021855;370.3247370000463;371.4667513000313;371.4914212001022;373.45811600005254;None;7;0;373.45811600005254;None;;;;;;;;3;;;;0.8359306999482214;;;;375.0079805001151;None;None;None;[];375.0079805001151;None;"['7', '7']";"[0.4621472000144422, 1.518481899984181]";375.0079805001151;None;;;S11109;2021_Dec_15_1547;VideoMask;2021.1.2;119.96837648621245;
4.0;m;004_o_m_s_a.jpg;sad;7.0;happy_28.1ns.avi;happy;9.0;incongruent;130.0;150.0;157.40741103039684;s_h;;;;;0;19;19;19;;;;;;;378.00796550000086;None;379.5410237000324;379.8577813000884;381.05751120019704;381.0830734001938;385.3827681001276;None;9;0;385.3827681001276;None;;;;;;;;6;;;;0.7911242998670787;;;;386.9326357000973;None;None;None;[];386.9326357000973;None;['9'];[0.7296040998771787];386.9326357000973;None;;;S11109;2021_Dec_15_1547;VideoMask;2021.1.2;119.96837648621245;
8.0;f;028_y_f_s_a.jpg;sad;7.0;happy_122.3.wmv;happy;9.0;incongruent;130.0;150.0;171.8670540936116;s_h;;;;;0;20;20;20;;;;;;;389.9325527001638;None;391.5823050001636;391.8989783001598;393.0407899999991;393.05745030008256;395.03253680001944;None;None;0;395.03253680001944;None;;;;;;;;5;;;;;;;;396.5821131002158;None;None;None;[];396.5821131002158;None;None;;396.5821131002158;None;;;S11109;2021_Dec_15_1547;VideoMask;2021.1.2;119.96837648621245;
8.0;m;008_y_m_s_a.jpg;sad;7.0;sad_6.5ns.avi;sad;7.0;congruent;130.0;160.0;170.39333839271438;s_s;;;;;0;21;21;21;;;;;;;399.60724690021016;None;401.2488458000589;401.5654079001397;402.7911083002109;402.8237865001429;407.698609800078;None;7;0;407.698609800078;None;;;;;;;;2;;;;0.49959390005096793;;;;409.24852750007994;None;None;None;[];409.24852750007994;None;"['7', '7', '7']";"[0.3897327999584377, 0.6055526998825371, 0.9498354999814183]";409.24852750007994;None;;;S11109;2021_Dec_15_1547;VideoMask;2021.1.2;119.96837648621245;
8.0;f;028_y_f_h_a.jpg;happy;9.0;happy_23.1ns.avi;happy;9.0;congruent;120.0;150.0;225.70986890587952;h_h;;;;;0;22;22;22;;;;;;;412.24855570006184;None;414.33993630018085;414.6568079001736;415.8065488000866;415.8234035000205;420.36506740003824;None;9;0;420.36506740003824;None;;;;;;;;5;;;;0.44099240005016327;;;;421.9148815001827;None;None;None;[];421.9148815001827;None;None;;421.9148815001827;None;;;S11109;2021_Dec_15_1547;VideoMask;2021.1.2;119.96837648621245;
