primePerson;primeGender;prime;primeEmotion;corrAnsPrime;target;targetEmotion;corrAnsTar;Cond;ID_Primer;ID_Target;JitterTime;example.thisRepN;example.thisTrialN;example.thisN;example.thisIndex;study.thisRepN;study.thisTrialN;study.thisN;study.thisIndex;MR_trigger_time;MR_trigger_number;text_intro.started;text_intro.stopped;text_probe.started;text_probe.stopped;polygon_ISI.started;polygon_ISI.stopped;polygon.started;polygon.stopped;primerImage.started;primerImage.stopped;response.started;response.stopped;key_resp.keys;key_resp.corr;key_resp.rt;key_resp.started;key_resp.stopped;slider_Text.started;slider_Text.stopped;slider_ex.response;slider_ex.rt;slider_ex.history;slider_ex.started;slider_ex.stopped;Rating;slider_resp_response.keys;slider_resp_response.rt;slider_resp_response.started;slider_resp_response.stopped;text_start.started;text_start.stopped;text_slider.started;text_slider.stopped;slider_stud.response;slider_stud.rt;slider_stud.history;slider_stud.started;slider_stud.stopped;slider_resp_study.keys;slider_resp_study.rt;slider_resp_study.started;slider_resp_study.stopped;text_ende.started;text_ende.stopped;participant;date;expName;psychopyVersion;frameRate;
3.0;m;013_y_m_s_a.jpg;sad;7.0;happy_56.2ns.avi;happy;9.0;incongruent;130.0;150.0;134.62621969351147;;;;;0;9;9;9;;;;;;;188.36871349999274;None;189.72684679999657;190.04356279999774;191.19363279998652;191.21022789999552;196.20184279998648;None;None;0;;196.20184279998648;None;;;;;;;;5;;;;;;;197.75215199998638;None;None;None;[];197.75215199998638;None;None;;197.75215199998638;None;;;S10756;2021_Jul_15_1738;VideoMask;2021.1.2;120.8311734680134;
0.0;f;030_o_f_h_a.jpg;happy;9.0;sad_133.1.wmv;sad;7.0;incongruent;120.0;160.0;238.4103736452693;;;;;0;10;10;10;;;;;;;200.7765156999958;None;202.99313259999326;203.30985969999165;204.44326629998977;204.4598752999882;206.44322519999696;None;7;0;0.621930399996927;206.44322519999696;None;;;;;;;;5;;;;;;;208.0597909999924;None;None;None;[];208.0597909999924;None;None;;208.0597909999924;None;;;S10756;2021_Jul_15_1738;VideoMask;2021.1.2;120.8311734680134;
2.0;f;012_o_f_h_a.jpg;happy;9.0;happy_2.2ns.avi;happy;9.0;congruent;140.0;150.0;120.08648649110712;;;;;0;11;11;11;;;;;;;211.0762815999915;None;212.34282719998737;212.65962949999084;213.87610919999133;213.89293119999638;225.99283179998747;None;9;0;0.44088389999524225;225.99283179998747;None;;;;;;;;7;;;;;;;227.55090269999346;None;None;None;[];227.55090269999346;None;"['9', '9']";"[0.8423303000017768, 2.034467899997253]";227.55090269999346;None;;;S10756;2021_Jul_15_1738;VideoMask;2021.1.2;120.8311734680134;
9.0;f;019_m_f_s_a.jpg;sad;7.0;sad_8.4ns.avi;sad;7.0;congruent;130.0;160.0;169.3395974323834;;;;;0;12;12;12;;;;;;;230.55928299999505;None;232.23403499998676;232.55072139999538;233.72558639998897;233.74230149999494;241.82612369999697;None;8;0;0.6716012000106275;241.82612369999697;None;;;;;;;;5;;;;;;;243.70864199999778;None;None;None;[];243.70864199999778;None;None;;243.70864199999778;None;;;S10756;2021_Jul_15_1738;VideoMask;2021.1.2;120.8311734680134;
8.0;m;008_y_m_s_a.jpg;sad;7.0;sad_6.5ns.avi;sad;7.0;congruent;130.0;160.0;124.24628091899196;;;;;0;13;13;13;;;;;;;246.72512789999018;None;248.00844839999627;248.32513139999355;249.45853489999718;249.47509459999856;254.45848569998634;None;7;0;0.7988959999929648;254.45848569998634;None;;;;;;;;5;;;;;;;256.00836889998754;None;None;None;[];256.00836889998754;None;None;;256.00836889998754;None;;;S10756;2021_Jul_15_1738;VideoMask;2021.1.2;120.8311734680134;
1.0;f;021_o_f_h_a.jpg;happy;9.0;happy_12.1ns.avi;happy;9.0;congruent;140.0;150.0;236.6487020138435;;;;;0;14;14;14;;;;;;;259.0248813999933;None;261.24146449999535;261.55812249999144;262.708080899989;262.72483499998634;270.30801119998796;None;9;0;0.9334441999963019;270.30801119998796;None;;;;;;;;6;;;;;;;271.86612909998803;None;None;None;[];271.86612909998803;None;['9'];[1.1431205999979284];271.86612909998803;None;;;S10756;2021_Jul_15_1738;VideoMask;2021.1.2;120.8311734680134;
8.0;f;028_y_f_s_a.jpg;sad;7.0;sad_64.2ns.avi;sad;7.0;congruent;130.0;160.0;238.8507440172915;;;;;0;15;15;15;;;;;;;274.8745724999899;None;277.1742993999942;277.4909767999925;278.67407169999206;278.69076089999;289.6247393999947;None;None;0;;289.6247393999947;None;;;;;;;;5;;;;;;;291.8323270999972;None;None;None;[];291.8323270999972;None;None;;291.8323270999972;None;;;S10756;2021_Jul_15_1738;VideoMask;2021.1.2;120.8311734680134;
2.0;f;012_o_f_s_a.jpg;sad;7.0;happy_139.1.wmv;happy;9.0;incongruent;130.0;150.0;185.59030554143408;;;;;0;16;16;16;;;;;;;294.86560279999685;None;296.6236273999966;296.9403459999885;298.082061899986;298.09872079998604;300.07356479999726;None;9;0;0.9756095000047935;300.07356479999726;None;;;;;;;;6;;;;;;;301.6235529999976;None;None;None;[];301.6235529999976;None;['9'];[2.337929899993469];301.6235529999976;None;;;S10756;2021_Jul_15_1738;VideoMask;2021.1.2;120.8311734680134;
3.0;m;033_o_m_s_a.jpg;sad;7.0;sad_64.5ns.avi;sad;7.0;congruent;130.0;160.0;159.52646627166388;;;;;0;17;17;17;;;;;;;304.6318958999909;None;306.21496549999574;306.5317132999917;307.7150246999954;307.73234549998597;314.26475779998873;None;None;0;;314.26475779998873;None;;;;;;;;3;;;;;;;315.8148483999976;None;None;None;[];315.8148483999976;None;"['7', '7']";"[0.04258290000143461, 0.9143575000052806]";315.8148483999976;None;;;S10756;2021_Jul_15_1738;VideoMask;2021.1.2;120.8311734680134;
0.0;f;040_y_f_s_a.jpg;sad;7.0;happy_127.3.wmv;happy;9.0;incongruent;130.0;150.0;131.0431594605889;;;;;0;18;18;18;;;;;;;318.8148955999932;None;320.1312423999916;320.4480746999907;321.5730634999927;321.589647899993;323.66450970000005;None;9;0;0.9367594000068493;323.66450970000005;None;;;;;;;;5;;;;;;;325.2144966999913;None;None;None;[];325.2144966999913;None;None;;325.2144966999913;None;;;S10756;2021_Jul_15_1738;VideoMask;2021.1.2;120.8311734680134;
