Participant,Group,Condition,ReactionTime
Sub-022,2.0,sad_happy,0.4321020466585954
Sub-022,2.0,sad_sad,0.5289422500063665
Sub-024,2.0,happy_happy,0.6305022461590573
Sub-024,2.0,happy_sad,0.7557186499637153
Sub-024,2.0,sad_happy,0.6027656333055347
Sub-024,2.0,sad_sad,0.7499501199927181
Sub-025,2.0,happy_happy,0.35871330002555624
Sub-025,2.0,happy_sad,0.3100963333272375
Sub-025,2.0,sad_happy,1.2729091999935918
Sub-025,2.0,sad_sad,0.33058193333757424
Sub-026,1.0,happy_happy,0.3896848999429494
Sub-026,1.0,happy_sad,0.7505704500945285
Sub-026,1.0,sad_happy,0.4635337000945583
Sub-026,1.0,sad_sad,0.7639388999280831
Sub-027,2.0,happy_happy,0.6036659999684032
Sub-027,2.0,happy_sad,0.9098615500377492
Sub-027,2.0,sad_happy,0.5800630857037115
Sub-027,2.0,sad_sad,0.7019343636718325
Sub-028,2.0,happy_happy,0.6453976400351773
Sub-028,2.0,happy_sad,0.7849834733176977
Sub-028,2.0,sad_happy,0.6674802199782183
Sub-028,2.0,sad_sad,0.8964215999973627
Sub-029,2.0,happy_happy,0.5681958533202608
Sub-029,2.0,happy_sad,0.7122211642729651
Sub-029,2.0,sad_happy,0.6076305866551895
Sub-029,2.0,sad_sad,0.6694931214109862
Sub-030,2.0,happy_happy,0.8109835923051623
Sub-030,2.0,happy_sad,0.8904658777788023
Sub-030,2.0,sad_happy,0.7602709266657863
Sub-030,2.0,sad_sad,0.7475563071399977
Sub-031,2.0,happy_happy,0.44914960000508775
Sub-031,2.0,happy_sad,0.6510033285760853
Sub-031,2.0,sad_happy,0.5015503856952169
Sub-031,2.0,sad_sad,0.5837053666512172
Sub-032,2.0,happy_happy,0.5963971999978336
Sub-032,2.0,happy_sad,0.6979164466417084
Sub-032,2.0,sad_happy,0.6657111428711298
Sub-032,2.0,sad_sad,0.6402496461434146
Sub-033,2.0,happy_happy,0.8218874999930939
Sub-033,2.0,happy_sad,0.9007133666891605
Sub-033,2.0,sad_happy,0.8486205714122791
Sub-033,2.0,sad_sad,0.8605134154025179
Sub-035,1.0,happy_happy,0.5915358499790143
Sub-035,1.0,happy_sad,0.7883342785561192
Sub-035,1.0,sad_happy,0.7201335933990777
Sub-035,1.0,sad_sad,0.6608943400128434
Sub-036,1.0,happy_happy,0.6858552866731771
Sub-036,1.0,happy_sad,0.7131411999919995
Sub-036,1.0,sad_happy,0.6794142142877847
Sub-036,1.0,sad_sad,0.7913893800073614
Sub-037,1.0,happy_happy,1.1753307307685297
Sub-037,1.0,happy_sad,1.0106437799928245
Sub-037,1.0,sad_happy,0.995158284616012
Sub-037,1.0,sad_sad,0.967729783335623
Sub-038,1.0,happy_happy,0.7570416466798633
Sub-038,1.0,happy_sad,0.8272892363602296
Sub-038,1.0,sad_happy,0.646066513331607
Sub-038,1.0,sad_sad,0.881101942829056
Sub-039,1.0,happy_happy,1.20336106667916
Sub-039,1.0,happy_sad,0.5985838000196964
Sub-039,1.0,sad_happy,0.9673872001003474
Sub-039,1.0,sad_sad,1.430938400095329
Sub-040,1.0,happy_happy,0.6971767600470533
Sub-040,1.0,happy_sad,0.7713255181231282
Sub-040,1.0,sad_happy,0.8556028416302676
Sub-040,1.0,sad_sad,0.7192287866802265
Sub-041,2.0,happy_happy,0.6894019533569614
Sub-041,2.0,happy_sad,0.8464692999841645
Sub-041,2.0,sad_happy,0.6972717466764152
Sub-041,2.0,sad_sad,0.6549259066892167
Sub-042,1.0,happy_happy,0.7310940357149646
