participantID,age,sex,group,condition,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,key_resp.rt,correct
Sub-017,26.0,2.0,2.0,happy_happy,0,0,0,0,5,7,3,0,0,0.2884926000260748,100.0
Sub-017,26.0,2.0,2.0,happy_sad,0,1,0,7,7,0,0,0,0,0.7052267999970354,100.0
Sub-017,26.0,2.0,2.0,sad_happy,0,0,0,0,6,7,2,0,0,,
Sub-017,26.0,2.0,2.0,sad_sad,0,0,6,5,4,0,0,0,0,,
Sub-018,22.0,1.0,2.0,happy_happy,0,0,0,0,1,4,3,3,4,0.8564364153784342,100.0
Sub-018,22.0,1.0,2.0,happy_sad,7,3,4,0,1,0,0,0,0,0.7376645363613286,90.9090909090909
Sub-018,22.0,1.0,2.0,sad_happy,0,1,0,0,0,0,1,8,5,0.7339622999923969,100.0
Sub-018,22.0,1.0,2.0,sad_sad,12,2,1,0,0,0,0,0,0,0.6331440866614382,100.0
Sub-019,22.0,1.0,2.0,happy_happy,0,0,0,0,5,8,1,1,0,0.687990414311311,85.71428571428571
Sub-019,22.0,1.0,2.0,happy_sad,0,2,2,5,6,0,0,0,0,0.6687277182090011,90.9090909090909
Sub-019,22.0,1.0,2.0,sad_happy,0,0,0,0,7,7,1,0,0,0.6744588818401098,72.72727272727273
Sub-019,22.0,1.0,2.0,sad_sad,0,2,5,3,5,0,0,0,0,0.6694066142995975,100.0
Sub-020,32.0,1.0,1.0,happy_happy,0,0,0,0,2,3,4,5,1,0.7731465399614535,90.0
Sub-020,32.0,1.0,1.0,happy_sad,1,3,2,7,2,0,0,0,0,0.867056942860862,100.0
Sub-020,32.0,1.0,1.0,sad_happy,0,0,0,0,2,4,3,5,1,0.8135964250153241,83.33333333333334
Sub-020,32.0,1.0,1.0,sad_sad,1,5,5,3,1,0,0,0,0,0.8271533285816466,85.71428571428571
Sub-022,25.0,1.0,2.0,happy_happy,0,0,0,0,1,8,6,0,0,0.3944065000085781,93.33333333333333
Sub-022,25.0,1.0,2.0,happy_sad,0,0,0,4,11,0,0,0,0,0.5712846928425799,71.42857142857143
Sub-022,25.0,1.0,2.0,sad_happy,0,0,0,0,3,10,2,0,0,0.4321020466585954,100.0
Sub-022,25.0,1.0,2.0,sad_sad,0,0,0,7,8,0,0,0,0,0.5289422500063665,85.71428571428571
